#{"t_start": 1759152785.904209, "env_id": "CartPole-v1"}
r,l,t
30.0,30,14.012249
20.0,20,14.013269
20.0,20,14.014368
22.0,22,14.015739
26.0,26,14.021169
34.0,34,14.023067
34.0,34,14.024799
13.0,13,14.025449
49.0,49,14.029825
16.0,16,14.030657
22.0,22,14.031909
35.0,35,14.034452
33.0,33,14.039024
17.0,17,14.039822
33.0,33,14.041213
12.0,12,14.041759
17.0,17,14.044321
16.0,16,14.045179
22.0,22,14.04619
30.0,30,14.047799
20.0,20,14.050714
16.0,16,14.051477
62.0,62,14.054616
10.0,10,14.055108
26.0,26,14.057694
16.0,16,14.058431
14.0,14,14.05906
10.0,10,14.059672
11.0,11,14.063315
18.0,18,14.066527
18.0,18,14.115539
20.0,20,14.117344
40.0,40,14.132715
15.0,15,14.13371
13.0,13,14.134836
31.0,31,14.136353
27.0,27,14.139873
9.0,9,14.140317
17.0,17,14.141025
26.0,26,14.142085
22.0,22,14.144243
14.0,14,14.144876
24.0,24,14.146008
8.0,8,14.146386
23.0,23,14.149435
18.0,18,14.15027
16.0,16,14.151171
35.0,35,14.152831
9.0,9,14.154574
18.0,18,14.155358
42.0,42,14.157116
25.0,25,14.158185
10.0,10,14.160017
12.0,12,14.160555
11.0,11,14.161032
17.0,17,14.161736
27.0,27,14.164108
45.0,45,14.165975
24.0,24,14.167138
22.0,22,14.168119
29.0,29,14.170644
26.0,26,14.17176
13.0,13,14.172308
15.0,15,14.172948
20.0,20,14.175222
23.0,23,14.176179
20.0,20,14.177025
15.0,15,14.177675
20.0,20,14.179645
11.0,11,14.180164
43.0,43,14.182122
36.0,36,14.183768
38.0,38,14.186855
32.0,32,14.188201
29.0,29,14.18939
12.0,12,14.189909
11.0,11,14.191914
42.0,42,14.193693
14.0,14,14.194275
14.0,14,14.194878
14.0,14,14.196708
73.0,73,14.200184
12.0,12,14.200749
12.0,12,14.201286
15.0,15,14.203415
17.0,17,14.204153
43.0,43,14.205952
20.0,20,14.207389
44.0,44,14.210838
22.0,22,14.211784
18.0,18,14.212531
14.0,14,14.213133
16.0,16,14.215254
39.0,39,14.216915
12.0,12,14.217607
17.0,17,14.218418
18.0,18,14.220643
17.0,17,14.221376
29.0,29,14.222632
25.0,25,14.223684
17.0,17,14.228655
22.0,22,14.230396
17.0,17,14.23166
22.0,22,14.232936
39.0,39,14.262756
13.0,13,14.263411
23.0,23,14.264448
20.0,20,14.265341
17.0,17,14.268009
10.0,10,14.268532
9.0,9,14.268942
24.0,24,14.270145
32.0,32,14.277741
43.0,43,14.280933
14.0,14,14.282005
13.0,13,14.282797
18.0,18,14.285348
13.0,13,14.285925
14.0,14,14.287152
60.0,60,14.289666
20.0,20,14.292157
47.0,47,14.294084
13.0,13,14.294627
17.0,17,14.295331
11.0,11,14.297356
17.0,17,14.298105
10.0,10,14.298567
24.0,24,14.299641
14.0,14,14.301577
9.0,9,14.301997
63.0,63,14.304563
29.0,29,14.30575
33.0,33,14.309439
29.0,29,14.310691
13.0,13,14.311249
17.0,17,14.312074
13.0,13,14.314046
17.0,17,14.314771
13.0,13,14.315336
15.0,15,14.315989
16.0,16,14.318358
14.0,14,14.318958
17.0,17,14.319708
57.0,57,14.322057
11.0,11,14.323815
11.0,11,14.324285
22.0,22,14.325516
27.0,27,14.326705
26.0,26,14.332023
16.0,16,14.332788
25.0,25,14.333936
32.0,32,14.335322
13.0,13,14.337938
58.0,58,14.340399
47.0,47,14.342808
15.0,15,14.34365
13.0,13,14.345597
26.0,26,14.346719
21.0,21,14.347628
11.0,11,14.348248
10.0,10,14.350134
15.0,15,14.35249
34.0,34,14.35645
23.0,23,14.358557
45.0,45,14.362117
18.0,18,14.36291
10.0,10,14.363337
15.0,15,14.363978
26.0,26,14.367147
24.0,24,14.368275
37.0,37,14.369833
12.0,12,14.370407
15.0,15,14.372652
34.0,34,14.374142
30.0,30,14.375688
24.0,24,14.376696
29.0,29,14.379884
11.0,11,14.380369
17.0,17,14.381138
32.0,32,14.382561
13.0,13,14.385166
17.0,17,14.385935
16.0,16,14.386611
9.0,9,14.386995
24.0,24,14.389192
23.0,23,14.390156
18.0,18,14.390915
12.0,12,14.391422
25.0,25,14.393789
15.0,15,14.394458
42.0,42,14.396188
21.0,21,14.397056
24.0,24,14.399266
27.0,27,14.400437
13.0,13,14.400988
15.0,15,14.40163
14.0,14,14.403381
34.0,34,14.404782
21.0,21,14.405652
32.0,32,14.406964
20.0,20,14.409268
16.0,16,14.409993
10.0,10,14.410463
13.0,13,14.411032
17.0,17,14.412983
13.0,13,14.413575
46.0,46,14.415433
37.0,37,14.417048
27.0,27,14.419244
25.0,25,14.420291
20.0,20,14.42116
34.0,34,14.422775
41.0,41,14.426384
11.0,11,14.426886
15.0,15,14.427719
21.0,21,14.428631
19.0,19,14.433279
32.0,32,14.435215
20.0,20,14.436927
22.0,22,14.43789
27.0,27,14.44076
9.0,9,14.4412
30.0,30,14.457321
16.0,16,14.465171
20.0,20,14.477131
10.0,10,14.480896
14.0,14,14.489045
11.0,11,14.493017
13.0,13,14.502239
39.0,39,14.519815
52.0,52,14.552997
9.0,9,14.558353
52.0,52,14.588017
16.0,16,14.595607
16.0,16,14.602968
71.0,71,14.633972
29.0,29,14.656225
22.0,22,14.664896
20.0,20,14.675352
12.0,12,14.680584
15.0,15,14.689878
36.0,36,14.708628
13.0,13,14.714366
18.0,18,14.723939
22.0,22,14.734908
19.0,19,14.744723
11.0,11,14.753166
19.0,19,14.764255
17.0,17,14.776817
23.0,23,14.787949
9.0,9,14.793768
16.0,16,14.801375
19.0,19,14.810901
15.0,15,14.818128
24.0,24,14.829457
14.0,14,14.836856
24.0,24,14.850416
15.0,15,14.860607
40.0,40,14.880749
13.0,13,14.911375
23.0,23,14.934209
13.0,13,14.942262
13.0,13,14.948066
35.0,35,14.96977
20.0,20,14.982321
13.0,13,14.989208
27.0,27,15.001946
27.0,27,15.013631
31.0,31,15.030151
15.0,15,15.038523
23.0,23,15.04964
14.0,14,15.055567
15.0,15,15.064664
37.0,37,15.086354
19.0,19,15.095872
27.0,27,15.109501
20.0,20,15.121068
22.0,22,15.131598
16.0,16,15.13944
30.0,30,15.154617
39.0,39,15.173543
22.0,22,15.221878
8.0,8,15.228101
12.0,12,15.234195
9.0,9,15.24083
18.0,18,15.250765
24.0,24,15.262285
15.0,15,15.268477
18.0,18,15.278968
10.0,10,15.28644
26.0,26,15.3018
14.0,14,15.307702
21.0,21,15.320556
11.0,11,15.324807
13.0,13,15.332161
19.0,19,15.340257
15.0,15,15.349217
9.0,9,15.353894
21.0,21,15.365082
17.0,17,15.373014
14.0,14,15.380711
10.0,10,15.385742
10.0,10,15.389182
9.0,9,15.404418
18.0,18,15.414282
37.0,37,15.432156
13.0,13,15.439974
17.0,17,15.447548
39.0,39,15.469177
17.0,17,15.476356
16.0,16,15.483954
11.0,11,15.489022
12.0,12,15.498653
42.0,42,15.52003
10.0,10,15.525743
12.0,12,15.531361
14.0,14,15.566555
19.0,19,15.580497
12.0,12,15.585989
23.0,23,15.597019
16.0,16,15.611858
28.0,28,15.626093
15.0,15,15.631994
16.0,16,15.640533
10.0,10,15.648394
34.0,34,15.665572
40.0,40,15.684816
18.0,18,15.694457
21.0,21,15.708759
15.0,15,15.717989
85.0,85,15.757627
22.0,22,15.768648
17.0,17,15.778384
18.0,18,15.786228
17.0,17,15.79626
23.0,23,15.806513
17.0,17,15.823208
13.0,13,15.829231
13.0,13,15.835069
25.0,25,15.84647
19.0,19,15.856802
31.0,31,15.898931
11.0,11,15.908625
24.0,24,15.925473
16.0,16,15.935266
16.0,16,15.944593
15.0,15,15.950769
29.0,29,15.965627
12.0,12,15.973627
24.0,24,15.98596
38.0,38,16.003281
53.0,53,16.033192
16.0,16,16.042528
16.0,16,16.050369
24.0,24,16.062699
24.0,24,16.074088
29.0,29,16.091033
23.0,23,16.10072
13.0,13,16.108455
18.0,18,16.116612
10.0,10,16.127992
17.0,17,16.135755
19.0,19,16.145466
32.0,32,16.191406
14.0,14,16.199185
23.0,23,16.21107
25.0,25,16.222908
23.0,23,16.238582
33.0,33,16.254977
13.0,13,16.260857
32.0,32,16.27587
36.0,36,16.292897
15.0,15,16.301806
49.0,49,16.324732
35.0,35,16.345795
19.0,19,16.355455
17.0,17,16.364876
11.0,11,16.370919
54.0,54,16.396006
56.0,56,16.421946
25.0,25,16.435987
52.0,52,16.496904
17.0,17,16.504718
21.0,21,16.514335
34.0,34,16.532861
21.0,21,16.542756
21.0,21,16.556806
19.0,19,16.566571
16.0,16,16.575977
19.0,19,16.586317
17.0,17,16.594364
21.0,21,16.604185
40.0,40,16.62471
30.0,30,16.639933
25.0,25,16.654873
21.0,21,16.665203
24.0,24,16.678319
13.0,13,16.68549
19.0,19,16.694842
32.0,32,16.709326
61.0,61,16.739324
32.0,32,16.754118
12.0,12,16.764498
60.0,60,16.793852
35.0,35,16.854013
19.0,19,16.863963
14.0,14,16.875203
31.0,31,16.890348
24.0,24,16.903339
30.0,30,16.920746
18.0,18,16.928314
26.0,26,16.941799
26.0,26,16.954293
28.0,28,16.972406
35.0,35,16.992146
17.0,17,16.999917
53.0,53,17.027614
25.0,25,17.041039
22.0,22,17.050474
14.0,14,17.057736
26.0,26,17.070753
