time/episodes,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
4,92,23.0,0,2702,0.9978149999999999,23.0,,,,,
8,199,24.875,0,4558,0.9952737500000002,24.875,,,,,
12,321,26.75,0,6092,0.9923762500000002,26.75,,,,,
16,416,26.0,0,6937,0.9901200000000001,26.0,,,,,
20,501,25.05,0,7587,0.9881012500000002,25.05,,,,,
24,609,25.375,0,8306,0.9855362500000002,25.375,,,,,
28,675,24.107142857142858,0,8666,0.98396875,24.107142857142858,,,,,
32,742,23.1875,0,5381,0.9823775,23.1875,,,,,
36,841,23.36111111111111,0,5440,0.98002625,23.36111111111111,,,,,
40,920,23.0,0,5739,0.9781499999999997,23.0,,,,,
44,988,22.454545454545453,0,6002,0.9765350000000003,22.454545454545453,,,,,
48,1080,22.5,0,6314,0.9743500000000002,22.5,,,,,
52,1174,22.576923076923077,0,6655,0.9721174999999997,22.576923076923077,,,,,
56,1224,21.857142857142858,0,6802,0.97093,21.857142857142858,,,,,
60,1342,22.366666666666667,0,7202,0.9681275,22.366666666666667,,,,,
64,1425,22.265625,0,7455,0.9661562499999998,22.265625,,,,,
68,1503,22.102941176470587,0,7673,0.9643037499999998,22.102941176470587,,,,,
72,1613,22.40277777777778,0,7985,0.9616912500000001,22.40277777777778,,,,,
76,1724,22.68421052631579,0,8284,0.9590550000000002,22.68421052631579,,,,,
80,1805,22.5625,0,8471,0.9571312500000002,22.5625,,,,,
84,1916,22.80952380952381,0,8729,0.9544949999999999,22.80952380952381,,,,,
88,2011,22.852272727272727,0,8914,0.9522387499999998,22.852272727272727,,,,,
92,2109,22.92391304347826,0,9116,0.9499112499999999,22.92391304347826,,,,,
96,2193,22.84375,0,9267,0.94791625,22.84375,,,,,
100,2282,22.82,0,9419,0.9458024999999999,22.82,,,,,
104,2360,22.68,0,9396,0.9439499999999998,22.68,,,,,
108,2455,22.56,0,8652,0.9416937499999999,22.56,,,,,
112,2515,21.94,0,8720,0.94026875,21.94,,,,,
116,2617,22.01,0,8694,0.93784625,22.01,,,,,
120,2722,22.21,0,8841,0.9353524999999999,22.21,,,,,
124,2819,22.1,0,8991,0.9330487500000002,22.1,,,,,
128,2881,22.06,0,9064,0.93157625,22.06,,,,,
132,2996,22.54,0,9248,0.928845,22.54,,,,,
136,3088,22.47,0,9349,0.9266599999999999,22.47,,,,,
140,3146,22.26,0,9413,0.9252824999999999,22.26,,,,,
144,3250,22.62,0,9551,0.9228125,22.62,,,,,
148,3321,22.41,0,9628,0.9211262500000001,22.41,,,,,
152,3420,22.46,0,9674,0.918775,22.46,,,,,
156,3553,23.29,0,9817,0.9156162499999999,23.29,,,,,
160,3624,22.82,0,9888,0.9139299999999999,22.82,,,,,
164,3706,22.81,0,9833,0.9119824999999998,22.81,,,,,
168,3794,22.91,0,9927,0.9098924999999998,22.91,,,,,
172,3893,22.8,0,10017,0.9075412500000002,22.8,,,,,
176,3996,22.72,0,10119,0.905095,22.72,,,,,
180,4085,22.8,0,10192,0.9029812499999998,22.8,,,,,
184,4140,22.24,0,10217,0.9016749999999998,22.24,,,,,
188,4217,22.06,0,10292,0.89984625,22.06,,,,,
192,4320,22.11,0,10403,0.8974000000000002,22.11,,,,,
196,4399,22.06,0,10478,0.8955237500000001,22.06,,,,,
200,4500,22.18,0,10584,0.8931250000000002,22.18,,,,,
204,4559,21.99,0,10621,0.8917237499999999,21.99,,,,,
208,4672,22.17,0,10733,0.8890399999999998,22.17,,,,,
212,4778,22.63,0,10834,0.8865225000000002,22.63,,,,,
216,4866,22.49,0,10890,0.8844325000000002,22.49,,,,,
220,4959,22.37,0,10872,0.88222375,22.37,,,,,
224,5041,22.22,0,10427,0.8802762499999999,22.22,10,0.0001,0.43358585238456726,,
228,5096,22.15,0,9967,0.8789700000000003,22.15,23,0.0001,0.2784799337387085,,
232,5209,22.13,0,9034,0.87628625,22.13,52,0.0001,0.06423985958099365,,
236,5364,22.76,0,8224,0.8726050000000002,22.76,90,0.0001,0.017629703506827354,,
240,5447,23.01,0,7794,0.87063375,23.01,111,0.0001,0.005986899137496948,,
244,5529,22.79,0,7449,0.8686862499999999,22.79,132,0.0001,0.005245060194283724,,
248,5600,22.79,0,7156,0.8669999999999999,22.79,149,0.0001,0.006341299507766962,,
252,5665,22.45,0,6911,0.8654562499999998,22.45,166,0.0001,0.0025783563032746315,,
256,5737,21.84,0,6708,0.8637462500000002,21.84,184,0.0001,0.00249736406840384,,
260,5829,22.05,0,6269,0.8615612500000002,22.05,207,0.0001,0.0017924528801813722,,
264,5913,22.07,0,5984,0.8595662500000003,22.07,228,0.0001,0.0007864878280088305,,
268,6000,22.06,1,5812,0.8574999999999999,22.06,249,0.0001,0.001434570294804871,,
272,6083,21.9,1,5664,0.8555287500000002,21.9,270,0.0001,0.07583219558000565,,
276,6181,21.85,1,5480,0.8532012500000001,21.85,295,0.0001,0.03408040106296539,,
280,6269,21.84,1,5344,0.8511112500000002,21.84,317,0.0001,0.02957899495959282,,
