#{"t_start": 1759157383.7429671, "env_id": "LunarLander-v3"}
r,l,t
-351.157765,123,12.493764
-131.249639,91,12.500948
-207.868163,68,12.505631
-28.961368,100,12.513154
-165.299992,102,12.524124
-402.62303,96,12.532202
-157.74164,85,12.538538
-229.134806,81,12.543896
-119.82256,103,12.55236
-428.380613,88,12.558415
-278.33754,92,12.565479
-163.408952,98,12.572495
-264.038744,112,12.581188
-111.456148,110,12.589299
-93.979916,82,12.596818
-78.389859,88,12.603531
-67.946313,56,12.609983
-284.549146,101,12.616609
-69.574359,71,12.622521
18.160472,89,12.628763
-55.999144,76,12.635426
-96.390426,69,12.639879
-354.904866,99,12.646965
-77.309417,59,12.65129
-130.580844,65,12.65707
-142.329028,73,12.661703
-117.810431,64,12.666696
-93.012197,73,12.671638
-331.326888,89,12.678776
-95.763956,71,12.683622
-145.691905,112,12.692445
-83.711165,77,12.697678
-145.721952,88,12.708259
-126.604356,104,12.715206
-292.15453,117,12.723371
-98.018638,100,12.729966
-172.542709,104,12.738318
-231.882201,103,12.745175
-100.87233,78,12.750661
-295.732749,106,12.757441
-67.587673,103,12.765344
-94.783005,126,12.773664
-289.503512,100,12.780197
-432.745364,100,12.78652
-340.030815,83,12.793659
-128.424707,60,12.797503
-225.253268,110,12.804524
-88.650812,64,12.808654
-110.729242,93,12.818615
-15.823195,74,12.82384
-508.664828,113,12.831097
-145.490815,114,12.838809
-197.356545,122,12.847992
-407.265077,107,12.855317
-392.3886,95,12.862113
-282.386441,93,12.867876
-262.460359,98,12.875439
-239.904643,104,12.882798
-121.543615,129,12.89111
-202.136368,99,12.897531
-146.155636,72,12.904697
-115.25891,63,12.909164
-343.831011,77,12.914318
-430.83381,107,12.92189
-91.395857,66,12.930463
-145.229915,82,12.93675
-294.412804,94,12.94316
-86.34678,59,12.947221
-87.549725,63,12.964471
-137.567955,95,12.990828
-136.383686,118,13.000394
-200.744792,109,13.007427
-232.17524,98,13.01581
-350.38259,105,13.023044
-409.331679,81,13.028506
-86.261561,75,13.033904
-99.911833,104,13.045482
-253.218692,70,13.050529
-172.728915,82,13.056634
-132.131057,66,13.06104
-118.866769,78,13.067499
-162.692983,86,13.07309
-559.025046,116,13.080461
-172.390579,96,13.086576
-197.338277,131,13.096259
-158.200134,111,13.103497
-150.631174,88,13.109632
-193.214801,100,13.116394
-273.258378,103,13.124565
-471.941848,100,13.131209
-247.186446,80,13.136802
-134.835879,110,13.144223
-85.119458,63,13.152843
-142.384761,95,13.159055
-177.358156,75,13.164025
-72.60922,75,13.169709
-306.303019,95,13.177256
-232.015328,126,13.186178
-118.533304,90,13.192817
-120.195801,106,13.199997
-67.993369,71,13.206884
-137.159455,116,13.214315
-79.5271,61,13.218999
-133.351376,90,13.225075
8.965338,82,13.231797
-9.664403,118,13.239568
-113.73933,68,13.244191
-276.257807,101,13.251151
-114.577557,78,13.261067
-92.607516,60,13.270263
-305.325552,116,13.322927
-126.332394,88,13.363825
-65.765589,73,13.398805
-104.631712,70,13.428769
-349.504071,126,13.485686
-338.29343,97,13.526217
-393.117222,91,13.571022
-254.213378,117,13.621145
-290.400406,133,13.68888
-300.260997,120,13.741427
-396.898272,93,13.789018
-64.763912,127,13.840559
-179.953198,151,13.907914
-212.539966,94,13.949143
-227.097454,101,13.997552
-79.746973,95,14.040302
-142.63049,103,14.082989
-141.661467,117,14.136987
-385.576455,118,14.189671
-210.815025,69,14.222026
-48.743455,75,14.254214
-177.822919,82,14.290239
-95.555163,111,14.343188
-152.693872,111,14.390642
-82.664185,87,14.431288
-272.991332,116,14.480226
-9.640203,94,14.527017
-82.789261,96,14.568159
-139.145831,69,14.598032
-89.268357,83,14.636114
-268.437633,94,14.679165
-94.42857,122,14.734935
-132.962205,81,14.77277
-176.958703,93,14.812341
-190.731873,69,14.84807
-35.267587,77,14.881841
-84.415148,67,14.911405
-93.802502,70,14.945468
-82.925409,61,14.976208
-329.156534,99,15.019515
-70.242457,79,15.056731
-134.851946,66,15.086943
-67.017967,116,15.140473
-263.909382,95,15.184997
-378.998455,107,15.230813
-103.928633,79,15.268863
-31.008986,72,15.303925
-104.561074,66,15.333158
-81.026274,94,15.374955
-183.485387,67,15.403985
-80.314145,140,15.467377
-65.390401,144,15.531094
-29.178593,64,15.559356
-160.61683,82,15.597148
-177.657247,103,15.670245
-243.236013,87,15.71186
-100.136346,73,15.744053
-171.274983,101,15.789428
-149.61793,100,15.835039
-107.543646,103,15.879468
-148.230799,109,15.932609
-258.417221,147,16.009322
-291.341978,107,16.071508
-272.875596,118,16.125056
-102.911756,64,16.152486
-158.447332,93,16.193451
-133.741002,123,16.252759
-72.739066,70,16.284719
-94.566124,69,16.31899
-183.508184,113,16.36936
-118.042339,74,16.405741
-38.259557,94,16.449247
-273.49836,104,16.494212
-60.92086,65,16.529191
-67.595098,97,16.57747
-57.601077,104,16.622149
-138.472953,99,16.671168
-107.02977,151,16.738566
-94.895321,85,16.806506
-75.28949,76,16.845642
-359.656933,130,16.901069
-276.280486,151,16.969483
-106.048731,95,17.015142
-107.772079,108,17.066878
-74.859789,68,17.095668
-93.468867,69,17.125822
-123.962722,133,17.188184
-91.210229,105,17.232445
-81.190854,70,17.265876
-33.307564,117,17.317355
-102.805395,72,17.35153
-112.440803,77,17.388431
-95.24996,127,17.442307
-222.502524,110,17.49453
-285.913464,119,17.548888
-109.475671,64,17.576089
-75.299383,83,17.6163
-105.819286,134,17.675475
-107.2072,72,17.712764
-99.634633,90,17.751548
-159.647802,112,17.809483
-284.954021,93,17.851591
-103.037048,84,17.890007
-116.882819,81,17.929728
-50.686757,75,17.98818
-216.849182,103,18.040713
32.688547,153,18.115107
-78.848501,113,18.165326
-95.962477,104,18.211965
-83.245894,81,18.246718
-192.377232,115,18.297976
-144.824968,115,18.350382
-160.200089,116,18.401143
-136.369677,89,18.443394
-114.654062,138,18.505938
-171.022383,85,18.545107
