rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
-179.80923375,95.5,4,6651,382,0,0.9977318749999999,,,
-209.254550375,93.25,8,8469,746,0,0.995570625,,,
-221.998839,93.91666666666667,12,9650,1127,0,0.9933084375,,,
-200.7406709375,94.9375,16,10268,1519,0,0.9909809374999999,,,
-180.78800404999998,91.8,20,10611,1836,0,0.98909875,,,
-175.0151639166667,89.125,24,10942,2139,0,0.9872996875000001,,,
-167.2891583571429,86.21428571428571,28,11185,2414,0,0.9856668749999999,,,
-166.893448375,86.34375,32,11401,2763,0,0.9835946875000001,,,
-166.75249511111107,88.11111111111111,36,11566,3172,0,0.98116625,,,
-170.10299532500002,89.075,40,11813,3563,0,0.9788446875000001,,,
-174.7440765227273,90.72727272727273,44,12071,3992,0,0.9762975,,,
-176.4812285208333,89.77083333333333,48,12213,4309,0,0.9744153125000001,,,
-177.91936632692307,90.4423076923077,52,12276,4703,0,0.9720759375000001,,,
-188.05720914285715,91.42857142857143,56,12426,5120,0,0.9695999999999999,,,
-189.28747828333334,92.5,60,12562,5550,0,0.9670468750000001,,,
-193.64575100000002,91.703125,64,12542,5869,0,0.9651528125000001,,,
-191.33402088235295,90.73529411764706,68,12553,6170,0,0.963365625,,,
-188.51332747222222,91.04166666666667,72,11883,6555,0,0.9610796875000001,,,
-192.77777168421053,90.97368421052632,76,11954,6914,0,0.958948125,,,
-191.3637643125,90.45,80,11956,7236,0,0.9570362499999999,,,
-194.31043478571434,90.61904761904762,84,12068,7612,0,0.9548037500000001,,,
-193.42569213636364,91.38636363636364,88,12173,8042,0,0.9522506249999999,,,
-197.26829846739128,91.68478260869566,92,12252,8435,0,0.9499171874999999,,,
-194.02244847916666,91.07291666666667,96,12246,8743,0,0.9480884375,,,
-194.03202506000002,91.6,100,12306,9160,0,0.9456125,,,
-191.01996871,91.16,104,12346,9498,0,0.943605625,,,
-185.37893605000002,91.21,108,12403,9867,0,0.9414146875000001,,,
-181.86786959,90.82,112,11241,10209,0,0.9393840625,0.00025,52,4.212646484375
-184.97117093999998,90.56,116,9878,10575,1,0.9372109375,0.00025,143,1.0730156898498535
-193.31199751000003,92.0,120,8583,11036,1,0.93447375,0.00025,258,0.6814286112785339
-196.00751245999996,93.62,124,7701,11501,1,0.9317128125,0.00025,375,0.839748740196228
-197.0815513,95.03,128,7088,11917,1,0.9292428125000001,0.00025,479,0.5088542699813843
-198.74619069999997,94.98,132,6683,12261,1,0.9272003125000001,0.00025,565,1.4595412015914917
-198.16024146000004,95.14,136,6266,12686,2,0.9246768749999998,0.00025,671,3.172600746154785
-193.35837809000003,94.65,140,5975,13028,2,0.92264625,0.00025,756,0.800019383430481
-191.24005366,94.26,144,5693,13418,2,0.9203306249999998,0.00025,854,0.26013147830963135
-187.45862874,93.92,148,5502,13701,2,0.9186503125,0.00025,925,1.170052170753479
-185.8233114,93.03,152,5323,14006,2,0.916839375,0.00025,1001,2.5520942211151123
-181.16788914,92.83,156,5119,14403,2,0.9144821875000001,0.00025,1100,0.5330642461776733
-176.90825650000002,91.52,160,4986,14702,2,0.912706875,0.00025,1175,3.5455498695373535
-169.90246252,92.63,164,4816,15132,3,0.91015375,0.00025,1282,0.7145860195159912
-170.65165484999997,93.26,168,4648,15496,3,0.9079925,0.00025,1373,1.9018235206604004
-171.66728923,94.0,172,4489,15955,3,0.9052671875000001,0.00025,1488,0.21771469712257385
-169.14154515,94.23,176,4370,16337,3,0.9029990625,0.00025,1584,2.0135645866394043
-167.40718393999998,94.76,180,4270,16712,3,0.9007724999999999,0.00025,1677,2.6525394916534424
-162.18464133,94.37,184,4185,17049,4,0.8987715625,0.00025,1762,0.9653663635253906
-158.89778644999998,94.58,188,4086,17500,4,0.8960937500000001,0.00025,1874,0.3188033103942871
-155.68678323999998,95.07,192,3974,17942,4,0.893469375,0.00025,1985,1.6377143859863281
-154.73356195,95.39,196,3914,18282,4,0.891450625,0.00025,2070,0.7801083326339722
-150.25980112000002,95.47,200,3847,18707,4,0.8889271875000001,0.00025,2176,0.24152061343193054
-151.40947493999997,95.95,204,3789,19093,5,0.8866353125000002,0.00025,2273,0.4020704925060272
-153.26759096,96.26,208,3734,19493,5,0.8842603125000001,0.00025,2373,0.7643729448318481
-153.39359733,96.51,212,3680,19860,5,0.88208125,0.00025,2464,2.257603168487549
-149.68620737,96.28,216,3617,20203,5,0.8800446874999999,0.00025,2550,0.4784751534461975
-139.55997059,96.18,220,3566,20654,5,0.8773668750000001,0.00025,2663,0.631889820098877
-137.35613677000003,95.88,224,3522,21089,5,0.8747840625000001,0.00025,2772,0.8740561008453369
-135.54976473,95.66,228,3485,21483,6,0.8724446875,0.00025,2870,0.23954859375953674
-131.42068447,95.67,232,3452,21828,6,0.87039625,0.00025,2956,0.4873490333557129
-130.45129241999996,94.84,236,3424,22170,6,0.8683656249999998,0.00025,3042,2.603527069091797
-131.23552848,95.97,240,3366,22625,6,0.8656640625,0.00025,3156,0.27770888805389404
-128.33271225999997,96.99,244,3329,23117,6,0.8627428125,0.00025,3279,0.8687583208084106
-127.84402878,98.09,248,3300,23510,7,0.8604093749999999,0.00025,3377,5.3634257316589355
-126.97196039000002,99.06,252,3273,23912,7,0.8580225000000001,0.00025,3477,0.9748086929321289
-123.05651162,99.26,256,3244,24329,7,0.8555465625,0.00025,3582,1.822116494178772
-121.96455766999999,100.7,260,3216,24772,7,0.8529162499999999,0.00025,3692,2.2285475730895996
-122.45973692000001,100.07,264,3180,25139,7,0.8507371875000002,0.00025,3784,1.496154546737671
-118.37540513,100.36,268,3159,25532,8,0.8484037499999999,0.00025,3882,0.6953213214874268
-114.87246224000002,100.82,272,3132,26037,8,0.8454053125000001,0.00025,4009,3.86488676071167
-111.23144282999998,101.54,276,3110,26491,8,0.8427096875,0.00025,4122,1.0630781650543213
-111.65533788,101.88,280,3088,26900,8,0.84028125,0.00025,4224,0.2607421576976776
-114.98258052999999,103.17,284,3065,27366,8,0.837514375,0.00025,4341,1.0325207710266113
-116.40619645999999,103.06,288,3029,27806,9,0.834901875,0.00025,4451,0.8808720707893372
-110.33872376000004,111.1,292,2973,29052,9,0.8275037500000001,0.00025,4762,1.2806841135025024
-109.71098159000002,112.04,296,2957,29486,9,0.8249268750000001,0.00025,4871,0.7846955060958862
-111.8049816,112.0,300,2944,29907,10,0.8224271875,0.00025,4976,0.4919193387031555
-110.60419965000001,111.91,304,2920,30284,10,0.8201887500000001,0.00025,5070,1.1491118669509888
-109.99715577999997,111.66,308,2906,30659,10,0.8179621875,0.00025,5164,2.1875967979431152
-107.00405132999998,111.85,312,2893,31045,10,0.8156703125000001,0.00025,5261,0.868679404258728
-105.47455236999998,112.68,316,2881,31471,10,0.8131409375000002,0.00025,5367,1.173282504081726
-106.8473189,111.92,320,2871,31846,11,0.8109143750000001,0.00025,5461,1.3342368602752686
-103.91607211000002,111.06,324,2861,32195,11,0.8088421874999999,0.00025,5548,0.8988613486289978
-102.52729221,110.52,328,2852,32535,11,0.8068234375000001,0.00025,5633,2.4327950477600098
-101.91442135,110.53,332,2834,32881,11,0.8047690625000001,0.00025,5720,0.5253017544746399
-100.75919949999998,110.66,336,2826,33236,11,0.80266125,0.00025,5808,0.7039631009101868
-100.48267668999999,110.68,340,2815,33693,11,0.7999478124999999,0.00025,5923,0.9548547267913818
-99.44540232000001,110.11,344,2805,34128,12,0.7973650000000001,0.00025,6031,2.7263176441192627
-98.03629181000001,110.57,348,2795,34567,12,0.7947584374999999,0.00025,6141,0.6087585091590881
-96.30344896999999,110.75,352,2786,34987,12,0.7922646874999999,0.00025,6246,1.0058282613754272
-95.85844029000002,110.4,356,2769,35369,12,0.7899965625,0.00025,6342,0.9916504621505737
-96.88723644000001,109.4,360,2763,35712,12,0.78796,0.00025,6427,1.417721152305603
-96.29422547,109.73,364,2755,36112,13,0.785585,0.00025,6527,4.066910743713379
-96.71237062,109.86,368,2746,36518,13,0.783174375,0.00025,6629,0.4980398714542389
-96.1258932,108.08,372,2740,36845,13,0.7812328124999999,0.00025,6711,1.6437005996704102
-95.21392232,107.34,376,2733,37225,13,0.7789765624999999,0.00025,6806,0.5961061120033264
-92.02796944999999,107.45,380,2718,37645,13,0.7764828125,0.00025,6911,6.698969841003418
