#{"t_start": 1759221886.676092, "env_id": "LunarLander-v3"}
r,l,t
-351.157765,123,4.066392
-131.249639,91,4.073381
-207.868163,68,4.078555
-28.961368,100,4.086704
-165.299992,102,4.09661
-402.62303,96,4.103957
-157.74164,85,4.1102
-229.134806,81,4.116129
-119.82256,103,4.125197
-428.380613,88,4.131264
-278.33754,92,4.140669
-163.408952,98,4.146806
-264.038744,112,4.155702
-111.456148,110,4.162955
-93.979916,82,4.179325
-78.389859,88,4.193552
-67.946313,56,4.203805
-284.549146,101,4.210034
-69.574359,71,4.215121
18.160472,89,4.221409
-55.999144,76,4.227701
-96.390426,69,4.232561
-354.904866,99,4.240193
-77.309417,59,4.244122
-130.580844,65,4.24975
-142.329028,73,4.254445
-117.810431,64,4.258988
-93.012197,73,4.264478
-331.326888,89,4.272141
-95.763956,71,4.276879
-145.691905,112,4.284335
-83.711165,77,4.289534
-145.721952,88,4.297516
-126.604356,104,4.30484
-292.15453,117,4.315657
-98.018638,100,4.322801
-172.542709,104,4.331096
-231.882201,103,4.338215
-100.87233,78,4.343476
-295.732749,106,4.350622
-67.587673,103,4.359255
-94.783005,126,4.367567
-289.503512,100,4.374825
-432.745364,100,4.381054
-340.030815,83,4.388551
-128.424707,60,4.39244
-225.253268,110,4.399728
-88.650812,64,4.403871
-110.729242,93,4.411528
-15.823195,74,4.416374
-508.664828,113,4.424819
-145.490815,114,4.433742
-197.356545,122,4.444594
-407.265077,107,4.452013
-392.3886,95,4.459286
-282.386441,93,4.465323
-262.460359,98,4.473753
-239.904643,104,4.480936
-121.543615,129,4.490799
-202.136368,99,4.496991
-146.155636,72,4.503158
-115.25891,63,4.507171
-343.831011,77,4.512562
-430.83381,107,4.51978
-91.395857,66,4.526146
-145.229915,82,4.532059
-294.412804,94,4.539049
-86.34678,59,4.543647
-87.549725,63,4.55231
-137.567955,95,4.558648
-136.383686,118,4.56674
-200.744792,109,4.573936
-232.17524,98,4.582026
-350.38259,105,4.589222
-409.331679,81,4.594433
-86.261561,75,4.599373
-99.911833,104,4.608981
-253.218692,70,4.613709
-172.728915,82,4.619641
-132.131057,66,4.623972
-118.866769,78,4.630858
-162.692983,86,4.636624
-559.025046,116,4.644207
-172.390579,96,4.650647
-197.338277,131,4.662992
-158.200134,111,4.67323
-150.631174,88,4.695081
-193.214801,100,4.705624
-273.258378,103,4.713704
-471.941848,100,4.720618
-247.186446,80,4.72601
-134.835879,110,4.733285
-85.119458,63,4.739462
-142.384761,95,4.745844
-177.358156,75,4.750912
-72.60922,75,4.755821
-306.303019,95,4.765882
-232.015328,126,4.775022
-118.533304,90,4.781727
-120.195801,106,4.789219
-67.993369,71,4.795333
-137.159455,116,4.802913
-79.5271,61,4.807238
-133.351376,90,4.813162
8.965338,82,4.82018
-9.664403,118,4.828003
-113.73933,68,4.832395
-276.257807,101,4.839003
-114.577557,78,4.845308
-92.607516,60,4.876107
-305.325552,116,4.925883
-126.332394,88,4.962667
-65.765589,73,5.001411
-104.631712,70,5.031343
-349.504071,126,5.088014
-338.29343,97,5.127656
-393.117222,91,5.169206
-254.213378,117,5.221363
-290.400406,133,5.276372
-300.260997,120,5.334535
-396.898272,93,5.377047
-64.763912,127,5.431286
-179.953198,151,5.494582
-212.539966,94,5.54439
-227.097454,101,5.618417
-79.746973,95,5.658934
-142.63049,103,5.701272
-141.661467,117,5.754814
-385.576455,118,5.807439
-210.815025,69,5.839344
-48.743455,75,5.870578
-177.822919,82,5.905823
-95.555163,111,5.959262
-152.693872,111,6.00649
-82.664185,87,6.046672
-272.991332,116,6.095359
-9.640203,94,6.141029
-82.789261,96,6.181426
-139.145831,69,6.21095
-89.268357,83,6.248622
-268.437633,94,6.29142
-94.42857,122,6.341925
-132.962205,81,6.380427
-176.958703,93,6.418866
-190.731873,69,6.476781
-35.267587,77,6.508761
-84.415148,67,6.538024
-93.802502,70,6.572445
-82.925409,61,6.600501
-329.156534,99,6.643235
-70.242457,79,6.678724
-134.851946,66,6.707545
-67.017967,116,6.76006
-263.909382,95,6.803281
-378.998455,107,6.847021
-103.928633,79,6.883901
-31.008986,72,6.917475
-104.561074,66,6.945924
-81.026274,94,6.987553
-183.485387,67,7.016363
-80.314145,140,7.078816
-65.390401,144,7.142838
-29.178593,64,7.170063
-160.61683,82,7.207142
-177.657247,103,7.275622
-243.236013,87,7.315819
-100.136346,73,7.346413
-171.274983,101,7.388174
-149.61793,100,7.436971
-107.543646,103,7.47939
-148.230799,109,7.52849
-258.417221,147,7.590729
-291.341978,107,7.644885
-272.875596,118,7.693171
-102.911756,64,7.719338
-158.447332,93,7.763035
-133.741002,123,7.817026
-72.739066,70,7.85139
-94.566124,69,7.879613
-183.508184,113,7.926704
-118.042339,74,7.964705
-38.259557,94,8.004521
-273.49836,104,8.050788
-60.92086,65,8.080325
-67.595098,97,8.148732
-57.601077,104,8.192831
-138.472953,99,8.234515
-107.02977,151,8.299657
-94.895321,85,8.341345
-75.28949,76,8.379602
-359.656933,130,8.433133
-276.280486,151,8.501724
-106.048731,95,8.546155
-107.772079,108,8.59614
-74.859789,68,8.62473
-93.468867,69,8.65424
-123.962722,133,8.716487
-91.210229,105,8.760351
-81.190854,70,8.794004
-33.307564,117,8.843649
-102.805395,72,8.876591
-112.440803,77,8.913744
-95.24996,127,8.967922
-222.502524,110,9.019535
-285.913464,119,9.095068
-109.475671,64,9.125445
-75.299383,83,9.160311
-105.819286,134,9.225418
-107.2072,72,9.259296
-99.634633,90,9.29632
-159.647802,112,9.347065
-284.954021,93,9.385808
-103.037048,84,9.426197
-116.882819,81,9.462723
-50.686757,75,9.492827
-216.849182,103,9.540342
32.688547,153,9.608483
-78.848501,113,9.660306
-95.962477,104,9.70467
-83.245894,81,9.738152
-192.377232,115,9.791413
-144.824968,115,9.838328
-160.200089,116,9.916531
-136.369677,89,9.958289
-114.654062,138,10.020039
-171.022383,85,10.055202
-61.266218,101,10.102285
-63.556517,70,10.130746
-100.76909,73,10.166979
-90.093526,103,10.212029
-41.417872,67,10.240865
-177.76934,102,10.28691
-95.712762,105,10.334243
-90.274292,76,10.367075
-132.777888,62,10.395982
-188.200405,99,10.438627
-121.092801,95,10.484127
-87.569895,116,10.535562
-123.250236,102,10.577675
-67.354326,142,10.642216
-85.416708,143,10.709337
-54.864407,113,10.758592
-89.205617,121,10.835338
-153.018757,115,10.884554
-118.184182,94,10.931083
-89.95147,101,10.973217
-114.6501,75,11.004659
-32.56301,123,11.060994
-92.238996,120,11.115369
-264.368483,103,11.163123
-53.417584,66,11.190808
-119.944444,113,11.241223
-95.156522,101,11.2891
-62.562203,93,11.332352
-139.309697,88,11.369843
-125.281138,135,11.427856
-74.432023,134,11.490158
-38.639486,87,11.527438
-119.381626,130,11.586323
-58.433191,92,11.62548
-72.840285,89,11.695645
-114.35534,85,11.731595
-130.345648,123,11.788047
