#{"t_start": 1759224333.139482, "env_id": "LunarLander-v3"}
r,l,t
-351.157765,123,0.828176
-131.249639,91,0.834933
-207.868163,68,0.839629
-28.961368,100,0.84681
-165.299992,102,0.857685
-402.62303,96,0.864362
-157.74164,85,0.870062
-229.134806,81,0.875334
-119.82256,103,0.88369
-428.380613,88,0.889376
-278.33754,92,0.896228
-163.408952,98,0.902559
-264.038744,112,0.911036
-111.456148,110,0.918146
-93.979916,82,0.923333
-78.389859,88,0.929186
-67.946313,56,0.937058
-284.549146,101,0.943277
-69.574359,71,0.948078
18.160472,89,0.953881
-55.999144,76,0.960168
-96.390426,69,0.964648
-354.904866,99,0.971518
-77.309417,59,0.975294
-130.580844,65,0.981167
-142.329028,73,0.985968
-117.810431,64,0.990365
-93.012197,73,0.995258
-331.326888,89,1.002212
-95.763956,71,1.006772
-145.691905,112,1.01395
-83.711165,77,1.018933
-145.721952,88,1.026044
-126.604356,104,1.03246
-292.15453,117,1.040354
-98.018638,100,1.047549
-172.542709,104,1.058066
-231.882201,103,1.064889
-100.87233,78,1.069896
-295.732749,106,1.076735
-67.587673,103,1.084422
-94.783005,126,1.092464
-289.503512,100,1.098859
-432.745364,100,1.105202
-340.030815,83,1.112527
-128.424707,60,1.116445
-225.253268,110,1.123614
-88.650812,64,1.127797
-110.729242,93,1.140702
-15.823195,74,1.160036
-508.664828,113,1.172027
-145.490815,114,1.179847
-197.356545,122,1.191481
-407.265077,107,1.198383
-392.3886,95,1.205038
-282.386441,93,1.210749
-262.460359,98,1.21851
-239.904643,104,1.225315
-121.543615,129,1.233549
-202.136368,99,1.239979
-146.155636,72,1.24571
-115.25891,63,1.249751
-343.831011,77,1.25516
-430.83381,107,1.262338
-91.395857,66,1.268025
-145.229915,82,1.27369
-294.412804,94,1.279595
-86.34678,59,1.283484
-87.549725,63,1.292026
-137.567955,95,1.298351
-136.383686,118,1.305803
-200.744792,109,1.312798
-232.17524,98,1.320474
-350.38259,105,1.327641
-409.331679,81,1.332879
-86.261561,75,1.337841
-99.911833,104,1.346523
-253.218692,70,1.351154
-172.728915,82,1.356778
-132.131057,66,1.361223
-118.866769,78,1.367371
-162.692983,86,1.372822
-559.025046,116,1.380174
-172.390579,96,1.38635
-197.338277,131,1.398852
-158.200134,111,1.405945
-150.631174,88,1.411844
-193.214801,100,1.418821
-273.258378,103,1.426842
-471.941848,100,1.433376
-247.186446,80,1.438426
-134.835879,110,1.445463
-85.119458,63,1.451035
-142.384761,95,1.457017
-177.358156,75,1.462091
-72.60922,75,1.467051
-306.303019,95,1.474531
-232.015328,126,1.482902
-118.533304,90,1.48939
-120.195801,106,1.496277
-67.993369,71,1.504938
-137.159455,116,1.512379
-79.5271,61,1.516528
-133.351376,90,1.522351
8.965338,82,1.52917
-9.664403,118,1.536838
-113.73933,68,1.541207
-276.257807,101,1.547633
-114.577557,78,1.55389
-92.607516,60,1.561914
-305.325552,116,1.614991
-126.332394,88,1.652113
-65.765589,73,1.684544
-104.631712,70,1.717074
-349.504071,126,1.769321
-338.29343,97,1.808496
-393.117222,91,1.850784
-254.213378,117,1.898863
-290.400406,133,1.956609
-300.260997,120,2.006198
-396.898272,93,2.050331
-64.763912,127,2.100491
-179.953198,151,2.165877
-212.539966,94,2.205407
-227.097454,101,2.252371
-79.746973,95,2.291776
-142.63049,103,2.332843
-141.661467,117,2.394236
-385.576455,118,2.444046
-210.815025,69,2.475326
-48.743455,75,2.506127
-177.822919,82,2.539568
-95.555163,111,2.590247
-152.693872,111,2.636173
-82.664185,87,2.67514
-272.991332,116,2.722844
-9.640203,94,2.76318
-82.789261,96,2.806212
-139.145831,69,2.835426
-89.268357,83,2.868409
-268.437633,94,2.912403
-94.42857,122,2.961596
-132.962205,81,2.99932
-176.958703,93,3.036726
-190.731873,69,3.066037
-35.267587,77,3.100279
-84.415148,67,3.128036
-93.802502,70,3.157194
-82.925409,61,3.183741
-329.156534,99,3.228328
-70.242457,79,3.259688
-134.851946,66,3.287395
-67.017967,116,3.340689
-263.909382,95,3.379396
-378.998455,107,3.425528
-103.928633,79,3.458392
-31.008986,72,3.49069
-104.561074,66,3.520737
-81.026274,94,3.559154
-183.485387,67,3.586229
-80.314145,140,3.648379
-65.390401,144,3.707671
-29.178593,64,3.737488
-160.61683,82,3.771012
-177.657247,103,3.814433
