rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
-179.80923375,4,0,7469,95.5,382,0.9977318749999999,,,
-209.254550375,8,0,9419,93.25,746,0.995570625,,,
-221.998839,12,0,10586,93.91666666666667,1127,0.9933084375,,,
-200.7406709375,16,0,11417,94.9375,1519,0.9909809374999999,,,
-180.78800404999998,20,0,11627,91.8,1836,0.98909875,,,
-175.0151639166667,24,0,11940,89.125,2139,0.9872996875000001,,,
-167.2891583571429,28,0,12121,86.21428571428571,2414,0.9856668749999999,,,
-166.893448375,32,0,12400,86.34375,2763,0.9835946875000001,,,
-166.75249511111107,36,0,12614,88.11111111111111,3172,0.98116625,,,
-170.10299532500002,40,0,12697,89.075,3563,0.9788446875000001,,,
-174.7440765227273,44,0,12916,90.72727272727273,3992,0.9762975,,,
-176.4812285208333,48,0,12989,89.77083333333333,4309,0.9744153125000001,,,
-177.91936632692307,52,0,12210,90.4423076923077,4703,0.9720759375000001,,,
-188.05720914285715,56,0,12348,91.42857142857143,5120,0.9695999999999999,,,
-189.28747828333334,60,0,12504,92.5,5550,0.9670468750000001,,,
-193.64575100000002,64,0,12587,91.703125,5869,0.9651528125000001,,,
-191.33402088235295,68,0,12658,90.73529411764706,6170,0.963365625,,,
-188.51332747222222,72,0,12684,91.04166666666667,6555,0.9610796875000001,,,
-192.77777168421053,76,0,12762,90.97368421052632,6914,0.958948125,,,
-191.3637643125,80,0,12804,90.45,7236,0.9570362499999999,,,
-194.31043478571434,84,0,12895,90.61904761904762,7612,0.9548037500000001,,,
-193.42569213636364,88,0,12914,91.38636363636364,8042,0.9522506249999999,,,
-197.26829846739128,92,0,12990,91.68478260869566,8435,0.9499171874999999,,,
-194.02244847916666,96,0,13031,91.07291666666667,8743,0.9480884375,,,
-194.03202506000002,100,0,13082,91.6,9160,0.9456125,,,
-191.01996871,104,0,13078,91.16,9498,0.943605625,,,
-185.37893605000002,108,0,13128,91.21,9867,0.9414146875000001,,,
-181.86786959,112,0,11925,90.82,10209,0.9393840625,52,0.00025,4.212646484375
-184.97117093999998,116,1,10444,90.56,10575,0.9372109375,143,0.00025,1.0730156898498535
-193.31199751000003,120,1,9119,92.0,11036,0.93447375,258,0.00025,0.6814286112785339
-196.00751245999996,124,1,8160,93.62,11501,0.9317128125,375,0.00025,0.839748740196228
-197.0815513,128,1,7456,95.03,11917,0.9292428125000001,479,0.00025,0.5088542699813843
-198.74619069999997,132,1,7032,94.98,12261,0.9272003125000001,565,0.00025,1.4595412015914917
-198.16024146000004,136,1,6583,95.14,12686,0.9246768749999998,671,0.00025,3.172600746154785
-193.35837809000003,140,2,6286,94.65,13028,0.92264625,756,0.00025,0.800019383430481
-191.24005366,144,2,5988,94.26,13418,0.9203306249999998,854,0.00025,0.26013147830963135
-187.45862874,148,2,5802,93.92,13701,0.9186503125,925,0.00025,1.170052170753479
-185.8233114,152,2,5621,93.03,14006,0.916839375,1001,0.00025,2.5520942211151123
-181.16788914,156,2,5409,92.83,14403,0.9144821875000001,1100,0.00025,0.5330642461776733
-176.90825650000002,160,2,5269,91.52,14702,0.912706875,1175,0.00025,3.5455498695373535
-169.90246252,164,2,5086,92.63,15132,0.91015375,1282,0.00025,0.7145860195159912
-170.65165484999997,168,3,4953,93.26,15496,0.9079925,1373,0.00025,1.9018235206604004
-171.66728923,172,3,4798,94.0,15955,0.9052671875000001,1488,0.00025,0.21771469712257385
-169.14154515,176,3,4681,94.23,16337,0.9029990625,1584,0.00025,2.0135645866394043
-167.40718393999998,180,3,4581,94.76,16712,0.9007724999999999,1677,0.00025,2.6525394916534424
-162.18464133,184,3,4462,94.37,17049,0.8987715625,1762,0.00025,0.9653663635253906
-158.89778644999998,188,4,4360,94.58,17500,0.8960937500000001,1874,0.00025,0.3188033103942871
-155.68678323999998,192,4,4273,95.07,17942,0.893469375,1985,0.00025,1.6377143859863281
-154.73356195,196,4,4202,95.39,18282,0.891450625,2070,0.00025,0.7801083326339722
-150.25980112000002,200,4,4131,95.47,18707,0.8889271875000001,2176,0.00025,0.24152061343193054
-151.40947493999997,204,4,4066,95.95,19093,0.8866353125000002,2273,0.00025,0.4020704925060272
-153.26759096,208,4,4005,96.26,19493,0.8842603125000001,2373,0.00025,0.7643729448318481
-153.39359733,212,5,3954,96.51,19860,0.88208125,2464,0.00025,2.257603168487549
