#{"t_start": 1759230706.64346, "env_id": "LunarLander-v3"}
r,l,t
-351.157765,123,0.97583
-131.249639,91,0.98302
-207.868163,68,0.987998
-28.961368,100,0.995007
-165.299992,102,1.007264
-402.62303,96,1.014215
-157.74164,85,1.027993
-229.134806,81,1.043318
-119.82256,103,1.056465
-428.380613,88,1.062754
-278.33754,92,1.074454
-163.408952,98,1.080569
-264.038744,112,1.089428
-111.456148,110,1.096814
-93.979916,82,1.101942
-78.389859,88,1.107847
-67.946313,56,1.113284
-284.549146,101,1.120123
-69.574359,71,1.12495
18.160472,89,1.131264
-55.999144,76,1.138043
-96.390426,69,1.142519
-354.904866,99,1.150023
-77.309417,59,1.154073
-130.580844,65,1.159733
-142.329028,73,1.164343
-117.810431,64,1.168982
-93.012197,73,1.173812
-331.326888,89,1.184007
-95.763956,71,1.188844
-145.691905,112,1.196074
-83.711165,77,1.201428
-145.721952,88,1.208604
-126.604356,104,1.215374
-292.15453,117,1.223322
-98.018638,100,1.229754
-172.542709,104,1.237822
-231.882201,103,1.244603
-100.87233,78,1.249517
-295.732749,106,1.256637
-67.587673,103,1.264357
-94.783005,126,1.272252
-289.503512,100,1.27872
-432.745364,100,1.285071
-340.030815,83,1.295569
-128.424707,60,1.299551
-225.253268,110,1.307007
-88.650812,64,1.311257
-110.729242,93,1.31871
-15.823195,74,1.323594
-508.664828,113,1.331145
-145.490815,114,1.338234
-197.356545,122,1.347658
-407.265077,107,1.3547
-392.3886,95,1.361371
-282.386441,93,1.367001
-262.460359,98,1.374726
-239.904643,104,1.381827
-121.543615,129,1.389809
-202.136368,99,1.396331
-146.155636,72,1.405854
-115.25891,63,1.410301
-343.831011,77,1.416088
-430.83381,107,1.422926
-91.395857,66,1.428638
-145.229915,82,1.435349
-294.412804,94,1.441744
-86.34678,59,1.445705
-87.549725,63,1.45181
-137.567955,95,1.457735
-136.383686,118,1.466322
-200.744792,109,1.473464
-232.17524,98,1.481038
-350.38259,105,1.487849
-409.331679,81,1.493061
-86.261561,75,1.49828
-99.911833,104,1.509509
-253.218692,70,1.514154
-172.728915,82,1.519671
-132.131057,66,1.524077
-118.866769,78,1.530446
-162.692983,86,1.535964
-559.025046,116,1.543371
-172.390579,96,1.550004
-197.338277,131,1.559484
-158.200134,111,1.566923
-150.631174,88,1.572737
-193.214801,100,1.579729
-273.258378,103,1.587605
-471.941848,100,1.594215
-247.186446,80,1.599197
-134.835879,110,1.606216
-85.119458,63,1.611662
-142.384761,95,1.617519
-177.358156,75,1.622661
-72.60922,75,1.627536
-306.303019,95,1.637582
-232.015328,126,1.645722
-118.533304,90,1.65242
-120.195801,106,1.659375
-67.993369,71,1.665432
-137.159455,116,1.672768
-79.5271,61,1.677045
-133.351376,90,1.682916
8.965338,82,1.689872
-9.664403,118,1.69795
-113.73933,68,1.702311
-276.257807,101,1.708875
-114.577557,78,1.714953
-92.607516,60,1.751178
-305.325552,116,1.828776
-126.332394,88,1.897193
-65.765589,73,1.931431
-104.631712,70,1.96542
-349.504071,126,2.020901
-338.29343,97,2.064313
-393.117222,91,2.106005
-254.213378,117,2.155515
-290.400406,133,2.217176
-300.260997,120,2.273927
