time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
3315,0,-115.844556,1600.0,2048,1,,,,,,,,,,,,,
2529,1,-108.8047715,1600.0,4096,2,0.0003,-0.016496891925635283,-0.07097780704498291,0.9859530925750732,10,-5.641447353363037,0.149609375,0.5701394262723625,0.143352210521698,0.2,0.0128012225,,
2292,2,-108.25577675,1217.75,6144,3,0.0003,-0.015835929432068952,0.5709648132324219,0.9804503917694092,20,-5.6035624831914905,0.149072265625,0.28279848978854716,0.08672728389501572,0.2,0.012272624,,
2215,3,-103.7047707142857,1166.0,8192,4,0.0003,-0.0043558444987866094,0.11910557746887207,0.9766180515289307,30,-5.586304870247841,0.03759765625,33.8891987123061,23.725969314575195,0.2,0.007272658,,
2161,4,-103.71068849999999,1220.25,10240,5,0.0003,-0.005104924248007592,0.003316640853881836,0.9724183082580566,40,-5.572973944246769,0.04423828125,30.301442793058232,47.14452362060547,0.2,0.0066407705,,
2126,5,-102.84083633333333,1262.4444444444443,12288,6,0.0003,-0.015091459540417417,0.5412238836288452,0.954522430896759,50,-5.520551468431949,0.15244140625,0.11447212701896206,0.06437140703201294,0.2,0.011679231,,
2101,6,-102.65474709090908,1184.4545454545455,14336,7,0.0003,-0.010744196291489061,0.7197303771972656,0.9406307339668274,60,-5.457521677017212,0.092041015625,0.09000772599829361,-0.0013805888593196869,0.2,0.009359952,,
2074,7,-99.00217892307691,1248.3846153846155,16384,8,0.0003,-0.004024113251216477,-0.22246849536895752,0.9401259422302246,70,-5.4287948742508885,0.035302734375,33.943457027012485,18.919801712036133,0.2,0.005072861,,
2070,8,-100.06309221052632,955.5263157894736,18432,9,0.0003,-0.012542108994966838,0.5836611986160278,0.9315020442008972,80,-5.411528097093106,0.138720703125,0.9210461848415434,0.506570041179657,0.2,0.01109133,,
2061,9,-100.3907210869565,870.0,20480,10,0.0003,-0.003386835247511044,0.20670855045318604,0.9322586059570312,90,-5.391367137432098,0.0033203125,120.5668851852417,62.94804000854492,0.2,0.0024371198,,
2057,10,-99.55767041666665,900.4166666666666,22528,11,0.0003,-0.006529969134862768,0.5742211937904358,0.9322870373725891,100,-5.393586927652359,0.012646484375,59.37496651150286,19.399078369140625,0.2,0.0046654427,,
2054,11,-98.73864199999998,928.4,24576,12,0.0003,-0.008420260902494193,0.04240083694458008,0.9240925312042236,110,-5.372565166652203,0.079833984375,0.20852768465410917,0.03710576146841049,0.2,0.008995254,,
,,,,25000,,0.0003,-0.009076122331316583,0.32554030418395996,0.908544659614563,120,-5.318462981283664,0.10146484375,0.13718097793171183,0.06159104034304619,0.2,0.011724273,1299.8,-77.15152549282648
1839,14,-100.37529647058822,755.8823529411765,26624,13,,,,,,,,,,,,,
1851,15,-99.54380065714284,780.0,28672,14,0.0003,-0.004472633110708557,0.35989123582839966,0.9071277379989624,130,-5.287266398966312,0.029541015625,153.72380092591047,60.76399230957031,0.2,0.004924034,,
1860,16,-98.27900599999998,824.3243243243244,30720,15,0.0003,-0.0077460393673391085,-0.30900895595550537,0.8927556276321411,140,-5.252612680196762,0.099365234375,0.1900326281087473,0.05706462636590004,0.2,0.008646653,,
1869,17,-97.63308434210525,844.7368421052631,32768,16,0.0003,-0.010101334063801915,0.8241526484489441,0.8767396211624146,150,-5.183950479328632,0.062890625,0.2859418934443966,0.027415543794631958,0.2,0.0081947055,,
1877,18,-98.0446157804878,824.3170731707318,34816,17,0.0003,-0.012273435642418918,0.8521131277084351,0.874439001083374,160,-5.142349772155285,0.103369140625,0.4073243287857622,0.15636521577835083,0.2,0.009049885,,
1881,19,-97.55970478571427,842.7857142857143,36864,18,0.0003,-0.003551673097535968,0.31265103816986084,0.8739365935325623,170,-5.136169056594372,0.0181640625,48.63047130494378,6.887874126434326,0.2,0.0045000473,,
1887,20,-97.12040822222221,859.0666666666667,38912,19,0.0003,-0.006746059884608258,-0.7206834554672241,0.8500732183456421,180,-5.074864053726197,0.114599609375,0.18457394813885913,0.00428113155066967,0.2,0.011245997,,
1893,21,-97.62785700000002,826.3265306122449,40960,20,0.0003,-0.004238662053830921,0.5680680274963379,0.8518458604812622,190,-5.025968594849109,0.047314453125,12.610221367911436,0.11077339947223663,0.2,0.0060734767,,
