time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
5545,0,-1190.8826377999999,200.0,2048,1,,,,,,,,,,,,,
3611,1,-1144.3174963000001,200.0,4096,2,0.0003,-0.002291180410247762,0.008196055889129639,0.9880203604698181,10,-1.4113397173583508,0.0232421875,8748.601782226562,4132.3212890625,0.2,0.0036137225,,
3236,1,-1136.6004046,200.0,6144,3,0.0003,-0.0012422732172126417,0.19428658485412598,0.971548855304718,20,-1.3981007482856511,0.004541015625,6994.148213195801,3024.361572265625,0.2,0.0020371857,,
3085,2,-1138.3915958999999,200.0,8192,4,0.0003,-0.00447088315122528,0.07235896587371826,0.9658660292625427,30,-1.3882449105381967,0.0376953125,7012.878254699707,3094.134765625,0.2,0.005477583,,
2980,3,-1176.4663676470589,200.0,10240,5,0.0003,-0.003686397736601066,0.019009888172149658,0.9566751718521118,40,-1.3791803151369095,0.04697265625,7326.250978088379,3456.409423828125,0.2,0.00601751,,
2922,4,-1153.960650885246,200.0,12288,6,0.0003,-0.0020177215163130315,0.0032986998558044434,0.9477978944778442,50,-1.370478281751275,0.02216796875,9678.673538208008,4174.3212890625,0.2,0.0035149497,,
2872,4,-1162.0752438873242,200.0,14336,7,0.0003,-0.002026771067176014,0.005700409412384033,0.9310227632522583,60,-1.3554626774042844,0.0162109375,5957.870834350586,2868.864990234375,0.2,0.0024323247,,
2851,5,-1178.1941433703705,200.0,16384,8,0.0003,-0.0018790525733493268,0.0017861723899841309,0.9313514232635498,70,-1.3480595648288727,0.013330078125,7968.647538757325,4053.170166015625,0.2,0.0032331068,,
2825,6,-1173.2589084673914,200.0,18432,9,0.0003,-0.0016044202144257723,0.0009325146675109863,0.9103946685791016,80,-1.3354164902120829,0.00380859375,8344.034005737305,4275.45166015625,0.2,0.0021364454,,
2813,7,-1169.8685116700003,200.0,20480,10,0.0003,-0.0016290983723592945,0.0014824271202087402,0.9114343523979187,90,-1.326398118957877,0.013134765625,6568.353671264648,2819.54833984375,0.2,0.0021630062,,
2797,8,-1171.01567033,200.0,22528,11,0.0003,-0.0015224949849653058,0.0008701086044311523,0.8967462182044983,100,-1.3183842971920967,0.006201171875,6835.915591430664,3517.845458984375,0.2,0.0025109416,,
2789,8,-1204.2774969799998,200.0,24576,12,0.0003,-0.0017443039425415919,0.0007029175758361816,0.8853296637535095,110,-1.3022399548441173,0.0208984375,6766.826254272461,2935.7294921875,0.2,0.0023641724,,
,,,,25000,,0.0003,-0.0024148857715772464,0.0005638003349304199,0.8729645013809204,120,-1.2908754106611013,0.015380859375,8619.299111938477,4277.68798828125,0.2,0.0025192648,200.0,-1149.830760394782
2734,9,-1204.6222622,200.0,26624,13,,,,,,,,,,,,,
2733,10,-1206.5153367399998,200.0,28672,14,0.0003,-0.0006486032230895944,0.0005168318748474121,0.8709481954574585,130,-1.2818907782435418,0.006884765625,5896.67322845459,2562.359130859375,0.2,0.0011284151,,
2728,11,-1207.8208170599999,200.0,30720,15,0.0003,-0.0006288540906098205,0.0002613663673400879,0.868961751461029,140,-1.2797121424227953,0.006591796875,7381.888314819336,3231.389892578125,0.2,0.0019603916,,
2728,12,-1199.5155621099998,200.0,32768,16,0.0003,-0.0038127831227029673,0.0003161430358886719,0.871161937713623,150,-1.2782661698758602,0.033837890625,6577.233386230469,3034.06689453125,0.2,0.004491655,,
2722,12,-1207.46329549,200.0,34816,17,0.0003,-0.0028843226216849873,0.000307619571685791,0.8878345489501953,160,-1.2926360312849283,0.020654296875,4887.979544067382,2387.301025390625,0.2,0.0035263516,,
2723,13,-1190.6108611500001,200.0,36864,18,0.0003,-0.003095004355418496,0.00015503168106079102,0.8727657198905945,170,-1.2904965713620187,0.033935546875,6075.86396484375,2684.2021484375,0.2,0.0032342873,,
2719,14,-1186.02967464,200.0,38912,19,0.0003,-0.0019141261596814728,0.0001831650733947754,0.864725649356842,180,-1.2794634602963924,0.01103515625,4923.878681945801,2095.20947265625,0.2,0.002879869,,
2718,15,-1175.6937687399998,200.0,40960,20,0.0003,-0.002557294545840705,0.00011992454528808594,0.8689208626747131,190,-1.2774939753115178,0.018896484375,4537.107652282715,2050.755126953125,0.2,0.0033124934,,
2715,15,-1184.58119794,200.0,43008,21,0.0003,-0.001880607649218291,7.56382942199707e-05,0.8828625082969666,200,-1.285120901837945,0.02119140625,5362.50885925293,2325.595703125,0.2,0.0038954164,,
2715,16,-1179.48096413,200.0,45056,22,0.0003,-0.002650625957903685,5.424022674560547e-05,0.8925851583480835,210,-1.2989708736538887,0.0203125,5557.495701599121,2178.839599609375,0.2,0.004036043,,
2712,17,-1174.46548545,200.0,47104,23,0.0003,-0.005256151828507427,5.435943603515625e-05,0.9074394702911377,220,-1.3132186986505985,0.03154296875,5234.059227752686,2162.255126953125,0.2,0.0044274973,,
2713,18,-1148.7653079900003,200.0,49152,24,0.0003,-0.0015240640277625062,5.9545040130615234e-05,0.8934831619262695,230,-1.3130604404956103,0.023828125,4485.727543640137,2054.68408203125,0.2,0.003358265,,
,,,,50000,,0.0003,-0.001605248192208819,6.020069122314453e-05,0.907347559928894,240,-1.3122695434838534,0.026708984375,3162.5206035614015,1461.314208984375,0.2,0.0034909304,200.0,-1036.8221466965974
2690,19,-1132.88092993,200.0,51200,25,,,,,,,,,,,,,
2692,19,-1144.49870315,200.0,53248,26,0.0003,-0.0029143610066967086,3.743171691894531e-05,0.8947349190711975,250,-1.3163060467690229,0.02041015625,3602.6036628723145,1338.4013671875,0.2,0.0032160545,,
2690,20,-1134.72070502,200.0,55296,27,0.0003,-0.0009903149344609118,1.5556812286376953e-05,0.8874444961547852,260,-1.3040495704859496,0.010546875,4772.0618301391605,2264.787109375,0.2,0.003212222,,
2691,21,-1132.6899309,200.0,57344,28,0.0003,-0.0010989241432980633,2.9921531677246094e-05,0.8962262868881226,270,-1.3052290584892035,0.010009765625,3985.315901184082,1814.5911865234375,0.2,0.002236893,,
