#{"t_start": 1759318013.70288, "env_id": "BipedalWalker-v3"}
r,l,t
-115.844556,1600,0.494861
-101.764987,1600,1.372348
-107.139284,1600,2.279596
-108.27428,71,2.29962
-92.997267,1600,3.216293
-101.040478,91,3.242653
-98.872543,1600,3.691775
-103.752113,1600,4.607578
-95.882019,1600,5.515577
-87.813109,1600,6.433002
-115.821582,67,6.452686
-78.454055,1600,7.376565
-79.372053,1600,7.831746
-78.879323,1600,8.736397
-113.588787,68,8.754992
-102.274532,58,8.771467
-101.145906,66,8.789797
-105.047752,38,8.801498
-113.234126,96,8.82721
-76.751751,1600,9.73371
-112.468963,67,9.752677
-106.81607,63,9.770663
-111.751049,125,9.806838
-80.397505,1600,10.707394
-79.08196,1600,11.588917
-75.516422,1600,12.481097
-113.547597,54,12.496223
-102.91459,64,12.514016
-103.602064,52,12.528477
-115.228752,408,14.128986
-121.393534,160,14.174879
-105.888473,40,14.186702
-104.517096,57,14.202775
-101.685502,55,14.218472
-71.272943,1600,15.091339
-74.294711,1600,15.98724
-77.995488,1600,16.429401
-73.733983,1600,17.35038
-86.571119,1600,18.237805
-116.637768,58,18.254596
-106.563155,39,18.265975
-77.678354,1600,19.17563
-78.564925,1600,20.08976
-87.012926,1600,20.531749
-107.332918,61,20.549033
-78.647437,1600,21.416986
-103.464651,81,21.439256
-125.469581,85,21.465841
-105.764954,66,21.484355
-88.338926,1600,22.402975
-108.27721,38,22.415126
-107.003304,45,22.431901
-110.912384,67,22.45057
-85.398564,1600,23.332841
-74.886207,1600,24.197118
-71.310124,1600,24.668695
-70.523838,1600,25.533559
-72.223287,1600,28.290807
-80.761434,1600,29.182948
-72.327525,1600,30.044278
-73.005604,1600,30.502821
-114.159641,53,30.518336
-57.194281,1600,31.399948
-116.133687,49,31.416563
-69.000656,1600,32.305993
-56.254558,1600,33.161168
-45.916854,1600,34.047766
-59.110918,1600,34.479621
-53.625452,1600,35.362269
-44.97087,1600,36.237282
-32.722582,1600,37.088367
-27.920185,1600,37.548241
-107.086358,185,38.052682
-112.267896,41,38.064718
-114.40515,435,38.182635
-28.454298,1600,39.055496
-26.83645,1600,39.500915
-121.282341,779,40.146288
-108.660344,79,40.167479
-18.382623,1600,42.74502
-38.919686,1600,43.175164
-5.350785,1600,44.047599
-12.205302,1600,44.899751
0.278558,1600,45.773158
-104.991446,83,45.796416
20.840474,1600,46.215029
-4.025296,1600,47.089198
30.860375,1600,47.938862
33.947984,1600,48.824104
-89.605549,563,48.971056
37.867203,1600,49.843832
38.15592,1600,50.690734
22.074519,1600,51.134834
-72.096104,1416,51.93437
48.591245,1600,52.809465
58.135759,1600,53.681454
56.766059,1600,55.959172
48.648027,1600,56.834348
49.766877,1600,57.706149
49.21663,1600,58.553407
66.511088,1600,59.424193
69.590756,1600,59.846334
101.260074,1600,60.718499
96.158419,1600,61.560471
-29.131406,1152,62.327262
-96.389012,144,62.366938
-108.978232,87,62.395644
-79.277685,358,62.492429
81.63306,1600,63.375037
105.353771,1600,63.787951
-68.246132,668,64.395225
-99.683299,153,64.437349
102.132656,1600,65.307103
94.675001,1600,65.725528
-98.082409,158,65.769109
93.743237,1600,66.639425
110.096247,1600,67.518053
105.158143,1600,70.245107
111.550839,1600,71.122568
90.632049,1600,71.537404
103.043711,1600,72.405949
106.677968,1600,73.250324
120.881171,1600,74.118716
-90.976405,197,74.169736
129.254354,1600,75.044807
130.429416,1600,75.458733
5.239075,1291,76.249548
137.662725,1600,77.089391
147.920903,1600,77.934263
-66.169853,310,78.01765
43.478258,1541,78.441694
-62.301508,362,78.968886
8.078472,1099,79.250893
-120.619924,67,79.273073
-115.06614,52,79.288081
-90.602935,104,79.31585
26.450556,1034,80.034048
-2.272677,1116,80.324915
-106.36682,54,80.339831
-109.588319,56,80.355899
-88.394298,140,80.391954
-83.442488,665,81.012094
-30.779993,766,81.212013
-102.9282,67,81.230256
-96.978823,169,81.278131
167.015308,1600,82.450483
-87.281798,309,82.529395
-101.869104,82,82.554731
-96.767667,262,82.622816
-81.262797,304,82.704334
-86.972051,185,83.179394
-73.728705,363,83.2754
-90.641781,105,83.306617
-24.032436,853,83.55279
-52.037455,564,83.698696
5.257493,973,84.383962
-117.156557,63,84.40222
-99.941817,112,84.431881
-94.624653,169,84.480301
-15.247585,902,85.165138
162.569347,1600,85.582442
146.474214,1600,86.424968
-119.501719,98,86.450777
152.253579,1600,87.323664
43.186864,1532,88.148425
166.67254,1600,88.56731
128.3067,1600,89.46395
139.404374,1600,90.314764
-100.050538,124,90.346783
-109.672188,56,90.361787
-92.140041,152,90.426758
139.974356,1600,91.276973
-19.125122,883,91.506521
-97.55427,145,91.548074
144.162671,1600,92.417721
-22.479706,775,93.052029
-109.92142,48,93.065885
43.749591,1494,93.456924
166.902957,1600,96.227768
149.187892,1600,97.08061
-102.635393,124,97.113477
145.496321,1600,97.988592
117.940142,1600,98.870724
169.996143,1600,99.290775
-63.517901,331,99.826085
-2.355796,1023,100.092849
164.310644,1600,100.938846
-119.440822,67,100.957473
160.369953,1600,101.856243
152.97704,1600,102.279472
176.680147,1600,103.172854
175.220609,1600,104.053665
160.42349,1600,104.925811
69.317983,1544,105.757189
-118.224341,53,105.772856
-49.935076,509,105.90677
175.617491,1600,106.780962
198.483016,1600,107.199023
204.776514,1600,108.071634
-56.312353,426,109.630824
210.633692,1600,110.499332
