time/total_timesteps,train/n_updates,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/episodes,train/learning_rate,time/fps,train/ent_coef,train/critic_loss,eval/mean_reward,eval/mean_ep_length
4000,3899,34,-10.982973098754883,-281.77844125,1000.0,-30.70107078552246,4,0.0003,115,0.3129774034023285,1.0232374668121338,,
8000,7899,70,-17.4340763092041,-254.03334675000002,1000.0,-29.061447143554688,8,0.0003,114,0.09967997670173645,1.290086269378662,,
12000,11899,105,-15.931821823120117,-227.66946008333332,1000.0,-21.36571502685547,12,0.0003,113,0.0338154099881649,0.6952086687088013,,
16000,15899,141,-7.467911720275879,-211.8061624375,1000.0,-14.13784122467041,16,0.0003,113,0.01286368165165186,0.6608061790466309,,
20000,19899,,-1.1528069972991943,,,-8.335348129272461,,0.0003,,0.006559820380061865,0.5942771434783936,-52.22687398809357,1000.0
20000,,177,,-182.62121665,1000.0,,20,,112,,,,
24000,23899,213,-1.0713651180267334,-168.293148625,1000.0,-4.729012966156006,24,0.0003,112,0.005303529091179371,0.7550969123840332,,
28000,27899,249,1.6095774173736572,-145.59281982142858,1000.0,-2.08967924118042,28,0.0003,112,0.0047949873842298985,0.5505344867706299,,
32000,31899,284,-1.9352076053619385,-115.620797875,1000.0,-0.47829297184944153,32,0.0003,112,0.004948395304381847,0.5929930210113525,,
36000,35899,320,-0.5175995230674744,-81.40612272222221,1000.0,0.07413554191589355,36,0.0003,112,0.005789490416646004,0.6509425044059753,,
40000,39899,,1.9602882862091064,,,-1.6559795141220093,,0.0003,,0.007783140521496534,0.8763982057571411,560.3509467782918,1000.0
40000,,358,,-39.276799274999995,1000.0,,40,,111,,,,
44000,43899,394,0.2860235869884491,6.377796909090913,1000.0,-4.519083023071289,44,0.0003,111,0.011933454312384129,0.7231318950653076,,
48000,47899,430,-1.6390209197998047,44.06163906250001,1000.0,-8.031961441040039,48,0.0003,111,0.01323956809937954,0.8933695554733276,,
52000,51899,465,2.021646499633789,85.10028213461538,1000.0,-12.058624267578125,52,0.0003,111,0.013909718953073025,0.8371713161468506,,
56000,55899,500,-0.30525100231170654,119.37579742857143,1000.0,-15.784892082214355,56,0.0003,111,0.01469119917601347,1.0098981857299805,,
60000,59899,,1.3121910095214844,,,-20.120376586914062,,0.0003,,0.01638634130358696,1.0022763013839722,719.8881947687711,1000.0
60000,,537,,159.60624543333333,1000.0,,60,,111,,,,
64000,63899,572,0.3649490475654602,193.72100121875002,1000.0,-23.86135482788086,64,0.0003,111,0.017220839858055115,1.0517494678497314,,
68000,67899,608,-0.876466691493988,229.19045289705883,1000.0,-27.808443069458008,68,0.0003,111,0.01810394786298275,1.1938440799713135,,
72000,71899,643,-1.0389021635055542,260.4787166944445,1000.0,-31.424488067626953,72,0.0003,111,0.01899542286992073,1.2020769119262695,,
76000,75899,678,0.7169469594955444,295.29128197368425,1000.0,-35.68829345703125,76,0.0003,111,0.020495589822530746,0.961236834526062,,
80000,79899,,-0.9681133031845093,,,-38.37549591064453,,0.0003,,0.022140588611364365,1.104939341545105,1015.758941838867,1000.0
80000,,715,,328.2108683375,1000.0,,80,,111,,,,
84000,83899,752,0.9573183655738831,360.582273547619,1000.0,-41.779685974121094,84,0.0003,111,0.023773055523633957,1.263329267501831,,
88000,87899,787,-0.9372974634170532,391.2147956931818,1000.0,-45.89324188232422,88,0.0003,111,0.025315161794424057,1.2761317491531372,,
92000,91899,822,-0.2019796371459961,420.44648240217396,1000.0,-49.559814453125,92,0.0003,111,0.026257362216711044,1.4831424951553345,,
96000,95899,858,0.3714706599712372,450.533604625,1000.0,-52.146175384521484,96,0.0003,111,0.027820494025945663,1.2559587955474854,,
100000,99899,,0.5956220626831055,,,-55.8094482421875,,0.0003,,0.029246320948004723,1.4326655864715576,1178.6175466210116,1000.0
100000,,894,,476.77995905999995,1000.0,,100,,111,,,,
104000,103899,931,0.1469675600528717,535.03990156,1000.0,-58.7707633972168,104,0.0003,111,0.030030548572540283,1.062389612197876,,
108000,107899,966,1.0872420072555542,592.1036064499999,1000.0,-61.85150909423828,108,0.0003,111,0.03099178522825241,1.2056965827941895,,
112000,111899,1002,0.04485084116458893,646.27970958,1000.0,-63.80326843261719,112,0.0003,111,0.031497523188591,1.5229942798614502,,
116000,115899,1038,-0.3850037157535553,702.06440771,1000.0,-66.70211029052734,116,0.0003,111,0.03292077034711838,1.0644372701644897,,
120000,119899,,0.08301062881946564,,,-68.32696533203125,,0.0003,,0.03285110741853714,1.101860761642456,1277.1684909338073,1000.0
120000,,1075,,754.4110199500002,1000.0,,120,,111,,,,
124000,123899,1111,0.24121664464473724,807.68236606,1000.0,-70.85409545898438,124,0.0003,111,0.034295398741960526,1.0127109289169312,,
128000,127899,1146,-0.8912410736083984,857.95166973,1000.0,-72.41496276855469,128,0.0003,111,0.035116150975227356,1.027699589729309,,
132000,131899,1181,0.4599817097187042,904.7022890199999,1000.0,-74.05486297607422,132,0.0003,111,0.03508015722036362,0.9358988404273987,,
136000,135899,1217,-0.4675682783126831,949.2964559200002,1000.0,-75.83674621582031,136,0.0003,111,0.03528207913041115,1.3312923908233643,,
140000,139899,,1.4948062896728516,,,-77.48365783691406,,0.0003,,0.036288369446992874,1.1739108562469482,1362.110914116539,1000.0
140000,,1253,,988.1779392000001,1000.0,,140,,111,,,,
144000,143899,1288,-0.6142804026603699,1022.47142918,1000.0,-79.07051086425781,144,0.0003,111,0.036260806024074554,0.9563856720924377,,
148000,147899,1323,1.8079257011413574,1057.3262315,1000.0,-79.8922119140625,148,0.0003,111,0.03740245848894119,1.00773286819458,,
152000,151899,1358,-0.1604868769645691,1089.0925257200001,1000.0,-82.11436462402344,152,0.0003,111,0.03818320855498314,1.0986154079437256,,
156000,155899,1393,-0.14609792828559875,1102.58013361,1000.0,-82.97915649414062,156,0.0003,111,0.03886190801858902,0.952987790107727,,
160000,159899,,-0.24017281830310822,,,-84.03919982910156,,0.0003,,0.0378602035343647,1.1700866222381592,1068.4912361823722,1000.0
160000,,1429,,1128.60998639,1000.0,,160,,111,,,,
164000,163899,1465,0.731867790222168,1155.79219567,1000.0,-85.03790283203125,164,0.0003,111,0.03855026140809059,1.2352571487426758,,
168000,167899,1500,-1.175778865814209,1180.42120677,1000.0,-87.15249633789062,168,0.0003,111,0.03892447054386139,1.0074111223220825,,
172000,171899,1537,1.4799447059631348,1205.79555129,1000.0,-88.37908935546875,172,0.0003,111,0.03932139649987221,1.1595244407653809,,
176000,175899,1572,-0.24584053456783295,1228.40708576,1000.0,-90.25446319580078,176,0.0003,111,0.03958698362112045,1.0461525917053223,,
180000,179899,,0.8764851689338684,,,-92.15815734863281,,0.0003,,0.040322594344615936,1.0155725479125977,1563.705367843993,1000.0
180000,,1608,,1247.6758306000002,1000.0,,180,,111,,,,
184000,183899,1643,-0.728090226650238,1266.75995269,1000.0,-91.92984771728516,184,0.0003,111,0.040177710354328156,1.0516308546066284,,
188000,187899,1678,0.44017499685287476,1285.0849334799998,1000.0,-94.27255249023438,188,0.0003,111,0.04059280455112457,1.1750563383102417,,
192000,191899,1715,-0.7038273215293884,1301.57372038,1000.0,-95.49720764160156,192,0.0003,111,0.04064994305372238,1.069847583770752,,
196000,195899,1752,0.09388606250286102,1316.40715297,1000.0,-96.82881164550781,196,0.0003,111,0.04094425588846207,1.1078484058380127,,
200000,199899,,-1.1086355447769165,,,-97.15973663330078,,0.0003,,0.041141312569379807,0.8906599879264832,1564.8990746208642,1000.0
200000,,1791,,1333.3674256500003,1000.0,,200,,111,,,,
204000,203899,1828,0.04440963268280029,1348.05569834,1000.0,-99.30465698242188,204,0.0003,111,0.041208989918231964,0.9036908149719238,,
208000,207899,1866,0.22763732075691223,1362.44867519,1000.0,-100.10283660888672,208,0.0003,111,0.04160768911242485,1.0323641300201416,,
212000,211899,1905,0.38752779364585876,1376.6482765899998,1000.0,-102.13782501220703,212,0.0003,111,0.04283998906612396,1.0120892524719238,,
216000,215899,1942,0.9650712013244629,1388.94563487,1000.0,-103.60636901855469,216,0.0003,111,0.04146948456764221,0.7312757968902588,,
220000,219899,,0.22247576713562012,,,-103.75267791748047,,0.0003,,0.04184906557202339,1.0766644477844238,1635.8891175882775,1000.0
220000,,1981,,1401.2055070599997,1000.0,,220,,111,,,,
224000,223899,2018,0.9424723982810974,1414.2176138300001,1000.0,-105.88166809082031,224,0.0003,110,0.04229533299803734,1.0266591310501099,,
228000,227899,2055,0.21846887469291687,1427.26138811,1000.0,-106.03804779052734,228,0.0003,110,0.04242686182260513,1.0093048810958862,,
232000,231899,2092,0.7704734802246094,1440.13433937,1000.0,-107.50596618652344,232,0.0003,110,0.04287222400307655,0.7845519781112671,,
236000,235899,2130,0.36807894706726074,1451.1744067400004,1000.0,-108.97286987304688,236,0.0003,110,0.043192725628614426,1.0684404373168945,,
240000,239899,,-0.14896181225776672,,,-109.13084411621094,,0.0003,,0.04248448461294174,1.0647636651992798,1612.6805150357134,1000.0
240000,,2168,,1462.6322776600002,1000.0,,240,,110,,,,
244000,243899,2205,1.969982385635376,1474.19224344,1000.0,-110.07466125488281,244,0.0003,110,0.04287455603480339,0.9707962870597839,,
248000,247899,2241,-0.6612299084663391,1485.6304492099996,1000.0,-111.03748321533203,248,0.0003,110,0.04308623448014259,0.8619580864906311,,
252000,251899,2277,-1.4089908599853516,1495.0415013800002,1000.0,-109.9403076171875,252,0.0003,110,0.043036140501499176,0.9399013519287109,,
256000,255899,2313,0.0984940230846405,1523.5833104899998,1000.0,-112.18060302734375,256,0.0003,110,0.043514784425497055,1.0191709995269775,,
260000,259899,,0.39755669236183167,,,-113.4952392578125,,0.0003,,0.04357457533478737,0.9534677267074585,1697.7967728097894,1000.0
260000,,2352,,1534.42919735,1000.0,,260,,110,,,,
264000,263899,2390,-1.368544340133667,1544.60372895,1000.0,-113.65374755859375,264,0.0003,110,0.04308389127254486,0.7748891711235046,,
268000,267899,2428,0.3188846707344055,1553.7973577900002,1000.0,-114.93707275390625,268,0.0003,110,0.04422074556350708,0.8024215698242188,,
272000,271899,2469,0.7404415607452393,1562.7177427,1000.0,-115.4208984375,272,0.0003,110,0.04394988343119621,0.8413376808166504,,
276000,275899,2509,-0.3053290545940399,1569.13206387,1000.0,-116.64351654052734,276,0.0003,109,0.04374708980321884,0.7792024612426758,,
280000,279899,,-0.7015421390533447,,,-115.892822265625,,0.0003,,0.04361632466316223,0.9098523855209351,1737.1714437084927,1000.0
280000,,2547,,1577.90012481,1000.0,,280,,109,,,,
284000,283899,2585,-1.846137523651123,1584.73309613,1000.0,-116.03651428222656,284,0.0003,109,0.04378465563058853,1.039556860923767,,
288000,287899,2624,-0.8022655844688416,1591.7318259700003,1000.0,-118.43840026855469,288,0.0003,109,0.044023334980010986,0.916133463382721,,
292000,291899,2661,0.3123838007450104,1600.04979274,1000.0,-118.8292007446289,292,0.0003,109,0.04356952756643295,0.9634114503860474,,
296000,295899,2698,-0.9502577781677246,1606.8830530599996,1000.0,-118.44994354248047,296,0.0003,109,0.04409359022974968,0.9218133687973022,,
300000,299899,,-0.6876437067985535,,,-120.39781188964844,,0.0003,,0.04384865239262581,0.8587433099746704,1739.2790043304224,1000.0
300000,,2738,,1612.4959083899998,1000.0,,300,,109,,,,
304000,303899,2775,0.18906092643737793,1618.4395582199995,1000.0,-121.61235046386719,304,0.0003,109,0.04389261454343796,0.7767655849456787,,
308000,307899,2812,-0.16622748970985413,1623.7160959599998,1000.0,-120.98973083496094,308,0.0003,109,0.04475736618041992,0.8860797882080078,,
312000,311899,2850,1.0424134731292725,1630.53050944,1000.0,-122.01557922363281,312,0.0003,109,0.0446334034204483,0.9928595423698425,,
316000,315899,2887,0.023876070976257324,1636.8697235400002,1000.0,-123.98623657226562,316,0.0003,109,0.044139109551906586,0.9624673128128052,,
320000,319899,,1.0862667560577393,,,-123.31585693359375,,0.0003,,0.04419843107461929,0.8011152744293213,1796.5045590383465,1000.0
320000,,2926,,1643.37491642,1000.0,,320,,109,,,,
324000,323899,2962,1.068069577217102,1649.1268799000004,1000.0,-124.4319839477539,324,0.0003,109,0.043418582528829575,0.849515438079834,,
328000,327899,2998,-0.510482907295227,1653.9477687199997,1000.0,-124.01607513427734,328,0.0003,109,0.04484250769019127,0.8530352115631104,,
332000,331899,3035,-0.8679327368736267,1658.50029728,1000.0,-124.83273315429688,332,0.0003,109,0.04413169249892235,1.0140399932861328,,
336000,335899,3071,0.6968581676483154,1663.6537499199997,1000.0,-126.92144775390625,336,0.0003,109,0.04360583424568176,0.8613947629928589,,
340000,339899,,-0.2847413420677185,,,-126.688720703125,,0.0003,,0.044249169528484344,1.0677881240844727,1801.865727062343,1000.0
340000,,3108,,1668.56049512,1000.0,,340,,109,,,,
344000,343899,3145,0.8230575323104858,1672.9053126200006,1000.0,-126.5137939453125,344,0.0003,109,0.04480154812335968,0.8508886694908142,,
348000,347899,3181,-0.5675199031829834,1677.85935333,1000.0,-127.38529205322266,348,0.0003,109,0.04445065185427666,0.7983300685882568,,
352000,351899,3217,0.42961132526397705,1683.0159101300003,1000.0,-128.444580078125,352,0.0003,109,0.044128745794296265,0.7487607002258301,,
356000,355899,3253,-0.0550399124622345,1688.6384594000003,1000.0,-127.53174591064453,356,0.0003,109,0.04387839511036873,0.6737372279167175,,
360000,359899,,-1.276943325996399,,,-128.2937774658203,,0.0003,,0.0446862168610096,0.887529194355011,1790.0144418565615,1000.0
360000,,3289,,1692.7451438600003,1000.0,,360,,109,,,,
364000,363899,3325,0.039039790630340576,1697.1344130599996,1000.0,-130.37521362304688,364,0.0003,109,0.044066254049539566,0.744794487953186,,
368000,367899,3360,-0.7566266059875488,1701.45135414,1000.0,-130.20465087890625,368,0.0003,109,0.043948911130428314,0.7658584713935852,,
372000,371899,3395,-0.31241053342819214,1705.40220489,1000.0,-130.83102416992188,372,0.0003,109,0.04401388019323349,0.8216841220855713,,
376000,375899,3430,-0.1637912392616272,1709.1976438400002,1000.0,-131.1520233154297,376,0.0003,109,0.04385652393102646,0.7731322050094604,,
380000,379899,,0.9655489921569824,,,-131.37771606445312,,0.0003,,0.04422183334827423,0.92043536901474,1846.5838296042639,1000.0
380000,,3467,,1713.20084803,1000.0,,380,,109,,,,
384000,383899,3502,-0.15727201104164124,1717.17945618,1000.0,-132.34445190429688,384,0.0003,109,0.04357390105724335,0.7425844669342041,,
388000,387899,3537,-0.321929395198822,1720.2315726900006,1000.0,-131.9957733154297,388,0.0003,109,0.043475523591041565,0.7045225501060486,,
392000,391899,3572,0.32343438267707825,1723.5462311300005,1000.0,-133.15167236328125,392,0.0003,109,0.04365558177232742,0.8546309471130371,,
396000,395899,3607,-1.3197400569915771,1727.0051232100002,1000.0,-133.3130340576172,396,0.0003,109,0.04375586286187172,0.8500687479972839,,
400000,399899,,0.5934690237045288,,,-133.80262756347656,,0.0003,,0.04397394880652428,0.9459148645401001,1843.335568007437,1000.0
400000,,3643,,1730.9350307900002,1000.0,,400,,109,,,,
404000,403899,3678,0.2069970667362213,1733.78237893,1000.0,-134.24002075195312,404,0.0003,109,0.04377654567360878,0.900478720664978,,
408000,407899,3713,-0.5359111428260803,1736.9494322400005,1000.0,-134.44711303710938,408,0.0003,109,0.04371773079037666,0.8310056924819946,,
412000,411899,3748,-0.5148603916168213,1738.93823951,1000.0,-135.38595581054688,412,0.0003,109,0.04362446069717407,0.7495400905609131,,
416000,415899,3783,-0.4759353697299957,1741.53272168,1000.0,-135.77951049804688,416,0.0003,109,0.043200720101594925,0.6870824098587036,,
420000,419899,,0.9218932390213013,,,-136.78848266601562,,0.0003,,0.04405472055077553,0.8047174215316772,1864.0910884444718,1000.0
420000,,3819,,1743.7580751799997,1000.0,,420,,109,,,,
424000,423899,3854,0.2602033019065857,1746.7255205299998,1000.0,-136.5068359375,424,0.0003,110,0.04395647346973419,0.692574143409729,,
428000,427899,3889,-1.1592910289764404,1749.7536093599995,1000.0,-137.27796936035156,428,0.0003,110,0.04389510303735733,0.7166599035263062,,
432000,431899,3926,0.7479315996170044,1752.5686097400003,1000.0,-136.55303955078125,432,0.0003,110,0.04362787306308746,0.6977574825286865,,
436000,435899,3962,-0.808621883392334,1755.53620339,1000.0,-136.82675170898438,436,0.0003,110,0.0435044951736927,0.7675021886825562,,
440000,439899,,0.009205102920532227,,,-138.2498779296875,,0.0003,,0.04388666898012161,0.9497659206390381,1840.7397966545134,1000.0
440000,,3998,,1757.5577612600005,1000.0,,440,,110,,,,
444000,443899,4033,-0.6528846025466919,1760.3800576200001,1000.0,-137.82025146484375,444,0.0003,110,0.04401708021759987,0.7338136434555054,,
448000,447899,4068,0.33472520112991333,1762.4038003700002,1000.0,-138.22509765625,448,0.0003,110,0.043599557131528854,0.7750128507614136,,
452000,451899,4103,0.2432537078857422,1764.9748675900003,1000.0,-138.7842254638672,452,0.0003,110,0.04373463988304138,1.0349042415618896,,
456000,455899,4139,0.8618980050086975,1766.90950251,1000.0,-138.51023864746094,456,0.0003,110,0.04370281845331192,0.7991529703140259,,
460000,459899,,0.8906906247138977,,,-139.39083862304688,,0.0003,,0.044259265065193176,0.7365267276763916,1900.5865276853553,1000.0
460000,,4175,,1768.8987827299998,1000.0,,460,,110,,,,
464000,463899,4210,-0.3432694673538208,1771.8204406199993,1000.0,-139.09268188476562,464,0.0003,110,0.04317162185907364,0.7345748543739319,,
468000,467899,4246,-0.12209728360176086,1774.04598951,1000.0,-139.78561401367188,468,0.0003,110,0.04319380968809128,0.6509925127029419,,
472000,471899,4281,0.8231040835380554,1776.24343944,1000.0,-139.590576171875,472,0.0003,110,0.04350929707288742,0.6392573714256287,,
476000,475899,4316,0.19876694679260254,1778.5308072500002,1000.0,-140.7978515625,476,0.0003,110,0.04341316968202591,0.635499119758606,,
480000,479899,,-0.3914032578468323,,,-140.45590209960938,,0.0003,,0.04317214712500572,0.7678960561752319,1872.501532478555,1000.0
480000,,4352,,1780.8008424499997,1000.0,,480,,110,,,,
484000,483899,4387,0.4111607074737549,1782.9386893800004,1000.0,-140.38198852539062,484,0.0003,110,0.043610744178295135,0.7652180194854736,,
488000,487899,4422,0.1161409318447113,1785.4742977100004,1000.0,-141.37149047851562,488,0.0003,110,0.04322182759642601,0.7742446660995483,,
492000,491899,4458,0.04122902452945709,1786.8151619400003,1000.0,-141.4720001220703,492,0.0003,110,0.0438186377286911,0.8107064366340637,,
496000,495899,4493,-1.1707439422607422,1788.7162027199997,1000.0,-141.2100830078125,496,0.0003,110,0.043356649577617645,0.6004638075828552,,
500000,499899,,-0.7046248316764832,,,-141.79335021972656,,0.0003,,0.04302377998828888,0.8594801425933838,1910.3682366993003,1000.0
500000,,4530,,1789.76755656,1000.0,,500,,110,,,,
504000,503899,4565,-0.9447675943374634,1791.8956856800003,1000.0,-142.8990478515625,504,0.0003,110,0.04376348853111267,0.7167888283729553,,
508000,507899,4600,0.23682229220867157,1793.8171427399998,1000.0,-143.266357421875,508,0.0003,110,0.044071223586797714,0.8923296928405762,,
512000,511899,4637,0.6860673427581787,1796.85887182,1000.0,-142.98806762695312,512,0.0003,110,0.04304826259613037,0.7170066833496094,,
