#{"t_start": 1759480674.757749, "env_id": "HalfCheetah-v5"}
r,l,t
-274.400687,1000,9.09978
-248.862213,1000,17.90517
-300.424976,1000,26.726795
-303.425889,1000,35.530744
-253.482725,1000,44.43231
-248.983226,1000,53.287005
-220.811526,1000,62.131923
-181.875532,1000,70.95763
-186.642551,1000,79.788296
-146.357008,1000,88.78437
-190.757691,1000,97.563526
-176.009497,1000,106.362171
-175.921363,1000,115.237959
-209.504459,1000,124.201604
-174.353506,1000,133.106076
-97.08575,1000,141.897414
-79.060683,1000,150.758394
-100.925032,1000,159.728621
-38.354485,1000,168.573487
-45.185534,1000,177.412825
-65.121045,1000,187.632289
9.103905,1000,196.821651
-201.784401,1000,205.647186
-128.809693,1000,214.422889
-77.738635,1000,223.2708
-35.124364,1000,232.178465
49.230396,1000,241.001007
26.069215,1000,249.892944
113.764116,1000,258.712275
28.669174,1000,267.48339
133.283041,1000,276.363797
101.017092,1000,285.396197
174.954657,1000,294.270884
147.950741,1000,303.806082
229.827929,1000,312.954143
216.511787,1000,321.819103
281.938809,1000,331.081465
325.234034,1000,340.481833
407.895817,1000,349.645404
344.479787,1000,358.788333
534.404684,1000,369.052901
477.752323,1000,377.872188
427.531621,1000,386.688762
412.006407,1000,395.56906
404.101781,1000,404.405908
451.446518,1000,413.332219
450.791756,1000,422.111606
527.995556,1000,430.989381
576.78788,1000,439.916409
595.239275,1000,448.779043
491.309763,1000,457.603961
646.919078,1000,466.433564
474.674223,1000,475.272183
526.066296,1000,484.083395
583.921108,1000,492.922941
675.168358,1000,501.712676
747.273801,1000,510.558606
691.098813,1000,519.380582
718.426974,1000,528.19085
734.530482,1000,537.016393
662.718513,1000,546.854882
636.873883,1000,555.761978
776.893998,1000,564.627025
745.282958,1000,573.482091
698.582963,1000,582.334414
788.241845,1000,591.160603
856.038658,1000,600.003382
843.943253,1000,608.939024
789.657829,1000,617.859485
714.07444,1000,626.728902
855.288275,1000,635.639342
810.496261,1000,644.449008
867.066123,1000,653.277516
922.157894,1000,662.111809
941.803173,1000,670.947052
956.642638,1000,679.774334
971.628715,1000,688.622033
975.230971,1000,697.531505
969.50948,1000,706.535316
898.362871,1000,715.6786
1005.152226,1000,725.928797
988.845866,1000,734.954196
1021.056075,1000,744.007664
1016.987344,1000,753.09154
1082.88935,1000,762.006426
1020.229942,1000,770.768201
979.614277,1000,779.666007
1055.257474,1000,788.512402
1015.870467,1000,797.378829
1051.662701,1000,806.181528
1093.46009,1000,815.029631
1093.181102,1000,823.865122
1108.965941,1000,832.695842
1162.278794,1000,841.502962
