#{"t_start": 1759508410.165494, "env_id": "HalfCheetah-v5"}
r,l,t
-274.400687,1000,9.273778
-248.862213,1000,18.516641
-300.424976,1000,27.713535
-303.425889,1000,36.915614
-253.482725,1000,46.144214
-248.983226,1000,55.483438
-220.811526,1000,64.695176
-181.875532,1000,73.97003
-186.642551,1000,83.304224
-146.357008,1000,92.610081
-190.757691,1000,101.886648
-176.009497,1000,111.330068
-175.921363,1000,121.201087
-209.504459,1000,130.740606
-174.353506,1000,140.314483
-97.08575,1000,149.889864
-79.060683,1000,159.378387
-100.925032,1000,168.798257
-38.354485,1000,178.11241
-45.185534,1000,187.442108
-65.121045,1000,197.9875
9.103905,1000,207.334375
-201.784401,1000,216.707617
-128.809693,1000,226.062453
-77.738635,1000,235.418346
-35.124364,1000,244.77408
49.230396,1000,254.108769
26.069215,1000,263.396745
113.764116,1000,272.721501
28.669174,1000,282.006687
133.283041,1000,291.271282
101.017092,1000,300.639794
174.954657,1000,309.998353
147.950741,1000,319.239686
229.827929,1000,328.38319
216.511787,1000,337.347701
281.938809,1000,346.265096
325.234034,1000,355.231483
407.895817,1000,364.211736
344.479787,1000,373.151172
534.404684,1000,383.316354
477.752323,1000,392.317264
427.531621,1000,401.346071
412.006407,1000,410.25415
404.101781,1000,419.267403
451.446518,1000,428.172419
450.791756,1000,437.131468
527.995556,1000,446.071004
576.78788,1000,455.044268
595.239275,1000,464.028915
491.309763,1000,472.985557
646.919078,1000,481.968724
474.674223,1000,490.962214
526.066296,1000,499.863208
583.921108,1000,508.815654
675.168358,1000,517.73422
747.273801,1000,526.733821
691.098813,1000,537.346868
718.426974,1000,547.374626
734.530482,1000,557.737424
662.718513,1000,569.087405
636.873883,1000,578.736187
776.893998,1000,588.231783
745.282958,1000,597.795895
698.582963,1000,607.291265
788.241845,1000,616.863286
856.038658,1000,626.388753
843.943253,1000,635.913991
789.657829,1000,645.443566
714.07444,1000,654.972734
855.288275,1000,664.49334
810.496261,1000,674.134891
867.066123,1000,683.669901
922.157894,1000,693.199816
941.803173,1000,702.718734
956.642638,1000,712.249188
971.628715,1000,721.783365
975.230971,1000,731.340602
969.50948,1000,740.875248
898.362871,1000,750.437861
1005.152226,1000,761.151577
988.845866,1000,770.688994
1021.056075,1000,780.236113
1016.987344,1000,789.76864
1082.88935,1000,799.435487
1020.229942,1000,809.216033
979.614277,1000,818.959877
1055.257474,1000,828.569432
1015.870467,1000,838.258067
1051.662701,1000,847.87777
1093.46009,1000,857.554968
1093.181102,1000,867.190342
1108.965941,1000,876.878941
1162.278794,1000,886.511005
1129.636243,1000,896.158031
1169.268685,1000,905.833864
1115.238429,1000,915.601032
1086.717754,1000,925.331086
1145.755842,1000,935.076047
1079.057837,1000,944.800338
1180.662035,1000,955.732125
1179.854661,1000,965.446175
1149.079585,1000,975.192772
1189.284204,1000,984.960752
1164.752594,1000,994.699116
1215.909786,1000,1004.43548
1218.824014,1000,1014.153833
1201.731086,1000,1023.883243
1202.437817,1000,1033.621465
1188.503684,1000,1043.351521
1147.875049,1000,1053.102412
1179.027016,1000,1062.885966
1242.316653,1000,1072.146885
1215.084501,1000,1081.165703
1201.951584,1000,1090.188475
1262.251997,1000,1099.239407
1200.808845,1000,1108.331338
1252.967273,1000,1117.346378
1246.228461,1000,1126.384733
1271.130911,1000,1135.424053
1247.566486,1000,1145.537465
1234.966412,1000,1154.681107
1227.751865,1000,1163.697189
1230.238614,1000,1172.756016
1232.628882,1000,1181.831715
1195.164217,1000,1190.852333
1275.292204,1000,1199.884479
1286.281676,1000,1208.911713
1272.688319,1000,1217.951791
1282.214129,1000,1226.957918
1272.29762,1000,1235.912376
1224.595284,1000,1245.187598
1281.308489,1000,1255.430762
1335.663434,1000,1265.359653
1314.691771,1000,1275.456673
1296.99811,1000,1285.106965
1306.21861,1000,1294.626288
1279.777094,1000,1304.096076
1350.029848,1000,1314.350699
1311.671223,1000,1324.794608
1285.499579,1000,1336.54303
1293.410765,1000,1346.193173
1310.821003,1000,1355.700149
1391.312686,1000,1365.325106
1321.940205,1000,1374.90425
1316.036966,1000,1384.388979
1295.362383,1000,1393.930985
1386.476289,1000,1403.466548
1358.294611,1000,1412.97802
1367.655278,1000,1422.542444
1372.903152,1000,1432.041408
1388.032377,1000,1441.61298
1357.512066,1000,1451.11783
1345.101899,1000,1460.681832
1411.343845,1000,1470.217858
-505.367036,1000,1479.763048
1401.725323,1000,1489.301139
1355.127144,1000,1498.809535
1353.254693,1000,1508.380989
1384.208188,1000,1517.979806
1404.767288,1000,1528.738102
1345.484982,1000,1538.364707
1386.537196,1000,1547.962522
1403.200814,1000,1557.608463
1424.519122,1000,1567.218493
1345.99709,1000,1576.875683
1434.676928,1000,1586.476811
1444.514689,1000,1596.133186
1398.331928,1000,1605.785963
1429.661101,1000,1615.470404
1441.344956,1000,1625.101858
1437.613272,1000,1634.696602
1499.772694,1000,1644.36604
1490.658057,1000,1653.890936
1493.143854,1000,1663.332996
1465.24867,1000,1672.405531
1444.054769,1000,1681.457894
1409.25576,1000,1690.504375
1456.625615,1000,1699.542529
1431.670377,1000,1708.613317
1501.604133,1000,1718.803587
1494.633405,1000,1727.907117
1456.778708,1000,1736.941992
1487.437474,1000,1745.973414
1503.524614,1000,1755.057333
1480.616239,1000,1764.157921
1466.037988,1000,1773.175405
1520.310281,1000,1782.200056
1479.469603,1000,1791.304324
1487.037502,1000,1800.355069
1442.217825,1000,1809.395818
1494.32812,1000,1818.441731
1486.833638,1000,1827.498659
1508.731783,1000,1836.523212
1552.759344,1000,1845.644362
1505.168157,1000,1854.646412
1541.436985,1000,1863.666819
1511.600391,1000,1872.702075
1512.941264,1000,1881.714305
1556.81849,1000,1890.778468
1548.426225,1000,1901.29299
1525.058327,1000,1910.663277
1540.129738,1000,1920.012413
1554.093464,1000,1930.014142
1543.536082,1000,1939.675542
1548.664967,1000,1949.352315
1570.357592,1000,1958.949624
1577.956524,1000,1968.738682
1496.087573,1000,1978.661515
1585.563511,1000,1988.773289
1525.133717,1000,1998.706344
