rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/critic_loss,time/episodes,train/learning_rate,time/fps,train/actor_loss,train/n_updates
50.0,-70.833585,0,200,0.268502414226532,4,0.001,305,3.122619152069092,99
50.0,-58.963391625,1,400,0.04581229016184807,8,0.001,209,1.8196961879730225,299
50.0,-42.74033666666667,3,600,0.019818326458334923,12,0.001,191,1.6346076726913452,499
50.0,-34.564547062500004,4,800,0.013632680289447308,16,0.001,183,1.6442370414733887,699
50.0,-30.220856100000002,5,1000,0.03568315505981445,20,0.001,179,1.7286484241485596,899
50.0,-26.930971458333335,6,1200,0.016471896320581436,24,0.001,177,1.8567767143249512,1099
50.0,-24.859547714285718,7,1400,0.027417737990617752,28,0.001,175,1.8030807971954346,1299
50.0,-23.1450399375,9,1600,0.03586556389927864,32,0.001,173,2.0755484104156494,1499
50.0,-21.689135055555553,10,1800,0.025003038346767426,36,0.001,172,2.0705418586730957,1699
50.0,-20.65881215,11,2000,0.022103725001215935,40,0.001,171,2.42444109916687,1899
50.0,-19.636038181818183,12,2200,0.03647679090499878,44,0.001,170,2.398263454437256,2099
