#{"t_start": 1759492507.5248158, "env_id": "Reacher-v5"}
r,l,t
-38.566392,50,0.965478
-44.160855,50,0.982309
-93.542313,50,1.28808
-107.06478,50,1.578758
-79.909736,50,1.926582
-46.434527,50,2.234504
-51.827006,50,2.531519
-10.201524,50,2.833611
-9.484696,50,3.174794
-10.162148,50,3.468439
-8.899635,50,3.763215
-12.630428,50,4.057364
-9.845728,50,4.354194
-9.933497,50,4.649954
-10.189157,50,4.977485
-10.180331,50,5.281071
-12.439728,50,5.575957
-15.07012,50,5.869661
-10.366783,50,6.163498
-13.507738,50,6.494297
-11.491306,50,6.79079
-8.677413,50,7.080763
-9.412534,50,7.374208
-12.34494,50,7.669303
-13.651899,50,8.014339
-14.105033,50,8.318141
-11.24089,50,8.613839
-10.726199,50,8.906586
-10.670635,50,9.201857
-11.02022,50,9.533534
-14.434322,50,9.825562
-8.448765,50,10.120462
-10.559263,50,10.454564
-9.8284,50,10.751725
-8.611092,50,11.049277
-11.168829,50,11.381729
-9.073951,50,11.682526
-15.572025,50,11.979934
-10.730507,50,12.273813
-10.167141,50,12.577081
-13.625636,50,12.912525
-7.920299,50,13.215055
-8.743611,50,13.514693
-7.343648,50,13.809673
-9.820627,50,14.14718
-11.183307,50,14.45589
