#{"t_start": 1759501128.510727, "env_id": "Reacher-v5"}
r,l,t
-38.566392,50,0.051557
-44.160855,50,0.060301
-99.922624,50,0.327375
-100.482355,50,0.599739
-80.967013,50,0.877921
-22.881657,50,1.167019
-10.135652,50,1.436493
-12.817558,50,1.707093
-10.951035,50,1.979446
-12.54363,50,2.328649
-12.116502,50,2.602978
-12.03344,50,2.873312
-13.651584,50,3.147997
-10.402011,50,3.418836
-12.9098,50,3.693067
-11.947139,50,3.964582
-12.521231,50,4.24307
-15.934506,50,4.516094
-10.05455,50,4.788374
-11.55339,50,5.087245
-15.091118,50,5.359853
-4.175529,50,5.633457
-8.816036,50,5.905998
-6.497586,50,6.180108
-8.446375,50,6.468372
-15.625719,50,6.743248
-16.58424,50,7.014718
-14.008137,50,7.291019
-3.675405,50,7.560622
-15.615113,50,7.854374
-12.293905,50,8.12708
-9.974504,50,8.401891
-3.796889,50,8.675125
-8.663988,50,8.950089
-8.130861,50,9.221758
-18.108936,50,9.492992
-10.594109,50,9.769288
-11.811279,50,10.039683
-6.224798,50,10.313587
-9.656212,50,10.584109
-4.594881,50,10.885039
-7.823228,50,11.156451
-8.151397,50,11.431666
-4.379944,50,11.703466
-14.311128,50,11.980019
-18.185962,50,12.251248
-4.476405,50,12.524699
-7.833695,50,12.796104
-13.139083,50,13.072837
-17.350921,50,13.347999
-8.072235,50,13.622128
-8.998328,50,13.894317
-13.00778,50,14.169382
-12.612413,50,14.442939
-4.043639,50,14.716717
-3.303223,50,14.98794
-9.750482,50,15.270109
-9.470962,50,15.545122
-4.678301,50,15.815802
-8.386702,50,16.089946
-5.981701,50,16.363067
-3.849645,50,16.637988
-10.805599,50,16.908424
-6.587103,50,17.181569
-7.010678,50,17.455337
-3.36579,50,17.731123
-13.316539,50,18.037194
-5.098643,50,18.311852
-9.810188,50,18.584605
-9.487045,50,18.862257
-4.377511,50,19.134213
-7.760086,50,19.408398
-15.561348,50,19.683482
-7.110823,50,19.957795
-4.957567,50,20.230821
-4.50731,50,20.505584
-8.034028,50,20.779702
-6.205956,50,21.054231
-3.354286,50,21.3506
-10.414133,50,21.636029
-9.16306,50,21.908735
-3.839723,50,22.182262
-7.896629,50,22.45413
-4.515504,50,22.729808
-5.403577,50,23.004214
-10.411065,50,23.279318
-12.520136,50,23.550272
-9.428025,50,23.825759
-17.597443,50,24.101086
-7.036226,50,24.383504
-7.955759,50,24.658021
-13.561338,50,24.93366
-5.718893,50,25.205629
-9.738672,50,25.47749
-6.523568,50,25.75246
-3.757556,50,26.024586
-7.229289,50,26.302701
-10.702011,50,26.5762
-5.635218,50,26.875627
-4.552099,50,27.146334
-3.538377,50,27.424102
-17.604008,50,27.694756
-12.481025,50,27.970115
-4.594947,50,28.241112
-7.30769,50,28.544878
-4.892245,50,28.817221
-10.891515,50,29.091895
-5.271308,50,29.362995
-4.816993,50,29.640759
-3.754107,50,29.916061
-8.94284,50,30.193547
-8.049991,50,30.465741
-10.916832,50,30.743122
-7.886969,50,31.014546
-7.922688,50,31.289278
-9.967612,50,31.56095
-2.910404,50,31.837712
-8.080018,50,32.109374
-11.669388,50,32.383473
-11.675096,50,32.656133
-9.423984,50,32.928813
-8.570884,50,33.205165
-7.879507,50,33.475732
-10.622786,50,33.749289
-11.979091,50,34.021846
-10.712663,50,34.322531
-9.086681,50,34.591722
-10.449326,50,34.866982
-6.337404,50,35.14105
-4.731114,50,35.416366
-7.290501,50,35.689488
-9.538902,50,35.965707
-4.446413,50,36.2655
-6.736672,50,36.543554
-4.561494,50,36.814272
-10.126735,50,37.089829
-5.713295,50,37.36319
-8.041956,50,37.639568
-11.239183,50,37.910611
-6.721261,50,38.184519
-9.8038,50,38.458556
-5.35092,50,38.756803
-4.108367,50,39.030702
-6.48985,50,39.304223
-8.034872,50,39.575884
-9.266156,50,39.846889
-12.622175,50,40.123464
-5.423368,50,40.394562
-6.07622,50,40.694308
