#{"t_start": 1760012631.7049851, "env_id": "InvertedDoublePendulum-v4"}
r,l,t
36.05567,4,0.008135
137.720451,15,0.010905
91.627375,10,0.012593
82.185981,9,0.014061
35.580585,4,0.014754
53.88866,6,0.015735
82.539574,9,0.017181
91.787902,10,0.019299
63.586337,7,0.02056
82.642353,9,0.022026
63.804451,7,0.023159
54.087587,6,0.024151
54.593518,6,0.02512
155.816959,17,0.027788
45.20065,5,0.028677
73.001764,8,0.029962
64.030342,7,0.031088
63.462944,7,0.032218
82.175673,9,0.033682
44.835609,5,0.034498
44.962736,5,0.035305
44.850203,5,0.036106
82.417554,9,0.037629
35.691468,4,0.038526
82.414698,9,0.040156
54.583962,6,0.041202
72.778222,8,0.042632
35.493624,4,0.045698
63.354576,7,0.048286
45.111876,5,0.049227
45.46283,5,0.074207
45.401806,5,0.075173
72.939388,8,0.076567
54.640683,6,0.078108
45.184601,5,0.079059
82.209723,9,0.085122
54.019406,6,0.086153
73.286212,8,0.088274
73.435819,8,0.090418
54.093903,6,0.091509
54.152493,6,0.092583
35.443782,4,0.093326
53.977697,6,0.094384
54.259243,6,0.09544
35.629273,4,0.096158
63.767292,7,0.099235
44.842625,5,0.100403
91.722706,10,0.10316
54.209355,6,0.104198
73.27701,8,0.105493
120.251068,13,0.107539
129.307119,14,0.109728
54.40141,6,0.110689
54.422904,6,0.111664
54.87502,6,0.113057
54.114171,6,0.114076
73.113626,8,0.115358
35.931617,4,0.11602
35.796489,4,0.116681
90.744026,10,0.118266
44.907069,5,0.119076
110.70046,12,0.120959
64.14244,7,0.122205
73.013,8,0.12382
110.520405,12,0.125856
54.218633,6,0.126863
91.690536,10,0.128576
81.880167,9,0.13002
53.874372,6,0.130984
72.561034,8,0.132368
54.097083,6,0.133402
54.347321,6,0.134399
54.007848,6,0.135452
44.898383,5,0.136273
35.827695,4,0.136926
44.671831,5,0.137738
54.392945,6,0.138708
44.991206,5,0.139554
91.841619,10,0.141127
45.122628,5,0.141931
35.695063,4,0.142908
63.586683,7,0.144169
110.373904,12,0.146095
63.369009,7,0.147231
54.474474,6,0.148265
73.01965,8,0.149637
73.591997,8,0.150922
63.921348,7,0.152073
54.56882,6,0.153272
45.320719,5,0.154137
82.664229,9,0.155569
54.565773,6,0.156565
45.495052,5,0.157552
35.855093,4,0.158466
91.764288,10,0.160148
45.284563,5,0.160991
100.901663,11,0.162931
45.177812,5,0.163805
63.318031,7,0.164968
35.614994,4,0.165658
72.959055,8,0.167073
72.907046,8,0.168373
54.766132,6,0.169377
54.472464,6,0.17034
63.40523,7,0.171465
54.114076,6,0.172572
92.199237,10,0.174327
81.979974,9,0.175931
92.00017,10,0.177547
82.35168,9,0.178985
100.942819,11,0.180801
35.653515,4,0.181462
54.519797,6,0.182728
63.56947,7,0.183856
44.998704,5,0.184662
63.775703,7,0.185801
91.875693,10,0.187445
128.915114,14,0.189637
36.007736,4,0.190286
73.169772,8,0.191549
72.884617,8,0.193116
63.906295,7,0.194324
92.032171,10,0.195913
63.332328,7,0.197092
82.765948,9,0.198701
63.593989,7,0.200043
72.487171,8,0.202271
63.704143,7,0.203746
54.136154,6,0.20473
82.887381,9,0.206165
45.163032,5,0.206988
35.942423,4,0.207646
110.390825,12,0.20954
92.054932,10,0.211126
45.049297,5,0.211939
73.371148,8,0.213495
91.33409,10,0.215197
54.026334,6,0.216189
54.069875,6,0.217164
73.05685,8,0.218605
63.582883,7,0.219751
63.622557,7,0.220889
45.505837,5,0.221704
64.115247,7,0.222857
91.325682,10,0.224597
45.140315,5,0.225601
82.564266,9,0.227062
82.554859,9,0.228505
54.373847,6,0.22947
63.925922,7,0.230591
53.967232,6,0.231558
73.19818,8,0.232831
54.156542,6,0.234007
64.261503,7,0.235193
45.048889,5,0.236008
54.430406,6,0.236989
63.93264,7,0.23811
63.945095,7,0.239233
91.904412,10,0.240998
101.171906,11,0.242789
91.460378,10,0.244404
54.215576,6,0.24539
36.084925,4,0.246056
54.277301,6,0.247027
91.178859,10,0.248677
44.682919,5,0.249517
54.300485,6,0.250495
63.571558,7,0.251622
45.166124,5,0.252495
35.810443,4,0.253189
72.981428,8,0.254464
73.297312,8,0.255727
63.732215,7,0.256898
73.352578,8,0.258192
73.423674,8,0.259484
72.463242,8,0.260774
36.091286,4,0.261441
35.848504,4,0.262111
72.898833,8,0.263397
36.027585,4,0.264061
54.109317,6,0.265065
91.769741,10,0.266651
54.2023,6,0.267614
119.506305,13,0.269665
63.854878,7,0.27078
54.324819,6,0.27174
45.551839,5,0.272555
35.921765,4,0.273226
54.274176,6,0.27418
45.314291,5,0.274984
35.968432,4,0.275636
45.250256,5,0.276445
63.422041,7,0.277558
91.789687,10,0.279152
44.960602,5,0.279961
91.698255,10,0.281553
64.039606,7,0.282677
72.862269,8,0.283965
45.05313,5,0.284777
110.282942,12,0.286661
54.127425,6,0.287623
35.615968,4,0.288276
54.360061,6,0.289235
54.131924,6,0.290229
82.61602,9,0.291648
45.311971,5,0.29246
82.541335,9,0.293876
82.976892,9,0.295292
73.451741,8,0.296549
73.490901,8,0.297811
64.010806,7,0.298962
92.150789,10,0.300533
63.831665,7,0.302403
35.693758,4,0.303468
54.288503,6,0.304476
64.212281,7,0.305588
45.310348,5,0.306391
44.856251,5,0.307197
82.494303,9,0.308615
63.959799,7,0.309726
54.745616,6,0.310685
45.078088,5,0.311494
82.601141,9,0.313059
91.817924,10,0.314696
91.662063,10,0.316288
35.678927,4,0.316946
73.09368,8,0.318208
101.032522,11,0.319983
73.009355,8,0.321289
72.77859,8,0.322548
35.392643,4,0.323397
44.975198,5,0.324246
35.944302,4,0.324901
44.964037,5,0.325714
35.801186,4,0.326371
35.458093,4,0.327023
63.771044,7,0.328129
54.335275,6,0.329084
45.215529,5,0.329884
73.055432,8,0.331145
36.240347,4,0.331794
63.83979,7,0.332897
54.753487,6,0.334064
54.369047,6,0.335098
35.988223,4,0.33576
82.34811,9,0.33718
35.967704,4,0.337905
63.733839,7,0.339097
54.929337,6,0.340074
63.56028,7,0.34119
63.760446,7,0.342298
44.856309,5,0.343119
63.525695,7,0.344623
63.721912,7,0.345816
54.457088,6,0.346788
54.236028,6,0.347756
44.978245,5,0.348666
82.566983,9,0.350147
73.106821,8,0.351425
35.8065,4,0.352085
63.878216,7,0.353204
100.880997,11,0.354951
54.34352,6,0.355911
82.512561,9,0.357407
63.870888,7,0.358545
73.023751,8,0.360011
44.895575,5,0.360838
54.263035,6,0.361799
82.121024,9,0.363232
82.679208,9,0.364653
73.111381,8,0.365919
138.157053,15,0.368517
45.304336,5,0.369366
63.902063,7,0.370512
72.746322,8,0.371788
36.107793,4,0.372454
82.645912,9,0.374039
91.323215,10,0.375682
63.306444,7,0.376804
44.93027,5,0.37761
72.769585,8,0.378873
35.79191,4,0.379531
63.540951,7,0.38064
63.466701,7,0.381777
44.91808,5,0.382587
45.572601,5,0.383386
73.361196,8,0.384653
63.625346,7,0.385793
45.408688,5,0.386616
101.446966,11,0.388344
54.606933,6,0.389296
72.410627,8,0.390724
63.737568,7,0.391981
54.319797,6,0.392978
63.999162,7,0.394091
63.581058,7,0.395201
73.043782,8,0.396479
35.499464,4,0.397129
45.16948,5,0.398105
63.891167,7,0.399306
72.950735,8,0.400588
54.811443,6,0.402267
45.348828,5,0.403265
72.541942,8,0.404552
82.299817,9,0.405982
45.013593,5,0.406791
63.38697,7,0.407902
54.593207,6,0.408857
63.86004,7,0.409982
82.376294,9,0.411414
45.153364,5,0.412219
64.05505,7,0.413726
54.605732,6,0.414707
64.103714,7,0.415822
72.881257,8,0.417094
45.084901,5,0.417906
82.213877,9,0.419328
81.930803,9,0.420754
45.340004,5,0.421556
35.965652,4,0.422213
26.928649,3,0.422964
44.823212,5,0.423907
92.258814,10,0.425519
44.793292,5,0.426354
35.840257,4,0.427022
45.035682,5,0.427971
72.648471,8,0.429288
73.027108,8,0.430571
45.026438,5,0.431418
63.958669,7,0.432715
81.880628,9,0.434287
82.717672,9,0.435799
63.946693,7,0.436927
63.536256,7,0.438048
54.483102,6,0.439018
73.032202,8,0.440411
91.188749,10,0.442065
35.336181,4,0.442896
73.374155,8,0.444195
45.052773,5,0.445004
45.275779,5,0.445825
72.508469,8,0.447094
45.40275,5,0.447901
63.964016,7,0.449015
63.48736,7,0.450163
54.350621,6,0.451132
63.686961,7,0.452296
91.921358,10,0.454129
54.654626,6,0.455138
82.085326,9,0.456623
45.143481,5,0.457555
45.054826,5,0.458378
54.450733,6,0.459412
91.435358,10,0.461022
73.039616,8,0.462291
82.915587,9,0.463723
45.154475,5,0.464546
54.131124,6,0.465697
63.406295,7,0.466834
64.076819,7,0.467952
63.805697,7,0.469077
63.760448,7,0.47019
82.730112,9,0.471605
72.744038,8,0.472867
91.564905,10,0.474437
45.381306,5,0.475361
63.647987,7,0.476535
45.334637,5,0.47736
54.411475,6,0.478331
73.109847,8,0.47962
73.05823,8,0.48089
35.759565,4,0.481589
72.976741,8,0.482892
54.016057,6,0.483859
100.774752,11,0.485601
44.882345,5,0.486408
91.825352,10,0.487979
35.831189,4,0.488642
90.649474,10,0.490274
36.24096,4,0.490939
63.459289,7,0.492058
35.816506,4,0.492719
54.208526,6,0.493682
54.202259,6,0.494644
101.126178,11,0.496365
54.22925,6,0.49733
35.737082,4,0.497986
72.400536,8,0.499305
91.727003,10,0.50089
82.709314,9,0.503431
36.236847,4,0.504132
63.546653,7,0.505268
44.540255,5,0.506091
45.079116,5,0.506908
109.849635,12,0.508801
26.960217,3,0.509309
119.599247,13,0.511359
91.859744,10,0.51307
82.380266,9,0.514574
36.101387,4,0.515241
54.77201,6,0.516224
82.621846,9,0.517777
63.438857,7,0.518911
92.009858,10,0.5205
101.150499,11,0.522225
109.892246,12,0.52438
82.416123,9,0.525863
147.808912,16,0.528357
72.81264,8,0.529629
45.054311,5,0.530443
45.518846,5,0.531256
44.753443,5,0.532097
63.473274,7,0.533228
91.593773,10,0.534794
53.968602,6,0.535748
90.99437,10,0.537307
73.053189,8,0.538566
45.30053,5,0.539371
73.17592,8,0.540812
82.436196,9,0.542237
91.633603,10,0.54381
54.812031,6,0.544775
63.96968,7,0.545881
44.828794,5,0.5467
82.280817,9,0.548112
63.417016,7,0.54922
45.265771,5,0.550233
73.060612,8,0.551629
45.253744,5,0.552486
45.364964,5,0.553319
73.530406,8,0.554608
63.612804,7,0.555733
101.167316,11,0.557502
110.035993,12,0.559384
72.852992,8,0.560652
63.987226,7,0.561771
53.870856,6,0.562733
91.636285,10,0.564293
82.576374,9,0.565839
54.808817,6,0.56684
63.988138,7,0.567968
35.625582,4,0.568627
45.246161,5,0.569441
36.054148,4,0.570093
35.774253,4,0.570767
63.638979,7,0.571898
91.766248,10,0.573524
82.52933,9,0.574962
63.699522,7,0.576076
72.933773,8,0.577609
45.073877,5,0.578565
92.29637,10,0.580145
63.87682,7,0.581541
63.470057,7,0.582752
63.467742,7,0.58389
63.944288,7,0.585013
63.465834,7,0.586162
73.411508,8,0.587735
73.187243,8,0.589203
35.925078,4,0.590166
35.932015,4,0.590877
72.603737,8,0.592178
91.61859,10,0.593983
35.652045,4,0.594681
63.016016,7,0.595802
73.22652,8,0.597074
73.281309,8,0.598378
63.943865,7,0.599498
73.201975,8,0.600777
54.77146,6,0.602386
45.224713,5,0.603626
44.823492,5,0.604468
82.214522,9,0.605896
63.924834,7,0.607012
45.212556,5,0.607822
91.319534,10,0.609387
64.087219,7,0.610505
91.685498,10,0.61207
63.496289,7,0.613305
63.537087,7,0.614472
36.111407,4,0.615157
72.931643,8,0.616437
54.681311,6,0.617421
35.813353,4,0.618073
63.385497,7,0.619189
35.915663,4,0.619841
54.529052,6,0.620801
54.468973,6,0.621759
63.333795,7,0.622873
45.336115,5,0.623702
63.540506,7,0.62481
64.213485,7,0.62593
63.441937,7,0.627042
54.782789,6,0.627994
63.730598,7,0.629107
53.981305,6,0.6303
82.493762,9,0.631738
45.082063,5,0.632537
128.816446,14,0.63512
45.146025,5,0.635959
63.609475,7,0.63707
45.14874,5,0.637876
81.714638,9,0.639357
35.835424,4,0.640018
54.689482,6,0.641
63.273191,7,0.642125
45.318412,5,0.642931
72.920169,8,0.644763
72.651322,8,0.646092
53.860987,6,0.647294
26.754664,3,0.647885
44.894561,5,0.648832
120.009138,13,0.650928
45.190628,5,0.65177
63.722869,7,0.65333
64.112418,7,0.654726
72.74246,8,0.656083
54.796264,6,0.657243
54.623648,6,0.658258
73.339032,8,0.659588
72.90511,8,0.661023
54.673933,6,0.662582
73.09185,8,0.66406
73.508659,8,0.665513
54.081019,6,0.666505
45.272382,5,0.667319
64.145938,7,0.668435
63.617956,7,0.669557
82.167284,9,0.670991
119.827835,13,0.673015
35.700841,4,0.673786
36.094313,4,0.674603
82.042592,9,0.676068
54.459343,6,0.67706
100.862236,11,0.678816
72.847419,8,0.680197
81.869342,9,0.681643
35.786308,4,0.682312
45.382846,5,0.683117
73.648167,8,0.684705
35.798304,4,0.685469
64.148301,7,0.686602
119.412317,13,0.688709
72.846779,8,0.689991
63.430549,7,0.691104
45.27225,5,0.691913
82.081165,9,0.693327
128.360735,14,0.696182
45.536869,5,0.697214
45.233288,5,0.698339
44.942081,5,0.699187
44.62914,5,0.700001
35.809343,4,0.700807
35.514476,4,0.701533
63.749702,7,0.702726
63.533579,7,0.705274
45.091238,5,0.706163
63.914089,7,0.707302
63.322298,7,0.708425
146.9269,16,0.710946
63.943415,7,0.712057
44.657245,5,0.712865
73.3643,8,0.714145
82.689395,9,0.716317
45.157687,5,0.717237
100.902959,11,0.719147
63.975707,7,0.720356
54.441195,6,0.721341
73.153469,8,0.722674
82.705678,9,0.724122
64.050255,7,0.72563
35.751017,4,0.726375
73.349058,8,0.727839
63.845591,7,0.729234
81.687099,9,0.730695
54.079338,6,0.731681
100.702302,11,0.733419
119.351058,13,0.73572
45.467258,5,0.73671
72.985089,8,0.738033
35.773111,4,0.738703
36.069581,4,0.739357
101.259408,11,0.741078
44.479158,5,0.74188
45.287763,5,0.742694
110.945689,12,0.744668
63.638828,7,0.74632
72.758869,8,0.747625
73.143016,8,0.748903
92.118666,10,0.750466
72.803241,8,0.751758
54.615102,6,0.752709
82.432357,9,0.754118
35.749095,4,0.754829
92.075452,10,0.756824
72.984481,8,0.758172
35.59764,4,0.758879
73.260583,8,0.760261
54.769151,6,0.761264
72.705588,8,0.762882
82.116724,9,0.764345
82.123825,9,0.766142
100.964572,11,0.767977
54.621663,6,0.768977
54.652495,6,0.769964
54.480036,6,0.771123
63.898067,7,0.772301
45.026204,5,0.773122
35.415635,4,0.773784
72.496235,8,0.775237
35.769548,4,0.776053
44.689564,5,0.776902
64.065813,7,0.778058
82.259277,9,0.779616
45.441764,5,0.780434
119.977895,13,0.782535
35.726521,4,0.78322
36.069729,4,0.783874
35.493826,4,0.78453
82.69925,9,0.786153
53.969006,6,0.7873
35.903808,4,0.787992
