#{"t_start": 1760013083.746062, "env_id": "InvertedDoublePendulum-v4"}
r,l,t
36.05567,4,0.043943
137.720451,15,0.046805
91.627375,10,0.048518
82.185981,9,0.050183
35.580585,4,0.050881
53.88866,6,0.051868
82.539574,9,0.053319
91.787902,10,0.05535
63.586337,7,0.056536
82.642353,9,0.058007
63.804451,7,0.059139
54.087587,6,0.060545
54.593518,6,0.061615
155.816959,17,0.064508
45.20065,5,0.065368
73.001764,8,0.06669
64.030342,7,0.067828
63.462944,7,0.068964
82.175673,9,0.070428
44.835609,5,0.071241
44.962736,5,0.072066
44.850203,5,0.072909
82.417554,9,0.07455
35.691468,4,0.075419
82.414698,9,0.076881
54.583962,6,0.077856
72.778222,8,0.079157
35.493624,4,0.079817
63.354576,7,0.080945
45.111876,5,0.081809
45.46283,5,0.082633
45.401806,5,0.083452
72.939388,8,0.084849
54.640683,6,0.085965
45.184601,5,0.086836
82.209723,9,0.088392
54.019406,6,0.089391
73.286212,8,0.09068
73.435819,8,0.091977
54.093903,6,0.092943
54.152493,6,0.093906
35.443782,4,0.094564
53.977697,6,0.095723
54.259243,6,0.096751
35.629273,4,0.097462
63.767292,7,0.098609
44.842625,5,0.099434
91.722706,10,0.101316
54.209355,6,0.102334
73.27701,8,0.103637
120.251068,13,0.105722
129.307119,14,0.108097
54.40141,6,0.109147
54.422904,6,0.110114
54.87502,6,0.111114
54.114171,6,0.112096
73.113626,8,0.113385
35.931617,4,0.114059
35.796489,4,0.114722
90.744026,10,0.116307
44.907069,5,0.117128
110.70046,12,0.119177
64.14244,7,0.120357
73.013,8,0.121664
110.520405,12,0.123625
54.218633,6,0.12471
91.690536,10,0.126372
81.880167,9,0.127804
53.874372,6,0.128786
72.561034,8,0.130055
54.097083,6,0.131036
54.347321,6,0.132005
54.007848,6,0.132967
44.898383,5,0.133781
35.827695,4,0.134441
44.671831,5,0.135387
54.392945,6,0.136401
44.991206,5,0.138143
91.841619,10,0.13994
45.122628,5,0.140772
35.695063,4,0.141442
63.586683,7,0.142578
110.373904,12,0.144466
63.369009,7,0.1456
54.474474,6,0.146563
73.01965,8,0.147928
73.591997,8,0.149451
63.921348,7,0.150734
54.56882,6,0.151734
45.320719,5,0.152544
82.664229,9,0.153972
54.565773,6,0.154939
45.495052,5,0.15576
35.855093,4,0.156438
91.764288,10,0.158153
45.284563,5,0.158986
100.901663,11,0.160714
45.177812,5,0.161544
63.318031,7,0.162661
35.614994,4,0.163312
72.959055,8,0.164593
72.907046,8,0.165866
54.766132,6,0.166848
54.472464,6,0.167815
63.40523,7,0.169191
54.114076,6,0.170232
92.199237,10,0.171852
81.979974,9,0.173347
92.00017,10,0.175115
82.35168,9,0.176569
100.942819,11,0.178417
35.653515,4,0.179097
54.519797,6,0.180077
63.56947,7,0.181237
44.998704,5,0.182065
63.775703,7,0.183366
91.875693,10,0.184981
128.915114,14,0.1872
36.007736,4,0.187857
73.169772,8,0.189126
72.884617,8,0.190403
