#{"t_start": 1759920704.270868, "env_id": "InvertedPendulum-v4"}
r,l,t
5.0,5,0.008306
3.0,3,0.008825
17.0,17,0.011919
19.0,19,0.014879
16.0,16,0.017073
18.0,18,0.020052
40.0,40,0.025747
18.0,18,0.028197
8.0,8,0.029772
4.0,4,0.030346
12.0,12,0.031943
3.0,3,0.032373
38.0,38,0.03795
6.0,6,0.039028
8.0,8,0.040179
16.0,16,0.042363
10.0,10,0.043731
31.0,31,0.04781
5.0,5,0.048513
9.0,9,0.050093
12.0,12,0.051981
25.0,25,0.055312
9.0,9,0.056532
32.0,32,0.06138
44.0,44,0.067959
67.0,67,0.077686
24.0,24,0.081314
34.0,34,0.086405
6.0,6,0.087292
12.0,12,0.088927
32.0,32,0.093469
13.0,13,0.095229
38.0,38,0.10039
38.0,38,0.106942
12.0,12,0.108558
8.0,8,0.109649
59.0,59,0.117814
17.0,17,0.120142
23.0,23,0.123484
6.0,6,0.124382
5.0,5,0.125089
21.0,21,0.128091
35.0,35,0.132832
10.0,10,0.134419
17.0,17,0.136716
13.0,13,0.138466
54.0,54,0.146041
21.0,21,0.148834
10.0,10,0.150174
11.0,11,0.151642
18.0,18,0.154207
24.0,24,0.157441
6.0,6,0.158266
12.0,12,0.160046
11.0,11,0.161525
7.0,7,0.16253
14.0,14,0.164434
37.0,37,0.169393
29.0,29,0.173461
29.0,29,0.177471
21.0,21,0.18029
8.0,8,0.181383
5.0,5,0.182069
21.0,21,0.185197
34.0,34,0.190445
16.0,16,0.192564
35.0,35,0.197358
32.0,32,0.203248
25.0,25,0.206609
10.0,10,0.20794
9.0,9,0.209144
29.0,29,0.213224
10.0,10,0.215023
9.0,9,0.216389
13.0,13,0.218265
5.0,5,0.218959
60.0,60,0.227275
14.0,14,0.229145
22.0,22,0.232044
40.0,40,0.237615
15.0,15,0.239591
24.0,24,0.242846
13.0,13,0.244665
12.0,12,0.246293
56.0,56,0.253836
5.0,5,0.254548
9.0,9,0.255753
12.0,12,0.257358
19.0,19,0.259965
4.0,4,0.260539
12.0,12,0.262132
4.0,4,0.262747
60.0,60,0.2708
13.0,13,0.272526
31.0,31,0.276919
28.0,28,0.280695
60.0,60,0.288753
12.0,12,0.290334
4.0,4,0.290892
54.0,54,0.298034
6.0,6,0.298871
21.0,21,0.303266
47.0,47,0.309689
27.0,27,0.313379
6.0,6,0.314207
26.0,26,0.318009
11.0,11,0.319482
4.0,4,0.320036
19.0,19,0.322525
36.0,36,0.327802
24.0,24,0.33098
8.0,8,0.332056
30.0,30,0.335959
46.0,46,0.342495
4.0,4,0.343066
18.0,18,0.345439
6.0,6,0.346288
8.0,8,0.347451
29.0,29,0.351443
7.0,7,0.352414
7.0,7,0.353369
15.0,15,0.355368
11.0,11,0.356901
12.0,12,0.358547
13.0,13,0.360482
25.0,25,0.363837
9.0,9,0.365082
7.0,7,0.366061
17.0,17,0.36852
34.0,34,0.372961
25.0,25,0.376237
9.0,9,0.377567
15.0,15,0.379612
5.0,5,0.380303
9.0,9,0.381514
7.0,7,0.382479
6.0,6,0.383292
35.0,35,0.388153
24.0,24,0.391342
49.0,49,0.398114
13.0,13,0.399875
26.0,26,0.405257
17.0,17,0.407631
40.0,40,0.413208
6.0,6,0.414063
7.0,7,0.415035
29.0,29,0.419062
30.0,30,0.423175
9.0,9,0.424424
5.0,5,0.425127
22.0,22,0.428169
10.0,10,0.429536
35.0,35,0.434458
13.0,13,0.436206
19.0,19,0.438717
24.0,24,0.441862
10.0,10,0.443311
12.0,12,0.44498
9.0,9,0.446214
31.0,31,0.450259
26.0,26,0.454022
20.0,20,0.456647
20.0,20,0.459498
7.0,7,0.460476
39.0,39,0.465597
5.0,5,0.466296
4.0,4,0.466865
4.0,4,0.467632
28.0,28,0.471419
54.0,54,0.478786
7.0,7,0.479776
4.0,4,0.480333
9.0,9,0.481561
22.0,22,0.484571
17.0,17,0.486812
9.0,9,0.488026
14.0,14,0.489866
4.0,4,0.490414
53.0,53,0.497473
11.0,11,0.498946
22.0,22,0.503062
20.0,20,0.505794
4.0,4,0.506349
12.0,12,0.507952
10.0,10,0.509284
5.0,5,0.509976
11.0,11,0.51144
9.0,9,0.512878
32.0,32,0.517261
14.0,14,0.519131
7.0,7,0.520068
25.0,25,0.523513
16.0,16,0.525895
29.0,29,0.529706
6.0,6,0.530532
20.0,20,0.533433
60.0,60,0.541371
12.0,12,0.543125
11.0,11,0.544635
9.0,9,0.545865
18.0,18,0.548242
4.0,4,0.5488
5.0,5,0.549477
14.0,14,0.551539
17.0,17,0.553926
5.0,5,0.554638
37.0,37,0.559727
4.0,4,0.560301
55.0,55,0.567861
14.0,14,0.569769
9.0,9,0.571009
17.0,17,0.573257
17.0,17,0.575652
14.0,14,0.577547
21.0,21,0.580307
16.0,16,0.582408
6.0,6,0.583224
31.0,31,0.587581
20.0,20,0.590275
4.0,4,0.590844
5.0,5,0.591529
21.0,21,0.594452
7.0,7,0.595415
23.0,23,0.598455
20.0,20,0.601291
22.0,22,0.605562
54.0,54,0.612587
40.0,40,0.618123
