#{"t_start": 1759925439.724777, "env_id": "InvertedPendulum-v4"}
r,l,t
5.0,5,0.050685
3.0,3,0.051335
17.0,17,0.053738
19.0,19,0.056286
16.0,16,0.058615
18.0,18,0.06135
40.0,40,0.066975
18.0,18,0.069435
8.0,8,0.070682
4.0,4,0.071265
12.0,12,0.072885
3.0,3,0.073315
38.0,38,0.078434
6.0,6,0.079283
8.0,8,0.080558
16.0,16,0.082686
10.0,10,0.084025
31.0,31,0.088261
5.0,5,0.088959
9.0,9,0.090269
12.0,12,0.092338
25.0,25,0.095979
9.0,9,0.097227
32.0,32,0.101749
44.0,44,0.107502
67.0,67,0.116444
24.0,24,0.119831
34.0,34,0.124426
6.0,6,0.125269
12.0,12,0.12697
32.0,32,0.131282
13.0,13,0.133049
38.0,38,0.138215
38.0,38,0.144595
12.0,12,0.146408
8.0,8,0.147503
59.0,59,0.155437
17.0,17,0.157869
23.0,23,0.160918
6.0,6,0.161753
5.0,5,0.162436
21.0,21,0.165315
35.0,35,0.170055
10.0,10,0.171419
17.0,17,0.173638
13.0,13,0.175584
54.0,54,0.182836
21.0,21,0.185749
10.0,10,0.187119
11.0,11,0.188604
18.0,18,0.190991
24.0,24,0.194318
6.0,6,0.195254
12.0,12,0.196894
11.0,11,0.198372
7.0,7,0.199329
14.0,14,0.201294
37.0,37,0.206283
29.0,29,0.210296
29.0,29,0.214191
21.0,21,0.216997
8.0,8,0.218255
5.0,5,0.218967
21.0,21,0.221727
34.0,34,0.226127
16.0,16,0.228334
35.0,35,0.232976
32.0,32,0.237367
25.0,25,0.240804
10.0,10,0.24217
9.0,9,0.244254
29.0,29,0.248406
10.0,10,0.249767
9.0,9,0.250971
13.0,13,0.252691
5.0,5,0.25339
60.0,60,0.26153
14.0,14,0.263393
22.0,22,0.266423
40.0,40,0.271811
15.0,15,0.273796
24.0,24,0.277268
13.0,13,0.279003
12.0,12,0.280613
56.0,56,0.288022
5.0,5,0.288715
9.0,9,0.289914
12.0,12,0.29151
19.0,19,0.294001
4.0,4,0.29466
12.0,12,0.296338
4.0,4,0.296899
60.0,60,0.304994
13.0,13,0.306756
31.0,31,0.311047
28.0,28,0.314824
60.0,60,0.322925
12.0,12,0.324555
4.0,4,0.325273
54.0,54,0.332688
6.0,6,0.333533
21.0,21,0.336508
47.0,47,0.342659
27.0,27,0.347502
6.0,6,0.348331
26.0,26,0.351747
11.0,11,0.353209
4.0,4,0.353766
19.0,19,0.356482
36.0,36,0.361433
24.0,24,0.364624
8.0,8,0.365716
30.0,30,0.369853
46.0,46,0.37587
4.0,4,0.376433
18.0,18,0.378898
6.0,6,0.379753
8.0,8,0.380828
29.0,29,0.384828
7.0,7,0.385812
7.0,7,0.386767
15.0,15,0.38885
11.0,11,0.390328
12.0,12,0.391927
13.0,13,0.393782
25.0,25,0.397065
9.0,9,0.398267
7.0,7,0.399221
17.0,17,0.401621
34.0,34,0.406089
25.0,25,0.409345
9.0,9,0.41059
15.0,15,0.412714
5.0,5,0.413431
9.0,9,0.414629
7.0,7,0.415573
6.0,6,0.416396
35.0,35,0.421059
24.0,24,0.424353
49.0,49,0.430975
13.0,13,0.432827
26.0,26,0.436346
17.0,17,0.438614
40.0,40,0.445418
6.0,6,0.446415
7.0,7,0.447366
29.0,29,0.451156
