#{"t_start": 1759934123.928599, "env_id": "InvertedPendulum-v4"}
r,l,t
76.0,76,0.085349
21.0,21,0.088476
18.0,18,0.090952
409.0,409,0.15463
27.0,27,0.206525
68.0,68,0.226761
26.0,26,0.230709
58.0,58,0.240151
17.0,17,0.242518
85.0,85,0.256715
29.0,29,0.261174
113.0,113,0.279608
82.0,82,0.291732
68.0,68,0.303713
39.0,39,0.309068
58.0,58,0.317721
58.0,58,0.325793
150.0,150,0.347043
113.0,113,0.362346
11.0,11,0.363821
21.0,21,0.366636
61.0,61,0.375258
10.0,10,0.37661
29.0,29,0.380404
66.0,66,0.389627
41.0,41,0.395503
14.0,14,0.397532
28.0,28,0.403067
19.0,19,0.405806
77.0,77,0.417263
80.0,80,0.428561
57.0,57,0.437769
38.0,38,0.44402
13.0,13,0.44656
24.0,24,0.450606
80.0,80,0.462665
52.0,52,0.470833
53.0,53,0.48002
12.0,12,0.482098
18.0,18,0.484615
39.0,39,0.49058
45.0,45,0.497558
226.0,226,0.532768
49.0,49,0.540913
23.0,23,0.544507
52.0,52,0.552186
82.0,82,0.565222
37.0,37,0.57082
28.0,28,0.575025
28.0,28,0.579731
32.0,32,0.585148
132.0,132,0.606472
20.0,20,0.60973
44.0,44,0.617576
17.0,17,0.619965
35.0,35,0.624926
107.0,107,0.641942
60.0,60,0.650894
26.0,26,0.654642
34.0,34,0.65992
43.0,43,0.66654
94.0,94,0.680764
25.0,25,0.684943
119.0,119,0.705103
213.0,213,0.736427
22.0,22,0.739432
53.0,53,0.746998
33.0,33,0.751627
25.0,25,0.755041
114.0,114,0.770222
111.0,111,0.785941
15.0,15,0.788293
29.0,29,0.793242
18.0,18,0.795731
15.0,15,0.797936
26.0,26,0.803462
79.0,79,0.816519
33.0,33,0.821838
8.0,8,0.823092
63.0,63,0.832848
82.0,82,0.847022
24.0,24,0.851325
37.0,37,0.85701
101.0,101,0.873042
167.0,167,0.89852
87.0,87,0.914822
15.0,15,0.91792
74.0,74,0.929081
65.0,65,0.939887
58.0,58,0.948859
117.0,117,0.967299
100.0,100,0.981494
62.0,62,0.990647
34.0,34,0.995568
63.0,63,1.008003
50.0,50,1.016051
164.0,164,1.042035
93.0,93,1.055725
32.0,32,1.060516
19.0,19,1.063373
5.0,5,1.06416
19.0,19,1.066754
24.0,24,1.070116
41.0,41,1.075794
211.0,211,1.106093
89.0,89,1.11804
127.0,127,1.136229
47.0,47,1.142695
175.0,175,1.167832
45.0,45,1.175049
33.0,33,1.179908
59.0,59,1.18864
31.0,31,1.192859
66.0,66,1.202662
20.0,20,1.20844
94.0,94,1.222368
88.0,88,1.236736
150.0,150,1.257757
47.0,47,1.264028
17.0,17,1.266879
23.0,23,1.269912
54.0,54,1.277766
172.0,172,1.301742
25.0,25,1.306889
123.0,123,1.323619
154.0,154,1.344451
33.0,33,1.348973
45.0,45,1.355136
3.0,3,1.355591
90.0,90,1.367437
183.0,183,1.392064
20.0,20,1.394814
95.0,95,1.408797
169.0,169,1.432402
30.0,30,1.436644
182.0,182,1.461085
24.0,24,1.464626
69.0,69,1.473893
46.0,46,1.480134
103.0,103,1.493749
120.0,120,1.511116
17.0,17,1.513376
21.0,21,1.516335
58.0,58,1.524266
3.0,3,1.524818
121.0,121,1.540891
74.0,74,1.550736
11.0,11,1.55225
17.0,17,1.55448
42.0,42,1.560088
56.0,56,1.567682
101.0,101,1.581632
153.0,153,1.602089
104.0,104,1.617204
24.0,24,1.620414
78.0,78,1.631069
82.0,82,1.642205
31.0,31,1.646586
75.0,75,1.656629
30.0,30,1.660774
85.0,85,1.671934
76.0,76,1.682601
73.0,73,1.692334
87.0,87,1.705003
94.0,94,1.717411
253.0,253,1.753381
67.0,67,1.762562
35.0,35,1.767227
171.0,171,1.790164
70.0,70,1.799882
49.0,49,1.807635
133.0,133,1.826236
23.0,23,1.829821
29.0,29,1.83427
138.0,138,1.855786
16.0,16,1.858029
170.0,170,1.884521
66.0,66,1.894329
79.0,79,1.906696
14.0,14,1.909069
40.0,40,1.917158
19.0,19,1.919813
17.0,17,1.922609
98.0,98,1.937314
19.0,19,1.94047
19.0,19,1.943066
79.0,79,1.955697
36.0,36,1.961505
39.0,39,1.967361
8.0,8,1.968476
48.0,48,1.975482
108.0,108,1.991306
16.0,16,1.993579
99.0,99,2.007971
126.0,126,2.02643
15.0,15,2.028451
80.0,80,2.039811
46.0,46,2.046225
20.0,20,2.049023
27.0,27,2.052568
67.0,67,2.061833
23.0,23,2.065248
30.0,30,2.069218
62.0,62,2.07752
71.0,71,2.086945
172.0,172,2.109777
76.0,76,2.120847
118.0,118,2.136456
49.0,49,2.143272
263.0,263,2.17827
19.0,19,2.180954
6.0,6,2.181812
92.0,92,2.194079
24.0,24,2.19741
26.0,26,2.200948
9.0,9,2.202196
24.0,24,2.20546
24.0,24,2.208636
143.0,143,2.228663
17.0,17,2.231133
71.0,71,2.240831
31.0,31,2.244918
18.0,18,2.247381
166.0,166,2.269413
29.0,29,2.273419
74.0,74,2.283135
39.0,39,2.288444
93.0,93,2.300903
41.0,41,2.306436
15.0,15,2.308416
110.0,110,2.324455
8.0,8,2.325559
25.0,25,2.328892
60.0,60,2.337151
26.0,26,2.340708
6.0,6,2.341591
43.0,43,2.347334
196.0,196,2.373942
21.0,21,2.376699
49.0,49,2.383377
81.0,81,2.394782
137.0,137,2.414663
56.0,56,2.424901
76.0,76,2.436368
26.0,26,2.441148
14.0,14,2.443312
60.0,60,2.453631
67.0,67,2.463446
29.0,29,2.467725
177.0,177,2.493925
38.0,38,2.500279
87.0,87,2.512539
62.0,62,2.521843
177.0,177,2.551376
27.0,27,2.555267
53.0,53,2.562903
231.0,231,2.596382
142.0,142,2.616042
88.0,88,2.628331
56.0,56,2.6372
106.0,106,2.651931
68.0,68,2.661507
109.0,109,2.676475
13.0,13,2.678454
38.0,38,2.683595
8.0,8,2.684689
60.0,60,2.692831
15.0,15,2.694826
167.0,167,2.717199
93.0,93,2.729618
7.0,7,2.730578
35.0,35,2.736382
91.0,91,2.748538
201.0,201,2.774869
53.0,53,2.78229
145.0,145,2.804226
19.0,19,2.807062
112.0,112,2.82219
107.0,107,2.837636
66.0,66,2.846666
87.0,87,2.858296
53.0,53,2.865491
9.0,9,2.866774
105.0,105,2.88111
294.0,294,2.920971
171.0,171,2.946039
35.0,35,2.951544
15.0,15,2.953639
154.0,154,2.976563
135.0,135,2.998143
97.0,97,3.012174
13.0,13,3.014322
26.0,26,3.018463
8.0,8,3.019656
123.0,123,3.038163
46.0,46,3.047559
35.0,35,3.05262
24.0,24,3.056086
39.0,39,3.062009
54.0,54,3.07067
34.0,34,3.076204
22.0,22,3.079446
40.0,40,3.084934
75.0,75,3.098482
50.0,50,3.105761
116.0,116,3.123186
147.0,147,3.144836
28.0,28,3.148686
22.0,22,3.153095
23.0,23,3.156309
55.0,55,3.164178
78.0,78,3.175142
78.0,78,3.185741
40.0,40,3.190952
69.0,69,3.20068
19.0,19,3.203638
49.0,49,3.210065
8.0,8,3.21114
126.0,126,3.228263
49.0,49,3.23503
6.0,6,3.235867
72.0,72,3.245326
19.0,19,3.248115
212.0,212,3.277132
96.0,96,3.290027
10.0,10,3.29149
132.0,132,3.309071
118.0,118,3.325178
132.0,132,3.343017
69.0,69,3.354031
40.0,40,3.359567
165.0,165,3.382207
51.0,51,3.389166
44.0,44,3.394943
19.0,19,3.397596
50.0,50,3.404298
25.0,25,3.40761
75.0,75,3.417667
80.0,80,3.428265
114.0,114,3.443497
124.0,124,3.462268
120.0,120,3.481045
15.0,15,3.483313
27.0,27,3.487896
42.0,42,3.494476
37.0,37,3.499893
25.0,25,3.503648
60.0,60,3.511875
67.0,67,3.522915
96.0,96,3.536416
76.0,76,3.548401
71.0,71,3.558205
118.0,118,3.576016
46.0,46,3.582437
18.0,18,3.584942
167.0,167,3.607183
114.0,114,3.622457
139.0,139,3.640921
13.0,13,3.642702
15.0,15,3.644701
45.0,45,3.650708
179.0,179,3.675506
76.0,76,3.685774
24.0,24,3.689159
47.0,47,3.695448
103.0,103,3.709142
57.0,57,3.716837
38.0,38,3.721991
150.0,150,3.766407
55.0,55,3.782502
114.0,114,3.802098
25.0,25,3.805648
140.0,140,3.824827
53.0,53,3.832049
97.0,97,3.844765
92.0,92,3.857388
43.0,43,3.863181
60.0,60,3.87117
190.0,190,3.898307
168.0,168,3.920744
7.0,7,3.921702
25.0,25,3.925171
115.0,115,3.940529
65.0,65,3.949233
28.0,28,3.95301
73.0,73,3.963055
30.0,30,3.966999
24.0,24,3.97015
41.0,41,3.975707
3.0,3,3.976164
43.0,43,3.981938
73.0,73,3.992836
54.0,54,3.999868
16.0,16,4.002287
133.0,133,4.019976
117.0,117,4.03563
164.0,164,4.057589
28.0,28,4.06126
16.0,16,4.063601
78.0,78,4.073842
34.0,34,4.078326
57.0,57,4.086159
27.0,27,4.089991
40.0,40,4.096886
39.0,39,4.102126
51.0,51,4.108981
35.0,35,4.1138
44.0,44,4.119528
98.0,98,4.132632
20.0,20,4.135303
27.0,27,4.139029
57.0,57,4.14647
41.0,41,4.151933
42.0,42,4.157698
20.0,20,4.160381
32.0,32,4.164737
8.0,8,4.165851
72.0,72,4.175492
114.0,114,4.191525
51.0,51,4.199152
62.0,62,4.207679
53.0,53,4.21481
17.0,17,4.217096
46.0,46,4.223277
33.0,33,4.227696
144.0,144,4.247056
6.0,6,4.247909
316.0,316,4.289678
94.0,94,4.30348
37.0,37,4.308511
147.0,147,4.328305
38.0,38,4.333602
36.0,36,4.338538
81.0,81,4.349257
15.0,15,4.351294
155.0,155,4.372122
143.0,143,4.392192
87.0,87,4.404337
41.0,41,4.409805
69.0,69,4.419047
71.0,71,4.428515
77.0,77,4.438999
13.0,13,4.440737
19.0,19,4.443338
150.0,150,4.463464
79.0,79,4.47383
191.0,191,4.501181
183.0,183,4.525784
180.0,180,4.549629
72.0,72,4.559281
81.0,81,4.570013
156.0,156,4.59042
66.0,66,4.601309
82.0,82,4.612265
44.0,44,4.618303
19.0,19,4.621075
25.0,25,4.624495
10.0,10,4.625873
13.0,13,4.627634
23.0,23,4.630734
33.0,33,4.635205
47.0,47,4.641501
18.0,18,4.643911
25.0,25,4.647403
9.0,9,4.648676
164.0,164,4.67032
34.0,34,4.674924
48.0,48,4.68143
52.0,52,4.688471
23.0,23,4.691553
21.0,21,4.695628
170.0,170,4.718946
43.0,43,4.724933
37.0,37,4.72989
127.0,127,4.746979
289.0,289,4.785229
251.0,251,4.820017
167.0,167,4.842564
10.0,10,4.844053
107.0,107,4.858366
48.0,48,4.864728
155.0,155,4.88506
32.0,32,4.88941
114.0,114,4.906569
64.0,64,4.915178
26.0,26,4.918694
13.0,13,4.92043
102.0,102,4.934363
98.0,98,4.947617
19.0,19,4.950174
46.0,46,4.956305
72.0,72,4.965925
202.0,202,4.994262
26.0,26,4.998168
61.0,61,5.006457
35.0,35,5.011073
49.0,49,5.017844
39.0,39,5.02308
66.0,66,5.032051
188.0,188,5.057123
38.0,38,5.06211
88.0,88,5.073996
16.0,16,5.076207
63.0,63,5.084752
22.0,22,5.087795
6.0,6,5.088641
173.0,173,5.113559
130.0,130,5.131309
110.0,110,5.146127
48.0,48,5.152403
255.0,255,5.186094
18.0,18,5.188746
63.0,63,5.198096
28.0,28,5.201743
88.0,88,5.213369
61.0,61,5.221743
18.0,18,5.224216
22.0,22,5.22718
92.0,92,5.239622
91.0,91,5.251586
20.0,20,5.2544
66.0,66,5.263266
133.0,133,5.280842
43.0,43,5.286457
26.0,26,5.290038
164.0,164,5.313727
27.0,27,5.317402
9.0,9,5.318635
71.0,71,5.328058
42.0,42,5.333849
31.0,31,5.338066
26.0,26,5.34157
28.0,28,5.345275
162.0,162,5.366617
24.0,24,5.369781
27.0,27,5.373499
52.0,52,5.380276
21.0,21,5.383169
93.0,93,5.396864
138.0,138,5.415709
74.0,74,5.425788
36.0,36,5.43072
25.0,25,5.434043
252.0,252,5.467599
73.0,73,5.477358
74.0,74,5.487078
60.0,60,5.495995
44.0,44,5.501726
62.0,62,5.510045
66.0,66,5.518936
20.0,20,5.521767
7.0,7,5.522729
116.0,116,5.538242
46.0,46,5.544245
212.0,212,5.572257
29.0,29,5.576152
51.0,51,5.583031
14.0,14,5.584914
19.0,19,5.587527
51.0,51,5.595481
12.0,12,5.597381
16.0,16,5.599589
46.0,46,5.60585
55.0,55,5.613199
31.0,31,5.6173
91.0,91,5.629218
46.0,46,5.635443
71.0,71,5.644959
12.0,12,5.646691
71.0,71,5.656233
18.0,18,5.658636
28.0,28,5.662414
81.0,81,5.673162
24.0,24,5.676607
195.0,195,5.70404
158.0,158,5.725455
193.0,193,5.751394
96.0,96,5.764324
16.0,16,5.766476
112.0,112,5.781499
52.0,52,5.788523
60.0,60,5.798174
14.0,14,5.800131
128.0,128,5.817471
131.0,131,5.835282
41.0,41,5.840894
166.0,166,5.863104
107.0,107,5.877659
11.0,11,5.879285
32.0,32,5.88348
31.0,31,5.88774
13.0,13,5.889485
18.0,18,5.891852
117.0,117,5.908693
42.0,42,5.914527
28.0,28,5.918383
226.0,226,5.94833
176.0,176,5.971998
19.0,19,5.974533
41.0,41,5.979965
11.0,11,5.981447
23.0,23,5.984488
126.0,126,6.00256
192.0,192,6.029183
215.0,215,6.058319
32.0,32,6.062517
80.0,80,6.0743
30.0,30,6.078362
115.0,115,6.094077
146.0,146,6.120023
45.0,45,6.126577
18.0,18,6.129321
122.0,122,6.147674
153.0,153,6.17047
174.0,174,6.194745
81.0,81,6.205975
133.0,133,6.226379
132.0,132,6.245478
66.0,66,6.254732
53.0,53,6.262264
14.0,14,6.264333
281.0,281,6.303139
41.0,41,6.309088
86.0,86,6.322471
9.0,9,6.323807
185.0,185,6.350338
107.0,107,6.365225
49.0,49,6.371985
216.0,216,6.401326
92.0,92,6.416391
155.0,155,6.438248
26.0,26,6.441768
21.0,21,6.444897
166.0,166,6.467869
58.0,58,6.475794
27.0,27,6.479322
19.0,19,6.481813
115.0,115,6.497984
13.0,13,6.499715
76.0,76,6.510314
26.0,26,6.516372
50.0,50,6.52411
17.0,17,6.526731
103.0,103,6.54085
35.0,35,6.546206
179.0,179,6.570486
49.0,49,6.577169
63.0,63,6.585627
135.0,135,6.603482
11.0,11,6.605059
126.0,126,6.623074
102.0,102,6.637777
65.0,65,6.646725
22.0,22,6.649813
42.0,42,6.655457
21.0,21,6.658208
53.0,53,6.665723
68.0,68,6.674907
17.0,17,6.677149
152.0,152,6.697874
15.0,15,6.699921
80.0,80,6.711565
139.0,139,6.730941
62.0,62,6.739723
8.0,8,6.740855
77.0,77,6.751858
78.0,78,6.762624
34.0,34,6.767075
92.0,92,6.7797
160.0,160,6.801011
53.0,53,6.808213
22.0,22,6.812654
143.0,143,6.832448
40.0,40,6.837997
22.0,22,6.841129
34.0,34,6.845738
408.0,408,6.900572
102.0,102,6.916436
6.0,6,6.917305
47.0,47,6.923945
105.0,105,6.938319
122.0,122,6.954657
22.0,22,6.957725
34.0,34,6.962493
27.0,27,6.966171
152.0,152,6.98647
218.0,218,7.016198
67.0,67,7.025243
103.0,103,7.039355
62.0,62,7.047766
12.0,12,7.049428
103.0,103,7.062997
