#{"t_start": 1759934756.884872, "env_id": "InvertedPendulum-v4"}
r,l,t
8.0,8,0.017455
5.0,5,0.018571
6.0,6,0.019629
4.0,4,0.020334
10.0,10,0.022017
6.0,6,0.023044
9.0,9,0.024604
7.0,7,0.027334
12.0,12,0.031011
5.0,5,0.032557
6.0,6,0.033909
4.0,4,0.034654
7.0,7,0.035846
7.0,7,0.037372
5.0,5,0.038299
4.0,4,0.039013
10.0,10,0.040989
5.0,5,0.041959
5.0,5,0.042856
10.0,10,0.044576
11.0,11,0.046759
9.0,9,0.048358
10.0,10,0.050184
10.0,10,0.05189
11.0,11,0.053714
13.0,13,0.055914
5.0,5,0.056904
12.0,12,0.059051
15.0,15,0.061532
11.0,11,0.063377
6.0,6,0.064388
5.0,5,0.065233
12.0,12,0.067527
5.0,5,0.068622
5.0,5,0.06962
20.0,20,0.073177
6.0,6,0.074201
4.0,4,0.074902
11.0,11,0.076923
10.0,10,0.078753
9.0,9,0.080301
6.0,6,0.081534
3.0,3,0.082097
3.0,3,0.082631
4.0,4,0.083328
7.0,7,0.084511
8.0,8,0.085839
4.0,4,0.086524
26.0,26,0.091145
5.0,5,0.092079
7.0,7,0.093287
11.0,11,0.095163
12.0,12,0.097405
7.0,7,0.098766
4.0,4,0.099486
8.0,8,0.101842
10.0,10,0.103754
3.0,3,0.104367
5.0,5,0.105297
8.0,8,0.106744
4.0,4,0.111522
5.0,5,0.139585
7.0,7,0.143838
22.0,22,0.15027
6.0,6,0.151509
8.0,8,0.153403
4.0,4,0.154215
8.0,8,0.155578
9.0,9,0.157096
5.0,5,0.158095
5.0,5,0.158986
15.0,15,0.161471
16.0,16,0.164451
6.0,6,0.165603
6.0,6,0.166671
7.0,7,0.16786
6.0,6,0.168896
7.0,7,0.170069
5.0,5,0.170915
8.0,8,0.172286
12.0,12,0.174599
6.0,6,0.175725
5.0,5,0.176599
6.0,6,0.17764
16.0,16,0.180315
8.0,8,0.181773
6.0,6,0.182793
9.0,9,0.184284
5.0,5,0.18515
7.0,7,0.186338
5.0,5,0.187183
6.0,6,0.188225
14.0,14,0.190618
7.0,7,0.191892
7.0,7,0.193077
5.0,5,0.193955
17.0,17,0.196774
5.0,5,0.197635
9.0,9,0.199178
8.0,8,0.20062
4.0,4,0.201463
6.0,6,0.202537
5.0,5,0.203401
5.0,5,0.204248
8.0,8,0.205636
11.0,11,0.20758
5.0,5,0.208466
5.0,5,0.20933
11.0,11,0.21151
16.0,16,0.214146
4.0,4,0.214835
25.0,25,0.218914
7.0,7,0.220265
6.0,6,0.221347
15.0,15,0.224183
10.0,10,0.225865
4.0,4,0.226555
5.0,5,0.227453
5.0,5,0.228297
10.0,10,0.230095
5.0,5,0.230988
5.0,5,0.231866
6.0,6,0.232986
5.0,5,0.233857
5.0,5,0.234706
4.0,4,0.235391
5.0,5,0.236252
8.0,8,0.23757
5.0,5,0.238441
3.0,3,0.238969
4.0,4,0.239655
3.0,3,0.24042
5.0,5,0.241424
10.0,10,0.245743
7.0,7,0.247519
5.0,5,0.248411
6.0,6,0.249443
10.0,10,0.251115
6.0,6,0.252153
6.0,6,0.253162
6.0,6,0.254172
8.0,8,0.255811
15.0,15,0.258654
7.0,7,0.259845
8.0,8,0.261204
8.0,8,0.262528
4.0,4,0.263255
4.0,4,0.263937
7.0,7,0.265104
5.0,5,0.266151
9.0,9,0.267643
7.0,7,0.268833
13.0,13,0.270958
5.0,5,0.271847
7.0,7,0.273014
18.0,18,0.276113
7.0,7,0.277385
17.0,17,0.280216
19.0,19,0.283555
11.0,11,0.28549
7.0,7,0.286741
6.0,6,0.287784
7.0,7,0.288972
6.0,6,0.289989
7.0,7,0.291381
6.0,6,0.292422
6.0,6,0.293458
8.0,8,0.294844
8.0,8,0.296309
7.0,7,0.297508
7.0,7,0.298742
11.0,11,0.300803
7.0,7,0.302077
8.0,8,0.303421
9.0,9,0.304927
5.0,5,0.305925
6.0,6,0.306972
6.0,6,0.308302
3.0,3,0.308904
12.0,12,0.310934
6.0,6,0.311948
7.0,7,0.313166
14.0,14,0.315517
13.0,13,0.317871
5.0,5,0.318735
5.0,5,0.319595
8.0,8,0.320934
15.0,15,0.323433
5.0,5,0.324289
6.0,6,0.325322
4.0,4,0.326423
5.0,5,0.32737
10.0,10,0.329103
5.0,5,0.329981
6.0,6,0.330988
5.0,5,0.33194
6.0,6,0.333185
7.0,7,0.334447
10.0,10,0.336272
8.0,8,0.337675
9.0,9,0.339169
7.0,7,0.340514
9.0,9,0.342215
7.0,7,0.343446
5.0,5,0.344341
7.0,7,0.345548
7.0,7,0.346752
6.0,6,0.348003
8.0,8,0.352456
5.0,5,0.353795
8.0,8,0.355173
4.0,4,0.35589
7.0,7,0.357068
10.0,10,0.358801
6.0,6,0.359808
8.0,8,0.361164
4.0,4,0.361847
15.0,15,0.364658
14.0,14,0.367389
5.0,5,0.368265
8.0,8,0.369615
9.0,9,0.371102
4.0,4,0.371823
13.0,13,0.374357
7.0,7,0.375535
7.0,7,0.376712
5.0,5,0.377573
6.0,6,0.378575
7.0,7,0.379764
6.0,6,0.380794
4.0,4,0.381494
10.0,10,0.383234
6.0,6,0.38426
14.0,14,0.386567
13.0,13,0.38872
4.0,4,0.389429
4.0,4,0.390137
5.0,5,0.390993
5.0,5,0.391845
5.0,5,0.392877
6.0,6,0.393991
8.0,8,0.395337
10.0,10,0.397015
4.0,4,0.397737
3.0,3,0.398298
6.0,6,0.399525
20.0,20,0.402989
7.0,7,0.404193
15.0,15,0.407012
13.0,13,0.409175
10.0,10,0.410827
6.0,6,0.411836
5.0,5,0.412966
17.0,17,0.416065
6.0,6,0.417113
15.0,15,0.419627
7.0,7,0.42079
5.0,5,0.421673
7.0,7,0.423
7.0,7,0.424403
6.0,6,0.425475
10.0,10,0.427196
