rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
7.65,1,0,7.65,2048,5137,,,,,,,,,,,,,
10.19,2,1,10.19,4096,3344,13.02467526718974,0.0001304149627685547,0.019371752,-0.021612901949265507,-1.3970668748021127,0.172509765625,2.562638759613037,0.0003,10,0.9545564651489258,0.2,,
15.79,3,2,15.79,6144,3006,13.09841300547123,0.14954841136932373,0.02495503,-0.03179458608210552,-1.3397498808801174,0.1953125,4.754187107086182,0.0003,20,0.8985257744789124,0.2,,
23.26,4,2,23.26,8192,2862,25.036651885509492,0.139043390750885,0.022807123,-0.02991068071423797,-1.2920749984681605,0.20166015625,13.343159675598145,0.0003,30,0.8648617267608643,0.2,,
,,,,10000,,43.02529618144035,0.10869467258453369,0.009999363,-0.02148499414179241,-1.2593152556568383,0.1177734375,23.917156219482422,0.0003,40,0.840985894203186,0.2,102.4,102.4
31.25,5,3,31.25,10240,2679,,,,,,,,,,,,,
40.88,6,4,40.88,12288,2640,51.09986676573753,0.15842342376708984,0.0077302977,-0.01769626254681498,-1.2362570535391568,0.101513671875,18.226900100708008,0.0003,50,0.8242467641830444,0.2,,
50.59,7,5,50.59,14336,2621,40.747744315862654,0.4762495160102844,0.0077544213,-0.012301067571388557,-1.2213166572153569,0.07216796875,23.105762481689453,0.0003,60,0.8165631294250488,0.2,,
60.83,8,6,60.83,16384,2590,47.20497488975525,0.584778904914856,0.014181435,-0.016727198447915724,-1.2055370509624481,0.118212890625,28.023578643798828,0.0003,70,0.7992724776268005,0.2,,
69.97,9,7,69.97,18432,2569,35.77051059007645,0.7554932236671448,0.00931257,-0.0075563109130598605,-1.1858477737754582,0.074609375,15.23080825805664,0.0003,80,0.7834612131118774,0.2,,
,,,,20000,,16.690449430048467,0.9040298461914062,0.006840218,-0.009874083925387822,-1.1786108519881964,0.097021484375,3.661728858947754,0.0003,90,0.7905150055885315,0.2,140.4,140.4
80.86,10,8,80.86,20480,2516,,,,,,,,,,,,,
