#{"t_start": 1760010616.1702468, "env_id": "InvertedPendulum-v4"}
r,l,t
8.0,8,0.063871
5.0,5,0.065194
6.0,6,0.066319
4.0,4,0.067052
10.0,10,0.068771
6.0,6,0.069815
9.0,9,0.07135
7.0,7,0.072919
12.0,12,0.075268
5.0,5,0.076402
6.0,6,0.077505
4.0,4,0.078237
7.0,7,0.079478
7.0,7,0.080714
5.0,5,0.081592
4.0,4,0.082302
10.0,10,0.084173
5.0,5,0.085092
5.0,5,0.08599
10.0,10,0.087741
11.0,11,0.089636
9.0,9,0.091436
10.0,10,0.093363
10.0,10,0.095322
11.0,11,0.097207
13.0,13,0.099407
5.0,5,0.100274
12.0,12,0.102294
15.0,15,0.105058
11.0,11,0.10698
6.0,6,0.108021
5.0,5,0.109039
12.0,12,0.111091
5.0,5,0.111965
5.0,5,0.112834
20.0,20,0.116979
6.0,6,0.118083
4.0,4,0.118803
11.0,11,0.120736
10.0,10,0.122433
9.0,9,0.124251
6.0,6,0.125398
3.0,3,0.125972
3.0,3,0.126532
4.0,4,0.127257
7.0,7,0.128502
8.0,8,0.129919
4.0,4,0.130652
26.0,26,0.135511
5.0,5,0.13666
7.0,7,0.137932
11.0,11,0.140033
12.0,12,0.142066
7.0,7,0.143276
4.0,4,0.144173
8.0,8,0.145614
10.0,10,0.147462
3.0,3,0.148009
5.0,5,0.148883
8.0,8,0.15029
4.0,4,0.150987
5.0,5,0.151884
7.0,7,0.153081
22.0,22,0.161213
6.0,6,0.162317
8.0,8,0.163692
4.0,4,0.164399
8.0,8,0.165759
9.0,9,0.16729
5.0,5,0.168171
5.0,5,0.169033
15.0,15,0.171994
16.0,16,0.175067
6.0,6,0.176163
6.0,6,0.177217
7.0,7,0.178458
6.0,6,0.17952
7.0,7,0.180747
5.0,5,0.181797
8.0,8,0.183237
12.0,12,0.185415
6.0,6,0.186472
5.0,5,0.187362
6.0,6,0.1884
16.0,16,0.191254
8.0,8,0.192646
6.0,6,0.193689
9.0,9,0.195379
5.0,5,0.196381
7.0,7,0.197621
5.0,5,0.198639
6.0,6,0.199735
14.0,14,0.202342
7.0,7,0.203597
7.0,7,0.204822
5.0,5,0.205709
17.0,17,0.20875
5.0,5,0.209663
9.0,9,0.211205
8.0,8,0.212585
4.0,4,0.213289
6.0,6,0.214324
5.0,5,0.215321
5.0,5,0.216218
8.0,8,0.217593
11.0,11,0.219465
5.0,5,0.220364
5.0,5,0.221229
11.0,11,0.223197
16.0,16,0.225926
4.0,4,0.22665
25.0,25,0.230868
7.0,7,0.232215
6.0,6,0.233275
15.0,15,0.235839
10.0,10,0.237573
4.0,4,0.238281
5.0,5,0.239152
5.0,5,0.240211
10.0,10,0.241929
5.0,5,0.242822
5.0,5,0.243699
6.0,6,0.244738
5.0,5,0.245611
5.0,5,0.246479
4.0,4,0.247192
5.0,5,0.248271
8.0,8,0.249862
5.0,5,0.250777
3.0,3,0.251345
4.0,4,0.252058
3.0,3,0.252603
5.0,5,0.253479
10.0,10,0.255201
7.0,7,0.256586
5.0,5,0.257492
6.0,6,0.258536
10.0,10,0.26039
6.0,6,0.261454
6.0,6,0.262488
6.0,6,0.263518
8.0,8,0.267511
15.0,15,0.270431
7.0,7,0.271704
8.0,8,0.273094
8.0,8,0.274473
4.0,4,0.275179
4.0,4,0.275886
7.0,7,0.277266
5.0,5,0.278404
9.0,9,0.279969
7.0,7,0.281309
13.0,13,0.283584
5.0,5,0.284476
7.0,7,0.285687
18.0,18,0.28876
7.0,7,0.29015
17.0,17,0.293126
19.0,19,0.29633
11.0,11,0.298306
7.0,7,0.299513
6.0,6,0.300549
7.0,7,0.301758
6.0,6,0.302793
7.0,7,0.304005
6.0,6,0.305039
6.0,6,0.306112
8.0,8,0.307576
8.0,8,0.308945
7.0,7,0.31016
7.0,7,0.311348
11.0,11,0.313191
7.0,7,0.314399
8.0,8,0.315902
9.0,9,0.317459
5.0,5,0.318344
6.0,6,0.31938
6.0,6,0.320436
3.0,3,0.32099
12.0,12,0.323136
6.0,6,0.324198
7.0,7,0.325411
14.0,14,0.327776
13.0,13,0.329966
5.0,5,0.330827
5.0,5,0.331913
8.0,8,0.333458
15.0,15,0.336016
5.0,5,0.336883
6.0,6,0.337936
4.0,4,0.338631
5.0,5,0.339608
10.0,10,0.341348
5.0,5,0.342221
6.0,6,0.343295
5.0,5,0.344163
6.0,6,0.345196
7.0,7,0.34643
10.0,10,0.348242
8.0,8,0.349645
9.0,9,0.351185
7.0,7,0.352381
9.0,9,0.353924
7.0,7,0.355115
5.0,5,0.355973
7.0,7,0.357291
7.0,7,0.358507
6.0,6,0.359569
8.0,8,0.36093
5.0,5,0.361801
8.0,8,0.363163
4.0,4,0.363863
7.0,7,0.365266
10.0,10,0.367048
6.0,6,0.36814
8.0,8,0.369534
4.0,4,0.370259
15.0,15,0.375629
14.0,14,0.378019
5.0,5,0.378893
8.0,8,0.380266
9.0,9,0.381799
4.0,4,0.382509
13.0,13,0.385092
7.0,7,0.386356
7.0,7,0.387569
5.0,5,0.388434
6.0,6,0.389572
7.0,7,0.391021
6.0,6,0.392079
4.0,4,0.392805
10.0,10,0.394633
6.0,6,0.395698
14.0,14,0.398239
13.0,13,0.400461
4.0,4,0.401162
4.0,4,0.401868
5.0,5,0.402745
