rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss
7.65,0,1,2048,7.65,4515,,,,,,,,,,,
10.19,1,2,4096,10.19,2913,0.0001304149627685547,-1.3970668748021127,2.562638759613037,0.019371752,0.2,-0.021612901949265507,0.9545564651489258,10,0.172509765625,0.0003,13.02467526718974
15.79,2,3,6144,15.79,2681,0.14954841136932373,-1.3397498808801174,4.754187107086182,0.02495503,0.2,-0.03179458608210552,0.8985257744789124,20,0.1953125,0.0003,13.09841300547123
23.26,3,4,8192,23.26,2523,0.139043390750885,-1.2920749984681605,13.343159675598145,0.022807123,0.2,-0.02991068071423797,0.8648617267608643,30,0.20166015625,0.0003,25.036651885509492
31.25,4,5,10240,31.25,2464,0.10869467258453369,-1.2593152556568383,23.917156219482422,0.009999363,0.2,-0.02148499414179241,0.840985894203186,40,0.1177734375,0.0003,43.02529618144035
40.88,5,6,12288,40.88,2382,0.15842342376708984,-1.2362570535391568,18.226900100708008,0.0077302977,0.2,-0.01769626254681498,0.8242467641830444,50,0.101513671875,0.0003,51.09986676573753
50.59,6,7,14336,50.59,2359,0.4762495160102844,-1.2213166572153569,23.105762481689453,0.0077544213,0.2,-0.012301067571388557,0.8165631294250488,60,0.07216796875,0.0003,40.747744315862654
60.83,6,8,16384,60.83,2344,0.584778904914856,-1.2055370509624481,28.023578643798828,0.014181435,0.2,-0.016727198447915724,0.7992724776268005,70,0.118212890625,0.0003,47.20497488975525
69.97,7,9,18432,69.97,2334,0.7554932236671448,-1.1858477737754582,15.23080825805664,0.00931257,0.2,-0.0075563109130598605,0.7834612131118774,80,0.074609375,0.0003,35.77051059007645
80.86,8,10,20480,80.86,2330,0.9040298461914062,-1.1786108519881964,3.661728858947754,0.006840218,0.2,-0.009874083925387822,0.7905150055885315,90,0.097021484375,0.0003,16.690449430048467
91.24,9,11,22528,91.24,2328,0.9135479927062988,-1.1749535884708167,6.004513740539551,0.010751058,0.2,-0.01244116461602971,0.7777446508407593,100,0.1068359375,0.0003,19.48607732206583
106.33,10,12,24576,106.33,2310,0.9185664057731628,-1.1731834910809993,4.5534796714782715,0.0079494845,0.2,-0.008649030012020376,0.7862260341644287,110,0.097216796875,0.0003,20.898649778962135
119.64,11,13,26624,119.64,2307,0.9336386919021606,-1.178433495014906,5.305515289306641,0.008939339,0.2,-0.0087538331412361,0.7875901460647583,120,0.079638671875,0.0003,18.140121260285376
134.54,12,14,28672,134.54,2297,0.9565188884735107,-1.173405320569873,4.612758636474609,0.011342899,0.2,-0.01738847837841604,0.7747369408607483,130,0.12490234375,0.0003,13.249413852393626
153.01,13,15,30720,153.01,2293,0.957970142364502,-1.1574130348861218,5.277318954467773,0.011048923,0.2,-0.01701229583559325,0.7663965821266174,140,0.1166015625,0.0003,12.800932320952416
