#{"t_start": 1760012980.476043, "env_id": "InvertedPendulum-v4"}
r,l,t
8.0,8,0.901943
5.0,5,0.903542
6.0,6,0.905214
4.0,4,0.907169
10.0,10,0.910975
6.0,6,0.912372
9.0,9,0.914176
7.0,7,0.915757
12.0,12,0.918664
5.0,5,0.91977
6.0,6,0.92099
4.0,4,0.921993
7.0,7,0.9234
7.0,7,0.924776
5.0,5,0.925988
4.0,4,0.92722
10.0,10,0.929274
5.0,5,0.930259
5.0,5,0.931233
10.0,10,0.933471
11.0,11,0.936199
9.0,9,0.938171
10.0,10,0.940139
10.0,10,0.942471
11.0,11,0.944647
13.0,13,0.947192
5.0,5,0.94816
12.0,12,0.950644
15.0,15,0.95351
11.0,11,0.955562
6.0,6,0.956706
5.0,5,0.957868
12.0,12,0.960131
5.0,5,0.9611
5.0,5,0.962042
20.0,20,0.965729
6.0,6,0.966875
4.0,4,0.967918
11.0,11,0.970063
10.0,10,0.971923
9.0,9,0.973616
6.0,6,0.97493
3.0,3,0.975529
3.0,3,0.976115
4.0,4,0.976881
7.0,7,0.978183
8.0,8,0.979657
4.0,4,0.980419
26.0,26,0.985394
5.0,5,0.986417
7.0,7,0.987724
11.0,11,0.98974
12.0,12,0.992201
7.0,7,0.993543
4.0,4,0.994331
8.0,8,0.995807
10.0,10,0.997631
3.0,3,0.998205
5.0,5,0.999365
8.0,8,1.004776
4.0,4,1.006089
5.0,5,1.007155
7.0,7,1.008509
22.0,22,1.012553
6.0,6,1.013951
8.0,8,1.015634
4.0,4,1.01641
8.0,8,1.017897
9.0,9,1.019585
5.0,5,1.020515
5.0,5,1.021448
15.0,15,1.024663
16.0,16,1.027618
6.0,6,1.028731
6.0,6,1.029854
7.0,7,1.031149
6.0,6,1.032264
7.0,7,1.033807
5.0,5,1.034861
8.0,8,1.036383
12.0,12,1.038577
6.0,6,1.039697
5.0,5,1.040836
6.0,6,1.041979
16.0,16,1.045036
8.0,8,1.046528
6.0,6,1.04764
9.0,9,1.049457
5.0,5,1.050428
7.0,7,1.051723
5.0,5,1.052681
6.0,6,1.053894
14.0,14,1.056522
7.0,7,1.058187
7.0,7,1.059544
5.0,5,1.060519
17.0,17,1.063673
5.0,5,1.064622
9.0,9,1.066508
8.0,8,1.068015
4.0,4,1.068786
6.0,6,1.069898
5.0,5,1.070842
5.0,5,1.071772
8.0,8,1.073238
11.0,11,1.075446
5.0,5,1.076411
5.0,5,1.077366
11.0,11,1.079376
16.0,16,1.082296
4.0,4,1.083099
25.0,25,1.087923
7.0,7,1.08926
6.0,6,1.090573
15.0,15,1.093373
10.0,10,1.095337
4.0,4,1.096113
5.0,5,1.097044
5.0,5,1.097998
10.0,10,1.100027
