#{"t_start": 1760014505.040697, "env_id": "InvertedPendulum-v4"}
r,l,t
8.0,8,0.02784
5.0,5,0.029302
6.0,6,0.030617
4.0,4,0.031394
10.0,10,0.035261
6.0,6,0.037048
9.0,9,0.038745
7.0,7,0.040078
12.0,12,0.043466
5.0,5,0.04452
6.0,6,0.045648
4.0,4,0.047082
7.0,7,0.04913
7.0,7,0.050963
5.0,5,0.051968
4.0,4,0.052739
10.0,10,0.054683
5.0,5,0.055672
5.0,5,0.056617
10.0,10,0.058686
11.0,11,0.060703
9.0,9,0.063128
10.0,10,0.065017
10.0,10,0.067229
11.0,11,0.07138
13.0,13,0.074152
5.0,5,0.075877
12.0,12,0.07902
15.0,15,0.084221
11.0,11,0.138868
6.0,6,0.140643
5.0,5,0.142057
12.0,12,0.150008
5.0,5,0.153696
5.0,5,0.157468
20.0,20,0.162198
6.0,6,0.163726
4.0,4,0.164637
11.0,11,0.166947
10.0,10,0.168774
9.0,9,0.170541
6.0,6,0.171711
3.0,3,0.172311
3.0,3,0.172892
4.0,4,0.17367
7.0,7,0.174954
8.0,8,0.177147
4.0,4,0.177918
26.0,26,0.182792
5.0,5,0.183781
7.0,7,0.18507
11.0,11,0.187478
12.0,12,0.189663
7.0,7,0.190954
4.0,4,0.1917
8.0,8,0.193164
10.0,10,0.195015
3.0,3,0.195839
5.0,5,0.197459
8.0,8,0.198955
4.0,4,0.199749
5.0,5,0.20068
7.0,7,0.201969
22.0,22,0.206549
6.0,6,0.208022
8.0,8,0.209549
4.0,4,0.210333
8.0,8,0.211815
9.0,9,0.21391
5.0,5,0.21505
5.0,5,0.215993
15.0,15,0.219394
16.0,16,0.222443
6.0,6,0.223577
6.0,6,0.224689
7.0,7,0.225981
6.0,6,0.22745
7.0,7,0.228825
5.0,5,0.229795
8.0,8,0.231263
12.0,12,0.233432
6.0,6,0.234533
5.0,5,0.235494
6.0,6,0.236833
16.0,16,0.239749
8.0,8,0.24124
6.0,6,0.242351
9.0,9,0.248192
5.0,5,0.250256
7.0,7,0.252391
5.0,5,0.254033
6.0,6,0.255584
14.0,14,0.258715
7.0,7,0.260197
7.0,7,0.261637
5.0,5,0.262815
17.0,17,0.267058
5.0,5,0.2684
9.0,9,0.270325
8.0,8,0.272314
4.0,4,0.273387
6.0,6,0.274579
5.0,5,0.275519
5.0,5,0.276481
8.0,8,0.278513
11.0,11,0.28066
5.0,5,0.281629
5.0,5,0.282566
11.0,11,0.28455
16.0,16,0.287721
4.0,4,0.288674
25.0,25,0.293394
7.0,7,0.294683
6.0,6,0.296186
15.0,15,0.299216
10.0,10,0.30134
4.0,4,0.302126
5.0,5,0.303378
5.0,5,0.304413
10.0,10,0.306441
5.0,5,0.307452
5.0,5,0.308526
6.0,6,0.309989
5.0,5,0.310939
5.0,5,0.312023
4.0,4,0.312852
5.0,5,0.313811
8.0,8,0.315311
5.0,5,0.316244
3.0,3,0.316823
4.0,4,0.317574
3.0,3,0.318148
5.0,5,0.319397
10.0,10,0.321427
7.0,7,0.322735
5.0,5,0.323686
6.0,6,0.324784
10.0,10,0.326621
6.0,6,0.327723
6.0,6,0.328827
6.0,6,0.33034
8.0,8,0.332123
15.0,15,0.335023
7.0,7,0.336433
8.0,8,0.338001
8.0,8,0.33947
4.0,4,0.340255
4.0,4,0.34101
7.0,7,0.342291
5.0,5,0.343215
9.0,9,0.344846
7.0,7,0.346157
13.0,13,0.348555
5.0,5,0.349472
7.0,7,0.355649
18.0,18,0.361367
7.0,7,0.363184
17.0,17,0.367259
19.0,19,0.370788
11.0,11,0.373735
7.0,7,0.375225
6.0,6,0.376393
7.0,7,0.377802
6.0,6,0.379113
7.0,7,0.380454
6.0,6,0.381563
6.0,6,0.382679
8.0,8,0.384133
8.0,8,0.386225
7.0,7,0.387882
7.0,7,0.389425
11.0,11,0.391455
7.0,7,0.392739
8.0,8,0.394272
9.0,9,0.396236
5.0,5,0.397187
6.0,6,0.398298
6.0,6,0.399405
3.0,3,0.399975
12.0,12,0.402158
6.0,6,0.403261
7.0,7,0.404606
14.0,14,0.407909
13.0,13,0.410322
5.0,5,0.411256
5.0,5,0.412249
8.0,8,0.413731
15.0,15,0.417029
5.0,5,0.418138
6.0,6,0.419299
4.0,4,0.420154
5.0,5,0.421126
10.0,10,0.422966
5.0,5,0.423928
6.0,6,0.425371
5.0,5,0.426714
6.0,6,0.427874
7.0,7,0.429373
10.0,10,0.431195
8.0,8,0.432666
9.0,9,0.434294
7.0,7,0.436008
9.0,9,0.437931
7.0,7,0.439247
5.0,5,0.440199
7.0,7,0.441497
7.0,7,0.442828
6.0,6,0.443975
8.0,8,0.445879
