#{"t_start": 1760093640.137256, "env_id": "InvertedPendulum-v5"}
r,l,t
7.0,8,0.021381
4.0,5,0.022389
5.0,6,0.023643
3.0,4,0.024532
9.0,10,0.026413
5.0,6,0.027544
8.0,9,0.029241
6.0,7,0.030969
11.0,12,0.033752
4.0,5,0.034724
5.0,6,0.035846
3.0,4,0.036597
6.0,7,0.037912
6.0,7,0.039201
4.0,5,0.040401
3.0,4,0.041255
9.0,10,0.043256
4.0,5,0.044199
4.0,5,0.045123
9.0,10,0.046992
10.0,11,0.050177
8.0,9,0.054485
9.0,10,0.058702
9.0,10,0.080016
10.0,11,0.082199
12.0,13,0.086736
4.0,5,0.089465
11.0,12,0.092463
14.0,15,0.095314
10.0,11,0.097426
5.0,6,0.098574
4.0,5,0.099527
11.0,12,0.101779
4.0,5,0.102847
4.0,5,0.104095
19.0,20,0.107999
5.0,6,0.109126
3.0,4,0.109896
10.0,11,0.111892
9.0,10,0.114139
8.0,9,0.115861
5.0,6,0.117003
2.0,3,0.117588
2.0,3,0.118164
3.0,4,0.119004
6.0,7,0.124054
7.0,8,0.126477
3.0,4,0.127339
25.0,26,0.132201
4.0,5,0.133171
6.0,7,0.134472
10.0,11,0.136733
11.0,12,0.138984
6.0,7,0.140282
3.0,4,0.141037
7.0,8,0.142503
9.0,10,0.144334
2.0,3,0.144903
4.0,5,0.146075
7.0,8,0.147616
3.0,4,0.148375
4.0,5,0.149321
6.0,7,0.150608
21.0,22,0.154734
5.0,6,0.155861
7.0,8,0.157323
3.0,4,0.158072
7.0,8,0.159545
8.0,9,0.161194
4.0,5,0.162167
4.0,5,0.163145
14.0,15,0.165901
15.0,16,0.169011
5.0,6,0.170225
5.0,6,0.171357
6.0,7,0.172641
5.0,6,0.173757
6.0,7,0.175046
4.0,5,0.175981
7.0,8,0.177452
11.0,12,0.179823
5.0,6,0.181044
4.0,5,0.181982
5.0,6,0.183106
15.0,16,0.186219
7.0,8,0.187716
5.0,6,0.188834
8.0,9,0.190472
4.0,5,0.191417
6.0,7,0.192729
4.0,5,0.193665
5.0,6,0.194786
13.0,14,0.197343
6.0,7,0.1987
6.0,7,0.20004
4.0,5,0.200984
16.0,17,0.20418
4.0,5,0.205157
8.0,9,0.206809
7.0,8,0.208278
3.0,4,0.209032
5.0,6,0.21017
4.0,5,0.211104
4.0,5,0.212031
7.0,8,0.213501
10.0,11,0.215553
4.0,5,0.216499
4.0,5,0.217442
10.0,11,0.219589
15.0,16,0.22255
3.0,4,0.223321
24.0,25,0.232214
6.0,7,0.23376
5.0,6,0.234937
14.0,15,0.237871
9.0,10,0.239821
3.0,4,0.24077
4.0,5,0.241745
4.0,5,0.242822
9.0,10,0.244744
4.0,5,0.245697
4.0,5,0.246667
5.0,6,0.247796
4.0,5,0.248734
