#{"t_start": 1760096920.583015, "env_id": "InvertedPendulum-v5"}
r,l,t
7.0,8,0.013315
4.0,5,0.014351
5.0,6,0.015518
3.0,4,0.016336
9.0,10,0.01825
5.0,6,0.019413
8.0,9,0.021125
6.0,7,0.022918
11.0,12,0.025564
4.0,5,0.026586
5.0,6,0.027768
3.0,4,0.028548
6.0,7,0.029886
6.0,7,0.031216
4.0,5,0.032392
3.0,4,0.033304
9.0,10,0.035207
4.0,5,0.036175
4.0,5,0.037138
9.0,10,0.039039
10.0,11,0.043493
8.0,9,0.046181
9.0,10,0.048124
9.0,10,0.050001
10.0,11,0.052039
12.0,13,0.054486
4.0,5,0.055956
11.0,12,0.058262
14.0,15,0.061067
10.0,11,0.063133
5.0,6,0.0643
4.0,5,0.065261
11.0,12,0.067838
4.0,5,0.068837
4.0,5,0.069805
19.0,20,0.07357
5.0,6,0.074738
3.0,4,0.075515
10.0,11,0.077883
9.0,10,0.079803
8.0,9,0.081465
5.0,6,0.082717
2.0,3,0.083328
2.0,3,0.083928
3.0,4,0.084704
6.0,7,0.086099
7.0,8,0.087844
3.0,4,0.088612
25.0,26,0.093525
4.0,5,0.094497
6.0,7,0.095836
10.0,11,0.098132
11.0,12,0.100509
6.0,7,0.101859
3.0,4,0.102646
7.0,8,0.104172
9.0,10,0.106052
2.0,3,0.106845
4.0,5,0.107816
7.0,8,0.112033
3.0,4,0.113627
4.0,5,0.115026
6.0,7,0.116433
21.0,22,0.120528
5.0,6,0.121675
7.0,8,0.12349
3.0,4,0.124313
7.0,8,0.125921
8.0,9,0.127607
4.0,5,0.128541
4.0,5,0.129473
14.0,15,0.132191
15.0,16,0.135375
5.0,6,0.136514
5.0,6,0.137634
6.0,7,0.138946
5.0,6,0.140076
6.0,7,0.141396
4.0,5,0.142344
7.0,8,0.144021
11.0,12,0.14622
5.0,6,0.147319
4.0,5,0.148238
5.0,6,0.149344
15.0,16,0.152479
7.0,8,0.154203
5.0,6,0.15535
8.0,9,0.157001
4.0,5,0.15793
6.0,7,0.159217
4.0,5,0.160161
5.0,6,0.161311
13.0,14,0.163882
6.0,7,0.165191
6.0,7,0.166686
4.0,5,0.16774
16.0,17,0.170939
4.0,5,0.1719
8.0,9,0.173602
7.0,8,0.175106
3.0,4,0.175877
5.0,6,0.177009
4.0,5,0.17796
4.0,5,0.178953
7.0,8,0.180728
10.0,11,0.18312
4.0,5,0.184247
4.0,5,0.185212
10.0,11,0.187291
15.0,16,0.190268
3.0,4,0.191042
24.0,25,0.195739
6.0,7,0.197071
5.0,6,0.198259
14.0,15,0.201186
9.0,10,0.203171
3.0,4,0.203958
