#{"t_start": 1760362491.992909, "env_id": "InvertedPendulum-v5"}
r,l,t
1000.0,1000,0.192757
1000.0,1000,0.329152
1000.0,1000,0.467371
1000.0,1000,0.605353
1000.0,1000,0.741421
1000.0,1000,0.878157
1000.0,1000,1.012947
1000.0,1000,1.188678
1000.0,1000,1.325969
1000.0,1000,1.460687
1000.0,1000,1.597633
1000.0,1000,1.733409
1000.0,1000,1.870002
1000.0,1000,2.007158
1000.0,1000,2.144125
1000.0,1000,2.278261
1000.0,1000,2.414051
1000.0,1000,2.548085
1000.0,1000,2.683122
1000.0,1000,2.81854
1000.0,1000,2.953192
1000.0,1000,3.088793
1000.0,1000,3.22496
1000.0,1000,3.361344
1000.0,1000,3.497189
1000.0,1000,3.639876
1000.0,1000,3.77348
1000.0,1000,3.908397
1000.0,1000,4.044943
1000.0,1000,4.182058
1000.0,1000,4.318448
1000.0,1000,4.45435
1000.0,1000,4.605474
1000.0,1000,4.743514
1000.0,1000,4.891354
1000.0,1000,5.084826
1000.0,1000,5.232991
1000.0,1000,5.42498
1000.0,1000,5.587856
1000.0,1000,5.75981
1000.0,1000,5.919384
1000.0,1000,6.067039
1000.0,1000,6.20751
1000.0,1000,6.343885
1000.0,1000,6.480216
1000.0,1000,6.61756
1000.0,1000,6.757887
1000.0,1000,6.902268
1000.0,1000,7.040329
1000.0,1000,7.179583
1000.0,1000,7.315467
1000.0,1000,7.450646
1000.0,1000,7.584579
1000.0,1000,7.718802
1000.0,1000,7.854863
1000.0,1000,7.990801
1000.0,1000,8.129516
1000.0,1000,8.267151
1000.0,1000,8.403069
1000.0,1000,8.539705
1000.0,1000,8.675875
1000.0,1000,8.825331
1000.0,1000,8.974051
1000.0,1000,9.113838
1000.0,1000,9.257623
1000.0,1000,9.393256
1000.0,1000,9.527263
1000.0,1000,9.660895
1000.0,1000,9.797481
1000.0,1000,9.932768
1000.0,1000,10.06686
1000.0,1000,10.203261
1000.0,1000,10.33673
1000.0,1000,10.471658
1000.0,1000,10.605316
1000.0,1000,10.767921
1000.0,1000,10.926325
1000.0,1000,11.061799
1000.0,1000,11.197984
1000.0,1000,11.335198
1000.0,1000,11.470392
1000.0,1000,11.605736
1000.0,1000,11.740431
1000.0,1000,11.875298
1000.0,1000,12.010282
1000.0,1000,12.145415
1000.0,1000,12.280583
1000.0,1000,12.416529
1000.0,1000,12.551709
1000.0,1000,12.686679
1000.0,1000,12.823409
1000.0,1000,12.958531
1000.0,1000,13.093591
1000.0,1000,13.233252
1000.0,1000,13.39431
1000.0,1000,13.530856
1000.0,1000,13.666333
1000.0,1000,13.801723
1000.0,1000,13.938663
1000.0,1000,14.074836
