#{"t_start": 1760363696.198942, "env_id": "InvertedPendulum-v5"}
r,l,t
1000.0,1000,0.246273
1000.0,1000,0.397021
1000.0,1000,0.546633
1000.0,1000,0.699956
1000.0,1000,0.848848
1000.0,1000,1.000858
1000.0,1000,1.145086
1000.0,1000,1.291827
1000.0,1000,1.435192
1000.0,1000,1.580097
1000.0,1000,1.726777
1000.0,1000,1.872082
1000.0,1000,2.022026
1000.0,1000,2.16713
1000.0,1000,2.311298
1000.0,1000,2.459709
1000.0,1000,2.605418
1000.0,1000,2.75106
1000.0,1000,2.899612
1000.0,1000,3.043812
1000.0,1000,3.187544
1000.0,1000,3.359516
1000.0,1000,3.510221
1000.0,1000,3.650951
1000.0,1000,3.790703
1000.0,1000,3.9363
1000.0,1000,4.078623
1000.0,1000,4.22687
1000.0,1000,4.375086
1000.0,1000,4.524521
1000.0,1000,4.676727
1000.0,1000,4.826068
1000.0,1000,4.974954
1000.0,1000,5.135224
1000.0,1000,5.296297
1000.0,1000,5.456168
1000.0,1000,5.640041
1000.0,1000,5.79069
1000.0,1000,6.029757
1000.0,1000,6.187864
1000.0,1000,6.358913
1000.0,1000,6.516681
1000.0,1000,6.676286
1000.0,1000,6.83486
1000.0,1000,6.998496
1000.0,1000,7.160537
1000.0,1000,7.365137
1000.0,1000,7.525655
1000.0,1000,7.69484
1000.0,1000,7.854793
1000.0,1000,8.008765
1000.0,1000,8.160096
1000.0,1000,8.310023
1000.0,1000,8.459401
1000.0,1000,8.605557
1000.0,1000,8.750677
1000.0,1000,8.90203
1000.0,1000,9.047466
1000.0,1000,9.194166
1000.0,1000,9.348342
1000.0,1000,9.491301
1000.0,1000,9.639386
1000.0,1000,9.792163
1000.0,1000,9.94157
1000.0,1000,10.086539
1000.0,1000,10.232357
1000.0,1000,10.378703
1000.0,1000,10.558765
1000.0,1000,10.70415
1000.0,1000,10.847631
1000.0,1000,10.992199
1000.0,1000,11.136141
1000.0,1000,11.286514
1000.0,1000,11.432032
1000.0,1000,11.577315
1000.0,1000,11.721843
1000.0,1000,11.868786
1000.0,1000,12.015404
1000.0,1000,12.166649
1000.0,1000,12.316632
1000.0,1000,12.468562
1000.0,1000,12.618787
1000.0,1000,12.769432
1000.0,1000,12.947975
1000.0,1000,13.125358
1000.0,1000,13.274952
1000.0,1000,13.428156
1000.0,1000,13.618799
1000.0,1000,13.769336
1000.0,1000,13.920171
1000.0,1000,14.07497
1000.0,1000,14.22363
1000.0,1000,14.374779
1000.0,1000,14.521588
1000.0,1000,14.66876
1000.0,1000,14.816802
1000.0,1000,14.965459
1000.0,1000,15.112026
1000.0,1000,15.262492
1000.0,1000,15.408156
