#{"t_start": 1759868844.610005, "env_id": "Pendulum-v1"}
r,l,t
-1187.130154,200,0.121689
-1422.615037,200,0.15873
-1335.627029,200,0.198749
-1171.456551,200,0.234765
-1530.832107,200,0.274121
-1045.341394,200,0.310876
-818.517844,200,0.347137
-1068.398466,200,0.386493
-856.264022,200,0.423347
-1472.643774,200,0.458849
-1170.326333,200,1.096844
-1728.769433,200,1.137556
-961.70647,200,1.173616
-856.89659,200,1.2093
-1361.129392,200,1.248535
-887.145983,200,1.283737
-743.817996,200,1.319192
-776.159421,200,1.358063
-1228.540869,200,1.393185
-1263.031061,200,1.432121
-870.663336,200,1.95669
-970.114387,200,1.992808
-1377.351808,200,2.028447
-974.79424,200,2.066861
-968.941404,200,2.102464
-1348.837516,200,2.291395
-1270.044564,200,2.32675
-1131.926497,200,2.362248
-952.247461,200,2.401533
-1346.740999,200,2.437005
-984.780062,200,3.009131
-1033.427491,200,3.045082
-951.013215,200,3.080284
-1012.827511,200,3.119638
-1645.269944,200,3.15507
-1127.303495,200,3.190584
-1377.942544,200,3.229633
-1357.260756,200,3.26534
-1071.343111,200,3.300923
-876.483569,200,3.340132
-1097.006162,200,3.864805
-1288.351542,200,3.900641
-1661.276043,200,3.965532
-1347.626483,200,4.001512
-1319.607545,200,4.036665
-1471.387596,200,4.076101
-903.839401,200,4.111623
-1176.984952,200,4.147306
-1065.94345,200,4.186422
-1476.752682,200,4.22187
-1655.345058,200,4.411329
-972.887745,200,4.938892
-967.397076,200,4.974381
-902.332743,200,5.009603
-1490.807891,200,5.049134
-1035.582282,200,5.084051
-1017.088998,200,5.123522
-1111.927884,200,5.159351
-1080.132388,200,5.195053
-918.548102,200,5.234173
-895.109845,200,5.269762
-1562.1651,200,5.802214
-1624.908857,200,5.838228
-923.765205,200,5.877064
-1483.113187,200,5.91244
-1268.474765,200,5.948476
-882.8469,200,5.987932
-894.635259,200,6.023273
-1643.754871,200,6.058778
-1077.647691,200,6.098045
-754.430777,200,6.133946
-1448.800379,200,6.664643
-938.270848,200,6.700365
-1186.548591,200,6.741257
-911.268606,200,6.7772
-1410.084063,200,6.98847
-1562.98893,200,7.027633
-1570.482616,200,7.064461
-1111.887738,200,7.09971
-1261.870969,200,7.1386
-1524.180557,200,7.174663
-1277.153256,200,7.702466
-767.664176,200,7.738075
-1374.13571,200,7.777579
-966.595365,200,7.81353
-1076.977584,200,7.848955
-1244.847362,200,7.888198
-1298.366505,200,7.923447
-742.231443,200,7.959047
-1541.965609,200,7.998091
-1463.104153,200,8.033252
-753.052803,200,8.06884
-1273.706042,200,8.6234
-905.827922,200,8.659106
-1075.343284,200,8.695205
-1702.642849,200,8.733696
-1306.649954,200,8.76942
-1307.483333,200,8.804638
-967.183596,200,8.843467
-1183.618805,200,8.879218
-1015.698115,200,9.071717
-918.622879,200,9.107531
-1738.419099,200,9.634143
-1397.412094,200,9.676187
-1251.937455,200,9.712118
-884.348823,200,9.747696
-1227.356959,200,9.787034
-980.246137,200,9.822317
-1325.672587,200,9.85754
-1450.932984,200,9.896075
-1179.798888,200,9.931017
-876.767793,200,9.966049
-965.54408,200,10.493378
-1770.111541,200,10.532708
-753.035256,200,10.568182
-1350.576634,200,10.603826
-1779.372025,200,10.643167
-1556.030888,200,10.679117
-768.052487,200,10.717408
-1648.219276,200,10.753433
-1352.282659,200,10.788598
-1302.163324,200,10.827243
-861.9022,200,11.374626
-963.632163,200,11.410918
-1024.366144,200,11.445911
-862.573669,200,11.628996
-1023.614679,200,11.668005
-1163.745136,200,11.703753
-1197.234222,200,11.739315
-1506.333782,200,11.778106
-1210.96082,200,11.81431
-1047.40121,200,11.849141
-1512.817754,200,11.88832
-1135.602068,200,12.42048
-1514.295683,200,12.456842
-1384.374434,200,12.491899
-1388.037135,200,12.531055
-1046.669786,200,12.566183
-1040.554453,200,12.601099
-1471.901265,200,12.640149
-1666.652465,200,12.697169
-1050.147212,200,12.736073
-1006.13763,200,12.771692
-1641.255909,200,13.295612
-774.922896,200,13.33135
-1219.498086,200,13.370954
-1523.131519,200,13.406026
-1207.504917,200,13.441499
-1666.007132,200,13.481369
-1190.493215,200,13.517154
-1127.686906,200,13.700669
-861.824138,200,13.736256
-1275.995302,200,13.771622
-986.768268,200,14.299319
-971.134176,200,14.339215
-981.656071,200,14.374726
-1122.521523,200,14.413137
-994.336883,200,14.448836
-899.428076,200,14.484371
-1017.688674,200,14.52245
-1572.647713,200,14.558404
-927.278872,200,14.593841
-1334.618339,200,14.63259
-1085.453277,200,15.159717
-1043.804795,200,15.195422
-1114.723852,200,15.230678
-990.942453,200,15.269406
-1284.102938,200,15.305087
-1509.268019,200,15.340485
-1300.758427,200,15.379687
-1112.872518,200,15.415883
-1371.768238,200,15.451256
-976.770792,200,15.490053
-1506.596502,200,15.52608
-1051.684105,200,16.076548
-1062.433836,200,16.260018
-951.261778,200,16.295105
-921.008071,200,16.334141
-1096.771182,200,16.370314
-1044.894231,200,16.405827
-1595.334245,200,16.444024
-1304.546246,200,16.479954
-948.25442,200,16.51515
-1110.285073,200,16.554892
-1021.395714,200,17.103366
-1112.15858,200,17.138958
-1033.851127,200,17.178549
-1117.037424,200,17.213941
-1489.460264,200,17.249455
-1035.952463,200,17.288428
-1070.810686,200,17.323488
-1098.969736,200,17.358547
-791.370919,200,17.39754
-1037.549224,200,17.432833
-1009.590137,200,17.954492
-1032.395475,200,17.989927
-1067.821488,200,18.029633
-1644.782337,200,18.064908
-1175.205616,200,18.099728
-896.804549,200,18.13881
-1021.067346,200,18.324804
-1095.870059,200,18.363778
-1628.049616,200,18.39986
-1007.896795,200,18.438617
-1271.557297,200,18.967041
-1024.426465,200,19.002842
-1469.567215,200,19.038955
-1560.403373,200,19.077673
-1124.563385,200,19.113634
-1104.164575,200,19.14905
-1008.082326,200,19.188033
-1404.169875,200,19.223734
-1192.757172,200,19.25895
-1074.608294,200,19.29748
-1320.195446,200,19.333082
-1288.048096,200,19.880215
-1077.508391,200,19.919043
-1397.942559,200,19.955223
-1236.705167,200,19.990905
-984.821382,200,20.029468
-1116.971778,200,20.06492
-1020.780727,200,20.100803
-1104.455994,200,20.139918
-1419.583954,200,20.174913
-1449.756371,200,20.20979
-1479.352756,200,20.885671
-934.64465,200,20.921618
-1258.858365,200,20.956472
-1500.79656,200,20.995437
-1077.7426,200,21.030617
-1034.764741,200,21.069362
-1260.366867,200,21.105753
-1055.765916,200,21.140987
-965.895251,200,21.179366
-1104.843449,200,21.214671
-910.522612,200,21.739497
-1105.781374,200,21.77527
-1001.99536,200,21.813775
-904.17617,200,21.849698
-1033.063549,200,21.88538
-864.393748,200,21.924257
-830.802991,200,21.959822
-1458.223732,200,21.995704
-894.524042,200,22.033824
-897.151861,200,22.069447
-929.28836,200,22.624291
-871.523692,200,22.663326
-1227.71178,200,22.698933
-767.199401,200,22.73437
-895.477735,200,22.772819
-1172.819248,200,22.95763
-1457.4092,200,22.995895
-904.76664,200,23.031692
-968.795643,200,23.067384
-785.841539,200,23.106066
-1442.428686,200,23.141386
-1237.50653,200,23.663922
-1097.957132,200,23.699658
-974.785126,200,23.738121
-1452.586479,200,23.773622
-1361.967158,200,23.808913
-1259.959073,200,23.847796
