time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/std,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,5489,0,2048,200.0,-1190.8826377999999,,,,,,,,,,,,,
2,3463,1,4096,200.0,-1144.3174963000001,-0.002291180410247762,-1.4113397173583508,0.0003,8748.601782226562,0.0036137225,10,0.9880203604698181,0.2,4132.3212890625,0.0232421875,0.008196055889129639,,
,,,5000,,,-0.0012422732172126417,-1.3981007482856511,0.0003,6994.148213195801,0.0020371857,20,0.971548855304718,0.2,3024.361572265625,0.004541015625,0.19428658485412598,200.0,-952.7996423672419
3,2864,2,6144,200.0,-1136.6004046,,,,,,,,,,,,,
4,2671,3,8192,200.0,-1138.3915958999999,-0.00447088315122528,-1.3882449105381967,0.0003,7012.878254699707,0.005477583,30,0.9658660292625427,0.2,3094.134765625,0.0376953125,0.07235896587371826,,
,,,10000,,,-0.003686397736601066,-1.3791803151369095,0.0003,7326.250978088379,0.00601751,40,0.9566751718521118,0.2,3456.409423828125,0.04697265625,0.019009888172149658,200.0,-1129.7958990991115
5,2537,4,10240,200.0,-1176.4663676470589,,,,,,,,,,,,,
6,2529,4,12288,200.0,-1153.960650885246,-0.0020177215163130315,-1.370478281751275,0.0003,9678.673538208008,0.0035149497,50,0.9477978944778442,0.2,4174.3212890625,0.02216796875,0.0032986998558044434,,
7,2509,5,14336,200.0,-1162.0752438873242,-0.002026771067176014,-1.3554626774042844,0.0003,5957.870834350586,0.0024323247,60,0.9310227632522583,0.2,2868.864990234375,0.0162109375,0.005700409412384033,,
,,,15000,,,-0.0018790525733493268,-1.3480595648288727,0.0003,7968.647538757325,0.0032331068,70,0.9313514232635498,0.2,4053.170166015625,0.013330078125,0.0017861723899841309,200.0,-1444.1457950711251
8,2403,6,16384,200.0,-1178.1941433703705,,,,,,,,,,,,,
9,2348,7,18432,200.0,-1173.2589084673914,-0.0016044202144257723,-1.3354164902120829,0.0003,8344.034005737305,0.0021364454,80,0.9103946685791016,0.2,4275.45166015625,0.00380859375,0.0009325146675109863,,
,,,20000,,,-0.0016290983723592945,-1.326398118957877,0.0003,6568.353671264648,0.0021630062,90,0.9114343523979187,0.2,2819.54833984375,0.013134765625,0.0014824271202087402,200.0,-1091.647383671254
10,2275,8,20480,200.0,-1169.8685116700003,,,,,,,,,,,,,
11,2261,9,22528,200.0,-1171.01567033,-0.0015224949849653058,-1.3183842971920967,0.0003,6835.915591430664,0.0025109416,100,0.8967462182044983,0.2,3517.845458984375,0.006201171875,0.0008701086044311523,,
12,2249,10,24576,200.0,-1204.2774969799998,-0.0017443039425415919,-1.3022399548441173,0.0003,6766.826254272461,0.0023641724,110,0.8853296637535095,0.2,2935.7294921875,0.0208984375,0.0007029175758361816,,
,,,25000,,,-0.0024148857715772464,-1.2908754106611013,0.0003,8619.299111938477,0.0025192648,120,0.8729645013809204,0.2,4277.68798828125,0.015380859375,0.0005638003349304199,200.0,-1174.0660946823657
13,2200,12,26624,200.0,-1204.6222622,,,,,,,,,,,,,
14,2181,13,28672,200.0,-1206.5153367399998,-0.0006486032230895944,-1.2818907782435418,0.0003,5896.67322845459,0.0011284151,130,0.8709481954574585,0.2,2562.359130859375,0.006884765625,0.0005168318748474121,,
,,,30000,,,-0.0006288540906098205,-1.2797121424227953,0.0003,7381.888314819336,0.0019603916,140,0.868961751461029,0.2,3231.389892578125,0.006591796875,0.0002613663673400879,200.0,-1083.9543927703053
