#{"t_start": 1759874055.293201, "env_id": "Pendulum-v1"}
r,l,t
-1187.130154,200,0.049519
-1422.615037,200,0.083792
-1335.627029,200,0.121348
-1171.456551,200,0.155407
-1530.832107,200,0.189719
-1045.341394,200,0.225814
-818.517844,200,0.259916
-1068.398466,200,0.293946
-856.264022,200,0.330102
-1472.643774,200,0.363801
-1170.326333,200,0.847882
-1728.769433,200,0.885458
-961.70647,200,0.919317
-856.89659,200,0.953284
-1361.129392,200,0.989839
-887.145983,200,1.024018
-743.817996,200,1.058957
-776.159421,200,1.095659
-1228.540869,200,1.129769
-1263.031061,200,1.163157
-870.663336,200,1.649805
-970.114387,200,1.683791
-1377.351808,200,1.720601
-974.79424,200,1.75447
-968.941404,200,1.788632
-1348.837516,200,1.972417
-1270.044564,200,2.008899
-1131.926497,200,2.046525
-952.247461,200,2.080226
-1346.740999,200,2.114102
-984.780062,200,2.635788
-1033.427491,200,2.673862
-951.013215,200,2.709705
-1012.827511,200,2.745803
-1645.269944,200,2.783843
-1127.303495,200,2.819498
-1377.942544,200,2.855668
-1357.260756,200,2.899836
-1071.343111,200,2.944344
-876.483569,200,3.030247
-1097.006162,200,3.532536
-1288.351542,200,3.566235
-1661.276043,200,3.600577
-1347.626483,200,3.638241
-1319.607545,200,3.674559
-1471.387596,200,3.708981
-903.839401,200,3.747223
-1176.984952,200,3.781064
-1065.94345,200,3.815103
-1476.752682,200,3.853137
-1655.345058,200,4.027361
-972.887745,200,4.524504
-967.397076,200,4.55915
-902.332743,200,4.596988
-1490.807891,200,4.630911
-1035.582282,200,4.665465
-1017.088998,200,4.703283
-1111.927884,200,4.737162
-1080.132388,200,4.771163
-918.548102,200,4.808251
-895.109845,200,4.842409
-1562.1651,200,5.369596
-1624.908857,200,5.403941
-923.765205,200,5.440502
-1483.113187,200,5.475538
-1268.474765,200,5.509864
-882.8469,200,5.54408
-894.635259,200,5.581454
-1643.754871,200,5.615757
-1077.647691,200,5.650255
-754.430777,200,5.687848
-1448.800379,200,6.183326
-938.270848,200,6.220484
-1186.548591,200,6.25414
-911.268606,200,6.288227
-1410.084063,200,6.580645
-1562.98893,200,6.618674
-1570.482616,200,6.657918
-1111.887738,200,6.700703
-1261.870969,200,6.738756
-1524.180557,200,6.781293
