#{"t_start": 1759916179.7760909, "env_id": "Pendulum-v1"}
r,l,t
-1187.130154,200,0.079447
-1422.615037,200,0.110932
-1335.627029,200,0.142244
-1171.456551,200,0.172855
-1530.832107,200,0.203727
-1045.341394,200,0.234551
-818.517844,200,0.264923
-1068.398466,200,0.295192
-856.264022,200,0.327596
-1472.643774,200,0.358186
-1170.326333,200,0.81746
-1728.769433,200,0.849491
-961.70647,200,0.879525
-856.89659,200,0.909833
-1361.129392,200,0.941157
-887.145983,200,0.971563
-743.817996,200,1.001864
-776.159421,200,1.032873
-1228.540869,200,1.063557
-1263.031061,200,1.093771
-870.663336,200,1.5409
-970.114387,200,1.57107
-1377.351808,200,1.60137
-974.79424,200,1.630956
-968.941404,200,1.66079
-1348.837516,200,1.819032
-1270.044564,200,1.849301
-1131.926497,200,1.879541
-952.247461,200,1.909669
-1346.740999,200,1.939559
-984.780062,200,2.385998
-1033.427491,200,2.419534
-951.013215,200,2.450718
-1012.827511,200,2.482097
-1645.269944,200,2.512424
-1127.303495,200,2.54256
-1377.942544,200,2.57452
-1357.260756,200,2.6048
-1071.343111,200,2.63482
-876.483569,200,2.665785
-1097.006162,200,3.103451
-1288.351542,200,3.135362
-1661.276043,200,3.165425
-1347.626483,200,3.195673
-1319.607545,200,3.227064
-1471.387596,200,3.25721
-903.839401,200,3.287297
-1176.984952,200,3.317261
-1065.94345,200,3.347264
-1476.752682,200,3.378224
-1655.345058,200,3.534682
-972.887745,200,4.033172
-967.397076,200,4.063405
-902.332743,200,4.094803
-1490.807891,200,4.124794
-1035.582282,200,4.154664
-1017.088998,200,4.184785
-1111.927884,200,4.214597
-1080.132388,200,4.245531
-918.548102,200,4.276153
-895.109845,200,4.306075
-1562.1651,200,4.752418
-1624.908857,200,4.782881
-923.765205,200,4.812722
-1483.113187,200,4.842854
-1268.474765,200,4.872457
-882.8469,200,4.902097
-894.635259,200,4.932085
-1643.754871,200,4.962102
-1077.647691,200,4.991918
-754.430777,200,5.021664
-1448.800379,200,5.463561
-938.270848,200,5.495178
-1186.548591,200,5.525382
-911.268606,200,5.555547
-1410.084063,200,5.713054
-1562.98893,200,5.743156
-1570.482616,200,5.773006
-1111.887738,200,5.804502
-1261.870969,200,5.834498
-1524.180557,200,5.86442
-1277.153256,200,6.312344
-767.664176,200,6.342834
-1374.13571,200,6.373194
-966.595365,200,6.403179
-1076.977584,200,6.433448
-1244.847362,200,6.464292
-1298.366505,200,6.494997
-742.231443,200,6.524969
-1541.965609,200,6.554677
-1463.104153,200,6.584447
-753.052803,200,6.614947
-1273.706042,200,7.058779
-905.827922,200,7.08886
-1075.343284,200,7.118838
-1702.642849,200,7.148528
-1306.649954,200,7.179251
-1307.483333,200,7.209481
-967.183596,200,7.239604
-1183.618805,200,7.269554
-1015.698115,200,7.433038
