time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/policy_gradient_loss,train/std,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/learning_rate,train/value_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
1,5857,2048,200.0,0,-1190.8826377999999,,,,,,,,,,,,,
2,3744,4096,200.0,1,-1144.3174963000001,0.0232421875,-0.002291180410247762,0.9880203604698181,0.0036137225,0.008196055889129639,4132.3212890625,0.2,-1.4113397173583508,0.0003,8748.601782226562,10,,
,,5000,,,,0.004541015625,-0.0012422732172126417,0.971548855304718,0.0020371857,0.19428658485412598,3024.361572265625,0.2,-1.3981007482856511,0.0003,6994.148213195801,20,-1159.0883697154,200.0
3,3104,6144,200.0,1,-1136.6004046,,,,,,,,,,,,,
4,2976,8192,200.0,2,-1138.3915958999999,0.0376953125,-0.00447088315122528,0.9658660292625427,0.005477583,0.07235896587371826,3094.134765625,0.2,-1.3882449105381967,0.0003,7012.878254699707,30,,
,,10000,,,,0.04697265625,-0.003686397736601066,0.9566751718521118,0.00601751,0.019009888172149658,3456.409423828125,0.2,-1.3791803151369095,0.0003,7326.250978088379,40,-1443.2918325915932,200.0
5,2818,10240,200.0,3,-1176.4663676470589,,,,,,,,,,,,,
6,2817,12288,200.0,4,-1153.960650885246,0.02216796875,-0.0020177215163130315,0.9477978944778442,0.0035149497,0.0032986998558044434,4174.3212890625,0.2,-1.370478281751275,0.0003,9678.673538208008,50,,
7,2804,14336,200.0,5,-1162.0752438873242,0.0162109375,-0.002026771067176014,0.9310227632522583,0.0024323247,0.005700409412384033,2868.864990234375,0.2,-1.3554626774042844,0.0003,5957.870834350586,60,,
,,15000,,,,0.013330078125,-0.0018790525733493268,0.9313514232635498,0.0032331068,0.0017861723899841309,4053.170166015625,0.2,-1.3480595648288727,0.0003,7968.647538757325,70,-1115.2326105713844,200.0
8,2748,16384,200.0,5,-1178.1941433703705,,,,,,,,,,,,,
9,2750,18432,200.0,6,-1173.2589084673914,0.00380859375,-0.0016044202144257723,0.9103946685791016,0.0021364454,0.0009325146675109863,4275.45166015625,0.2,-1.3354164902120829,0.0003,8344.034005737305,80,,
,,20000,,,,0.013134765625,-0.0016290983723592945,0.9114343523979187,0.0021630062,0.0014824271202087402,2819.54833984375,0.2,-1.326398118957877,0.0003,6568.353671264648,90,-1060.5070528699084,200.0
10,2707,20480,200.0,7,-1169.8685116700003,,,,,,,,,,,,,
11,2714,22528,200.0,8,-1171.01567033,0.006201171875,-0.0015224949849653058,0.8967462182044983,0.0025109416,0.0008701086044311523,3517.845458984375,0.2,-1.3183842971920967,0.0003,6835.915591430664,100,,
12,2719,24576,200.0,9,-1204.2774969799998,0.0208984375,-0.0017443039425415919,0.8853296637535095,0.0023641724,0.0007029175758361816,2935.7294921875,0.2,-1.3022399548441173,0.0003,6766.826254272461,110,,
