#{"t_start": 1759917240.1001291, "env_id": "Pendulum-v1"}
r,l,t
-1187.130154,200,0.081002
-1422.615037,200,0.114657
-1335.627029,200,0.148265
-1171.456551,200,0.181557
-1530.832107,200,0.214023
-1045.341394,200,0.244596
-818.517844,200,0.275328
-1068.398466,200,0.30627
-856.264022,200,0.342055
-1472.643774,200,0.376379
-1170.326333,200,0.835282
-1728.769433,200,0.86622
-961.70647,200,0.89747
-856.89659,200,0.928241
-1361.129392,200,0.959011
-887.145983,200,0.990064
-743.817996,200,1.021016
-776.159421,200,1.051726
-1228.540869,200,1.082836
-1263.031061,200,1.113451
-870.663336,200,1.566116
-970.114387,200,1.59772
-1377.351808,200,1.628882
-974.79424,200,1.660506
-968.941404,200,1.69169
-1348.837516,200,1.856502
-1270.044564,200,1.888107
-1131.926497,200,1.919537
-952.247461,200,1.950611
-1346.740999,200,1.989322
-984.780062,200,2.467454
-1033.427491,200,2.50069
-951.013215,200,2.532575
-1012.827511,200,2.565311
-1645.269944,200,2.596961
-1127.303495,200,2.630212
-1377.942544,200,2.661552
-1357.260756,200,2.693419
-1071.343111,200,2.725289
-876.483569,200,2.75607
-1097.006162,200,3.210655
-1288.351542,200,3.243549
-1661.276043,200,3.276674
-1347.626483,200,3.307833
-1319.607545,200,3.339178
-1471.387596,200,3.371842
-903.839401,200,3.402973
-1176.984952,200,3.434968
-1065.94345,200,3.466997
-1476.752682,200,3.499709
-1655.345058,200,3.659562
-972.887745,200,4.097406
-967.397076,200,4.128167
-902.332743,200,4.158873
-1490.807891,200,4.18937
-1035.582282,200,4.22047
-1017.088998,200,4.251032
-1111.927884,200,4.28267
-1080.132388,200,4.316481
-918.548102,200,4.349154
-895.109845,200,4.380984
-1562.1651,200,4.846423
-1624.908857,200,4.878238
-923.765205,200,4.909673
-1483.113187,200,4.940894
-1268.474765,200,4.971354
-882.8469,200,5.002158
-894.635259,200,5.033151
-1643.754871,200,5.063577
-1077.647691,200,5.094252
-754.430777,200,5.125242
-1448.800379,200,5.55847
-938.270848,200,5.589499
-1186.548591,200,5.620558
-911.268606,200,5.651196
-1410.084063,200,5.811854
-1562.98893,200,5.842933
-1570.482616,200,5.873962
-1111.887738,200,5.904525
-1261.870969,200,5.93555
-1524.180557,200,5.966354
-1277.153256,200,6.416243
-767.664176,200,6.448318
