rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/std,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
200.0,1,2048,0,6078,-1190.8826377999999,,,,,,,,,,,,,
200.0,2,4096,1,3772,-1144.3174963000001,0.2,4132.3212890625,0.0036137225,0.0232421875,-0.002291180410247762,8748.601782226562,0.0003,10,0.008196055889129639,0.9880203604698181,-1.4113397173583508,,
,,5000,,,,0.2,3024.361572265625,0.0020371857,0.004541015625,-0.0012422732172126417,6994.148213195801,0.0003,20,0.19428658485412598,0.971548855304718,-1.3981007482856511,200.0,-1053.3973287612666
200.0,3,6144,1,3149,-1136.6004046,,,,,,,,,,,,,
200.0,4,8192,2,3043,-1138.3915958999999,0.2,3094.134765625,0.005477583,0.0376953125,-0.00447088315122528,7012.878254699707,0.0003,30,0.07235896587371826,0.9658660292625427,-1.3882449105381967,,
,,10000,,,,0.2,3456.409423828125,0.00601751,0.04697265625,-0.003686397736601066,7326.250978088379,0.0003,40,0.019009888172149658,0.9566751718521118,-1.3791803151369095,200.0,-1160.7430750459432
200.0,5,10240,3,2884,-1176.4663676470589,,,,,,,,,,,,,
200.0,6,12288,4,2877,-1153.960650885246,0.2,4174.3212890625,0.0035149497,0.02216796875,-0.0020177215163130315,9678.673538208008,0.0003,50,0.0032986998558044434,0.9477978944778442,-1.370478281751275,,
200.0,7,14336,5,2863,-1162.0752438873242,0.2,2868.864990234375,0.0024323247,0.0162109375,-0.002026771067176014,5957.870834350586,0.0003,60,0.005700409412384033,0.9310227632522583,-1.3554626774042844,,
,,15000,,,,0.2,4053.170166015625,0.0032331068,0.013330078125,-0.0018790525733493268,7968.647538757325,0.0003,70,0.0017861723899841309,0.9313514232635498,-1.3480595648288727,200.0,-1042.2152056295424
200.0,8,16384,5,2787,-1178.1941433703705,,,,,,,,,,,,,
200.0,9,18432,6,2789,-1173.2589084673914,0.2,4275.45166015625,0.0021364454,0.00380859375,-0.0016044202144257723,8344.034005737305,0.0003,80,0.0009325146675109863,0.9103946685791016,-1.3354164902120829,,
,,20000,,,,0.2,2819.54833984375,0.0021630062,0.013134765625,-0.0016290983723592945,6568.353671264648,0.0003,90,0.0014824271202087402,0.9114343523979187,-1.326398118957877,200.0,-1191.7121812548953
200.0,10,20480,7,2741,-1169.8685116700003,,,,,,,,,,,,,
200.0,11,22528,8,2744,-1171.01567033,0.2,3517.845458984375,0.0025109416,0.006201171875,-0.0015224949849653058,6835.915591430664,0.0003,100,0.0008701086044311523,0.8967462182044983,-1.3183842971920967,,
200.0,12,24576,8,2746,-1204.2774969799998,0.2,2935.7294921875,0.0023641724,0.0208984375,-0.0017443039425415919,6766.826254272461,0.0003,110,0.0007029175758361816,0.8853296637535095,-1.3022399548441173,,
,,25000,,,,0.2,4277.68798828125,0.0025192648,0.015380859375,-0.0024148857715772464,8619.299111938477,0.0003,120,0.0005638003349304199,0.8729645013809204,-1.2908754106611013,200.0,-1163.287436747551
200.0,13,26624,9,2716,-1204.6222622,,,,,,,,,,,,,
200.0,14,28672,10,2721,-1206.5153367399998,0.2,2562.359130859375,0.0011284151,0.006884765625,-0.0006486032230895944,5896.67322845459,0.0003,130,0.0005168318748474121,0.8709481954574585,-1.2818907782435418,,
,,30000,,,,0.2,3231.389892578125,0.0019603916,0.006591796875,-0.0006288540906098205,7381.888314819336,0.0003,140,0.0002613663673400879,0.868961751461029,-1.2797121424227953,200.0,-1071.6879126850515
200.0,15,30720,11,2696,-1207.8208170599999,,,,,,,,,,,,,
200.0,16,32768,12,2704,-1199.5155621099998,0.2,3034.06689453125,0.004491655,0.033837890625,-0.0038127831227029673,6577.233386230469,0.0003,150,0.0003161430358886719,0.871161937713623,-1.2782661698758602,,
