#{"t_start": 1759918536.161463, "env_id": "Pendulum-v1"}
r,l,t
-1187.130154,200,0.089166
-1422.615037,200,0.121698
-1335.627029,200,0.152974
-1171.456551,200,0.184429
-1530.832107,200,0.216164
-1045.341394,200,0.247517
-818.517844,200,0.278649
-1068.398466,200,0.309801
-856.264022,200,0.341923
-1472.643774,200,0.373394
-1170.326333,200,0.833994
-1728.769433,200,0.864902
-961.70647,200,0.895332
-856.89659,200,0.926368
-1361.129392,200,0.957358
-887.145983,200,0.989066
-743.817996,200,1.02063
-776.159421,200,1.051886
-1228.540869,200,1.083488
-1263.031061,200,1.114995
-870.663336,200,1.562151
-970.114387,200,1.592964
-1377.351808,200,1.623715
-974.79424,200,1.654035
-968.941404,200,1.684223
-1348.837516,200,1.848185
-1270.044564,200,1.87865
-1131.926497,200,1.909832
-952.247461,200,1.941211
-1346.740999,200,1.972419
-984.780062,200,2.427495
-1033.427491,200,2.458739
-951.013215,200,2.490039
-1012.827511,200,2.521169
-1645.269944,200,2.551938
-1127.303495,200,2.583119
-1377.942544,200,2.613808
-1357.260756,200,2.644682
-1071.343111,200,2.675532
-876.483569,200,2.706545
-1097.006162,200,3.155514
-1288.351542,200,3.18639
-1661.276043,200,3.217139
-1347.626483,200,3.248226
-1319.607545,200,3.278421
-1471.387596,200,3.309096
-903.839401,200,3.339603
-1176.984952,200,3.370357
-1065.94345,200,3.401607
-1476.752682,200,3.432575
-1655.345058,200,3.588741
-972.887745,200,4.026648
-967.397076,200,4.057213
-902.332743,200,4.087364
-1490.807891,200,4.11745
-1035.582282,200,4.148329
-1017.088998,200,4.179252
-1111.927884,200,4.209861
-1080.132388,200,4.240466
-918.548102,200,4.270751
-895.109845,200,4.301392
-1562.1651,200,4.749768
-1624.908857,200,4.781588
-923.765205,200,4.812995
-1483.113187,200,4.844246
-1268.474765,200,4.875188
-882.8469,200,4.906143
-894.635259,200,4.937156
-1643.754871,200,4.968356
-1077.647691,200,4.99939
-754.430777,200,5.030735
-1448.800379,200,5.48073
-938.270848,200,5.512107
-1186.548591,200,5.543268
-911.268606,200,5.574722
-1410.084063,200,5.737335
-1562.98893,200,5.76884
-1570.482616,200,5.799641
-1111.887738,200,5.830396
-1261.870969,200,5.861463
-1524.180557,200,5.892308
-1277.153256,200,6.340412
-767.664176,200,6.371424
-1374.13571,200,6.401814
-966.595365,200,6.432696
-1076.977584,200,6.463018
-1244.847362,200,6.493635
-1298.366505,200,6.52436
-742.231443,200,6.555268
-1541.965609,200,6.585648
-1463.104153,200,6.615684
-753.052803,200,6.6467
-1273.706042,200,7.090874
-905.827922,200,7.121558
-1075.343284,200,7.151916
-1702.642849,200,7.182657
-1306.649954,200,7.213073
-1307.483333,200,7.244026
-967.183596,200,7.274892
-1183.618805,200,7.305667
-1015.698115,200,7.469985
-918.622879,200,7.50157
-1738.419099,200,7.949472
-1397.412094,200,7.981197
-1251.937455,200,8.013589
-884.348823,200,8.044647
-1227.356959,200,8.075587
-980.246137,200,8.106942
-1325.672587,200,8.138141
-1450.932984,200,8.169351
-1179.798888,200,8.201336
-876.767793,200,8.232961
-965.54408,200,8.685344
-1770.111541,200,8.716296
-753.035256,200,8.747634
-1350.576634,200,8.778136
-1779.372025,200,8.809221
-1556.030888,200,8.839922
-768.052487,200,8.870581
-1648.219276,200,8.902169
-1352.282659,200,8.932829
-1302.163324,200,8.963873
-861.9022,200,9.406728
-963.632163,200,9.438443
-1024.366144,200,9.470106
-862.573669,200,9.628671
-1023.614679,200,9.659308
-1163.745136,200,9.690161
-1197.234222,200,9.721099
-1506.333782,200,9.751533
-1210.96082,200,9.78211
-1047.40121,200,9.812492
-1512.817754,200,9.842775
-1135.602068,200,10.288438
-1514.295683,200,10.320284
-1384.374434,200,10.351468
-1388.037135,200,10.38286
-1046.669786,200,10.413732
-1040.554453,200,10.444591
-1471.901265,200,10.475856
-1666.652465,200,10.506678
-1050.147212,200,10.538288
-1006.13763,200,10.569357
-1641.255909,200,11.017263
-774.922896,200,11.047853
-1219.498086,200,11.078893
-1523.131519,200,11.109189
-1207.504917,200,11.139899
-1666.007132,200,11.170024
-1190.493215,200,11.201621
-1127.686906,200,11.359309
-861.824138,200,11.390115
-1275.995302,200,11.420563
-986.768268,200,11.857852
-971.134176,200,11.888631
-981.656071,200,11.91879
-1122.521523,200,11.950473
-994.336883,200,11.98143
-899.428076,200,12.01205
-1017.688674,200,12.042826
-1572.647713,200,12.073154
-927.278872,200,12.104313
-1334.618339,200,12.13508
-1085.453277,200,12.580912
-1043.804795,200,12.611719
-1114.723852,200,12.642075
-990.942453,200,12.672945
-1284.102938,200,12.70349
-1509.268019,200,12.734496
-1300.758427,200,12.765068
-1112.872518,200,12.795377
-1371.768238,200,12.825769
-976.770792,200,12.856237
-1506.596502,200,12.886527
-1051.684105,200,13.335399
-1062.433836,200,13.497416
-951.261778,200,13.528121
-921.008071,200,13.559492
-1096.771182,200,13.590589
-1044.894231,200,13.622241
-1595.334245,200,13.653151
-1304.546246,200,13.684967
-948.25442,200,13.716555
-1110.285073,200,13.748351
-1021.395714,200,14.199956
-1112.15858,200,14.230918
-1033.851127,200,14.261891
-1117.037424,200,14.292912
-1489.460264,200,14.324221
-1035.952463,200,14.354824
-1070.810686,200,14.385555
-1098.969736,200,14.416311
-791.370919,200,14.447154
-1037.549224,200,14.477913
-1009.590137,200,14.920929
-1032.395475,200,14.951803
-1067.821488,200,14.983329
-1644.782337,200,15.014728
-1175.205616,200,15.046471
-896.804549,200,15.077357
-1021.067346,200,15.24172
-1095.870059,200,15.273148
-1628.049616,200,15.303788
-1007.896795,200,15.334551
-1271.557297,200,15.782517
-1024.426465,200,15.814202
-1469.567215,200,15.845551
-1560.403373,200,15.876801
-1124.563385,200,15.907852
-1104.164575,200,15.939063
-1008.082326,200,15.970441
-1404.169875,200,16.001406
-1192.757172,200,16.032582
-1074.608294,200,16.063345
-1320.195446,200,16.095253
-1288.048096,200,16.544956
-1077.508391,200,16.575933
-1397.942559,200,16.606719
-1236.705167,200,16.638211
-984.821382,200,16.669268
-1116.971778,200,16.700565
-1020.780727,200,16.73205
-1104.455994,200,16.763524
-1419.583954,200,16.794633
-1449.756371,200,16.825702
-1479.352756,200,17.404952
-934.64465,200,17.435664
-1258.858365,200,17.466358
-1500.79656,200,17.497423
-1077.7426,200,17.528674
-1034.764741,200,17.559614
-1260.366867,200,17.590142
-1055.765916,200,17.621326
-965.895251,200,17.652109
-1104.843449,200,17.682849
-910.522612,200,18.12852
-1105.781374,200,18.159436
