#{"t_start": 1765900060.4922266, "env_id": "Reacher-v4"}
r,l,t
-63.909298,50,0.364094
-58.008277,50,0.399752
-59.023068,50,0.445707
-64.418353,50,0.494526
-62.034492,50,0.536797
-62.059847,50,0.568797
-69.574987,50,0.600578
-57.304811,50,0.632218
-65.363429,50,0.663899
-61.179354,50,0.695574
-61.661156,50,0.727344
-61.234133,50,0.761217
-56.14942,50,0.795523
-57.709575,50,0.829702
-60.890382,50,0.861229
-54.952402,50,0.892728
-64.877464,50,0.924917
-56.445153,50,0.959928
-59.760826,50,0.994676
-67.967155,50,1.027761
-66.409444,50,1.061777
-60.861416,50,1.093919
-63.43911,50,1.128587
-56.446202,50,1.160578
-63.974578,50,1.193025
-63.356852,50,1.227178
-60.282709,50,1.260462
-58.08787,50,1.293239
-56.282245,50,1.337163
-65.053469,50,1.369757
-63.517194,50,1.414774
-53.671204,50,1.461754
-52.582672,50,1.522173
-60.060094,50,1.563975
-58.979176,50,1.61619
-62.642503,50,1.656972
-63.451952,50,1.720505
-66.316285,50,1.792644
-64.773577,50,1.860827
-56.732533,50,1.934229
-66.17669,50,2.847269
-67.286177,50,2.923199
-60.3206,50,2.992346
-68.139282,50,3.061054
-63.056347,50,3.130432
-54.942236,50,3.20266
-60.786747,50,3.270957
-56.310009,50,3.341418
-55.349323,50,3.411409
-62.602429,50,3.483339
-59.155289,50,3.553572
-64.488156,50,3.625429
-64.817008,50,3.693322
-56.961438,50,3.761687
-56.729329,50,3.831491
-69.251454,50,3.903073
-64.060008,50,3.972433
-62.987333,50,4.043948
-66.304199,50,4.113525
-58.672295,50,4.181889
-57.827929,50,4.253275
-56.303092,50,4.323143
-64.910765,50,4.39309
-59.265986,50,4.461673
-57.110506,50,4.533007
-58.569896,50,4.603948
-58.752536,50,4.672776
-61.702666,50,4.74227
-55.578813,50,4.811126
-52.490913,50,4.88256
-59.760996,50,4.952319
-56.383181,50,5.022135
-67.21977,50,5.090163
-60.123764,50,5.163182
-56.862698,50,5.216794
-63.162781,50,5.253958
-59.734846,50,5.287941
-64.852248,50,5.320459
-57.205134,50,5.352756
-67.038794,50,5.387704
-61.091415,50,5.457212
-58.540961,50,6.376918
-55.758269,50,6.45124
-52.809923,50,6.523591
-62.728253,50,6.597014
-58.962146,50,6.665585
-59.648704,50,6.73535
-58.379025,50,6.807914
-60.123293,50,6.875494
-66.785631,50,6.946671
-55.044762,50,7.017695
-57.304932,50,7.088681
-61.799851,50,7.157655
-64.735583,50,7.22611
-59.766921,50,7.29533
-54.225582,50,7.36236
-59.051252,50,7.430664
-65.318146,50,7.50065
-49.719298,50,7.569158
-56.936147,50,7.640341
-62.296909,50,7.709306
-63.0623,50,7.77667
-50.661618,50,7.844052
-61.405122,50,7.913615
-54.284768,50,7.981076
-46.960429,50,8.049803
-59.013654,50,8.11727
-55.340567,50,8.185661
-62.922865,50,8.255954
-59.363786,50,8.323422
-66.256463,50,8.391707
-56.093427,50,8.460403
-54.672614,50,8.531305
-67.445627,50,8.599591
-55.828765,50,8.66698
-53.097178,50,8.733756
-64.578102,50,8.802592
-64.282834,50,8.871743
-53.074914,50,8.940432
-64.234415,50,9.009919
-55.471474,50,9.078301
-64.300652,50,9.145292
-54.128209,50,9.655167
-50.718332,50,9.697369
-58.76545,50,9.729684
-47.372976,50,9.765824
-47.471496,50,9.798927
-56.003169,50,9.835057
-47.035866,50,9.868578
-57.27877,50,9.91222
-45.866005,50,9.956441
-56.315287,50,9.990262
-52.637168,50,10.031626
-50.236168,50,10.06718
-57.368468,50,10.101852
-49.086137,50,10.140474
-50.890406,50,10.174964
-51.235165,50,10.208945
-49.041519,50,10.253488
-54.43987,50,10.289771
-63.971904,50,10.323671
-48.905287,50,10.355954
-56.341075,50,10.387002
-61.776568,50,10.427019
-56.424375,50,10.462224
-50.924058,50,10.49443
-56.733316,50,10.52834
-48.158737,50,10.563385
-49.482433,50,10.598336
-54.663253,50,10.634259
-50.173969,50,10.671197
-58.446593,50,10.710131
-60.988772,50,10.752772
-53.659465,50,10.812148
-58.584588,50,10.861711
-60.501151,50,10.91805
-54.010434,50,10.959531
-55.96784,50,10.998646
-54.798382,50,11.047679
-51.310908,50,11.094612
-51.458948,50,11.151281
-57.193583,50,11.205286
-54.64923,50,11.258282
-54.597488,50,11.708443
-49.299317,50,11.770535
-53.785888,50,11.82106
-52.529548,50,11.868248
-47.498976,50,11.906037
-50.331318,50,11.945655
-43.160805,50,11.989869
-52.937822,50,12.044759
-60.199975,50,12.097328
-54.470637,50,12.137128
-52.049615,50,12.187279
-54.030874,50,12.230767
-55.573469,50,12.274409
-54.014663,50,12.320038
-58.409601,50,12.370419
-54.204875,50,12.410511
-51.583383,50,12.463461
-49.396556,50,12.513181
-58.552986,50,12.566798
-48.401418,50,12.609767
-45.255342,50,12.658745
-53.910938,50,12.706944
-50.0134,50,12.755269
-62.873356,50,12.79203
-54.800437,50,12.842185
-43.43098,50,12.875146
-53.127126,50,12.918136
-57.298644,50,12.950683
-46.388603,50,12.989064
-59.610439,50,13.035514
-40.22121,50,13.076794
-51.083126,50,13.109761
-51.927675,50,13.149664
-51.597304,50,13.198506
-53.024481,50,13.245551
-53.666462,50,13.278733
-50.210247,50,13.319627
-56.036741,50,13.379599
-55.775719,50,13.423238
-56.414004,50,13.472235
-52.24565,50,13.508017
-52.098145,50,13.961898
-48.20308,50,14.008194
-46.95379,50,14.051277
-51.090692,50,14.102614
-52.65483,50,14.146112
-49.809478,50,14.179867
-51.129395,50,14.21796
-47.086952,50,14.254876
-46.227883,50,14.287826
-49.04925,50,14.331989
-60.745503,50,14.367787
-43.856054,50,14.414927
-51.6863,50,14.457702
-50.605301,50,14.50771
-54.860173,50,14.555242
-53.881322,50,14.609889
-42.418304,50,14.667849
-54.789531,50,14.709499
-53.467979,50,14.760822
-50.145626,50,14.815586
-55.33634,50,14.86861
-53.139959,50,14.912344
-50.443419,50,14.977723
-47.379462,50,15.036272
-52.338292,50,15.088165
-50.039984,50,15.136681
-52.490463,50,15.192916
-52.124233,50,15.235739
-44.96299,50,15.271316
-61.484071,50,15.306309
-48.503298,50,15.34903
-50.593376,50,15.401207
-38.739502,50,15.447874
-56.972383,50,15.502768
-47.03406,50,15.540245
-55.907648,50,15.578897
-53.163873,50,15.629874
-49.064286,50,15.676245
-59.900658,50,15.729634
-53.266985,50,15.784084
-41.506238,50,15.832562
-52.641541,50,16.326698
-51.497012,50,16.385428
-49.68051,50,16.443438
-47.39966,50,16.504607
-52.838181,50,16.56326
-51.240298,50,16.615367
-50.685282,50,16.670108
-45.03041,50,16.718815
-52.802384,50,16.769244
-39.071198,50,16.812954
-49.256792,50,16.863922
-59.677203,50,16.907894
-50.272952,50,16.961299
-52.347026,50,16.996845
-42.161496,50,17.04352
-42.793281,50,17.086739
-52.031138,50,17.123078
-52.306811,50,17.156929
-41.226398,50,17.193354
-51.294314,50,17.237825
-57.122463,50,17.285977
-51.908177,50,17.334206
-52.372877,50,17.385
-42.082438,50,17.441697
-53.340288,50,17.505629
-48.198314,50,17.559726
-48.938326,50,17.611909
-50.158186,50,17.668432
-51.236638,50,17.723817
-44.890537,50,17.77983
-44.187731,50,17.835238
-47.327756,50,17.891044
-50.992517,50,17.941881
-47.073899,50,17.992794
-47.885222,50,18.032461
-55.275214,50,18.083385
-55.112153,50,18.121196
-49.495377,50,18.165926
-46.960809,50,18.217227
-48.13033,50,18.261954
-52.047594,50,18.316275
-47.151611,50,18.794589
-48.051268,50,18.848969
-40.996745,50,18.902164
-44.816059,50,18.956797
-43.790234,50,19.004083
-47.60628,50,19.063741
-48.940394,50,19.117194
-39.474041,50,19.170696
-37.795178,50,19.218009
-43.040176,50,19.258888
-51.515156,50,19.295726
-40.901669,50,19.35052
-44.776526,50,19.405785
-43.614983,50,19.461416
-46.27148,50,19.517088
-44.91202,50,19.57058
-51.648201,50,19.62725
-38.82094,50,19.686803
-46.299043,50,19.740457
-46.17624,50,19.799744
-58.109006,50,19.860439
-47.516365,50,19.916632
-43.816994,50,19.967743
-48.029542,50,20.028617
-57.029899,50,20.077249
-46.538874,50,20.133118
-45.084386,50,20.178553
-45.927118,50,20.222903
-49.39722,50,20.264931
-42.202898,50,20.309611
-47.44601,50,20.359957
-44.32371,50,20.413072
-44.463435,50,20.467577
-49.154733,50,20.53294
-44.908894,50,20.587421
-47.210528,50,20.646091
-48.728022,50,20.709061
-44.611134,50,20.765989
-46.335357,50,20.801724
-49.94341,50,20.850174
-42.128341,50,20.892343
-41.82822,50,21.345051
-41.149685,50,21.410955
-46.384835,50,21.467948
-48.08805,50,21.526391
-45.203889,50,21.584664
-49.699273,50,21.64955
-35.700102,50,21.703177
-42.748412,50,21.758556
-46.831976,50,21.811677
-46.036593,50,21.865319
-43.413095,50,21.921921
-43.695728,50,21.972694
-47.328343,50,22.03015
-43.136608,50,22.074543
-41.771627,50,22.117456
-41.515923,50,22.161032
-50.038094,50,22.21035
-37.100769,50,22.256207
-50.179473,50,22.291096
-39.244073,50,22.33823
-34.875219,50,22.395587
-40.823669,50,22.45377
-38.061276,50,22.510416
-45.952574,50,22.565255
-48.80531,50,22.630778
-47.041729,50,22.682879
-44.019664,50,22.743208
-53.166988,50,22.78509
-48.098583,50,22.830042
-36.959202,50,22.886885
-42.76472,50,22.939321
-52.609487,50,22.986933
-37.098929,50,23.028865
-48.284738,50,23.086356
-52.452758,50,23.139825
-39.246148,50,23.190653
-33.204485,50,23.226439
-43.495099,50,23.277024
-36.209823,50,23.338591
-38.965187,50,23.393125
-34.608153,50,23.45541
-37.349026,50,23.926279
-41.697427,50,23.986472
-44.071795,50,24.035995
-41.559585,50,24.092991
-43.804597,50,24.144066
-41.860079,50,24.191219
-43.245711,50,24.235627
-38.909446,50,24.281966
-37.941141,50,24.337418
-36.347257,50,24.395387
-44.856592,50,24.453027
-40.689521,50,24.510115
-43.801741,50,24.566096
-37.080561,50,24.619333
-43.953928,50,24.676834
-43.639568,50,24.722237
-42.799877,50,24.764373
-37.884995,50,24.818892
-38.613869,50,24.86096
-34.770919,50,24.907815
-36.706602,50,24.957079
-37.571364,50,25.010058
-44.594024,50,25.061701
-44.278493,50,25.104563
-35.402653,50,25.160704
