#{"t_start": 1765900839.0277417, "env_id": "Reacher-v4"}
r,l,t
-57.799184,50,0.094561
-56.680666,50,0.138858
-59.067103,50,0.183305
-56.792335,50,0.227692
-58.52287,50,0.271042
-59.848044,50,0.313584
-68.534624,50,0.354914
-63.463064,50,0.400009
-55.16259,50,0.44538
-57.344456,50,0.492624
-59.682899,50,0.539738
-68.536405,50,0.585022
-65.901077,50,0.629173
-58.094506,50,0.673191
-59.755497,50,0.726278
-61.707657,50,0.776675
-62.282789,50,0.820504
-55.532612,50,0.864029
-69.15131,50,0.908657
-52.364176,50,0.950267
-53.149511,50,0.994195
-55.997332,50,1.042486
-67.429271,50,1.088903
-65.779202,50,1.134012
-57.376473,50,1.180397
-63.583577,50,1.225529
-57.962936,50,1.269147
-52.83788,50,1.311712
-66.57728,50,1.356305
-62.513862,50,1.41453
-63.363563,50,1.457973
-57.688413,50,1.50453
-68.79956,50,1.549168
-51.012452,50,1.593976
-68.695649,50,1.637045
-64.08264,50,1.679477
-54.536121,50,1.753968
-58.829048,50,1.805839
-56.356483,50,1.861075
-66.644805,50,1.91233
-65.491788,50,9.244871
-56.744925,50,9.331302
-58.490387,50,9.401096
-56.433367,50,9.468145
-56.231122,50,9.530957
-58.794743,50,9.599066
-57.906443,50,9.660378
-63.910447,50,9.720903
-56.546483,50,9.799368
-58.38327,50,9.870183
-60.345777,50,9.938032
-54.613197,50,10.001613
-67.382092,50,10.059721
-57.313607,50,10.130317
-61.798881,50,10.195018
-62.744353,50,10.263624
-49.425322,50,10.327934
-53.709199,50,10.384903
-50.660805,50,10.438686
-54.401924,50,10.494823
-47.653764,50,10.549908
-59.567903,50,10.613429
-61.614459,50,10.672664
-64.834102,50,10.730813
-50.983186,50,10.78318
-57.885787,50,10.848056
-59.797923,50,10.904584
-59.458028,50,10.972483
-63.486186,50,11.02157
-49.82069,50,11.080271
-59.249029,50,11.130135
-56.956726,50,11.193859
-62.115442,50,11.247054
-62.257017,50,11.30421
-63.997956,50,11.380839
-58.551811,50,11.460128
-63.451076,50,11.536527
-67.126137,50,11.61595
-74.478961,50,11.689005
-57.913335,50,11.75856
-59.606915,50,11.826973
-71.290468,50,18.944723
-68.180527,50,19.011845
-56.868849,50,19.082776
-63.647014,50,19.165351
-54.669907,50,19.250304
-48.434982,50,19.321073
-53.878886,50,19.40534
-56.628651,50,19.476433
-60.939583,50,19.560189
-54.681063,50,19.645807
-54.520875,50,19.717868
-56.144289,50,19.787674
-55.606254,50,19.839225
-58.35981,50,19.894547
-61.193151,50,19.959238
-62.101514,50,20.041003
-66.698426,50,20.11666
-53.077817,50,20.182726
-54.950247,50,20.2566
-56.072691,50,20.339942
-60.216547,50,20.410166
-58.80766,50,20.47615
-57.38288,50,20.545386
-58.379792,50,20.62422
-48.969146,50,20.695359
-56.707907,50,20.762222
-56.341139,50,20.836272
-52.126416,50,20.897807
-56.059505,50,20.967555
-54.969538,50,21.046568
-55.323235,50,21.107539
-56.522422,50,21.163523
-58.953443,50,21.231906
-63.336948,50,21.303267
-55.301764,50,21.373004
-53.730962,50,21.452569
-58.331439,50,21.528315
-51.573528,50,21.609179
-56.951624,50,21.681376
-54.671308,50,21.751842
-47.1887,50,21.817233
-64.392766,50,29.068896
-61.041503,50,29.136261
-68.013756,50,29.204791
-56.107291,50,29.276829
-52.596547,50,29.34603
-58.051548,50,29.40978
-51.896504,50,29.489084
-55.830545,50,29.559941
-52.532964,50,29.620481
-57.114825,50,29.710287
-51.859108,50,29.787633
-54.953412,50,29.859555
-61.201733,50,29.933939
-60.416294,50,29.997827
-49.838005,50,30.057489
-50.68733,50,30.141089
-49.869953,50,30.223219
-48.176598,50,30.301573
-53.177543,50,30.384084
-53.685087,50,30.455219
-58.055376,50,30.527563
-56.543142,50,30.590958
-65.185534,50,30.64309
-51.423832,50,30.705595
-54.02278,50,30.759947
-46.259228,50,30.821483
-58.906448,50,30.871613
-51.613169,50,30.92874
-56.284046,50,30.982846
-59.976287,50,31.028881
-52.909784,50,31.108652
-55.057393,50,31.177682
-50.969576,50,31.255157
-56.560004,50,31.319542
-53.624801,50,31.383608
-51.669811,50,31.44781
-57.742769,50,31.522238
-56.611311,50,31.601963
-51.600414,50,31.679686
-55.266988,50,31.74816
-49.051203,50,31.815058
-55.041669,50,39.087606
-51.927102,50,39.168064
-50.20535,50,39.249727
-48.216883,50,39.319668
-55.510389,50,39.393234
-49.5157,50,39.458274
-49.451173,50,39.526906
-48.345254,50,39.628528
-53.80306,50,39.676544
-53.274729,50,39.721739
-47.540762,50,39.772389
-41.323933,50,39.822237
-53.313772,50,39.868176
-41.296832,50,39.912835
-45.512026,50,39.958116
-53.641339,50,40.004894
-48.716746,50,40.053222
-39.981561,50,40.117538
-54.265588,50,40.188969
-52.030262,50,40.250939
-56.650469,50,40.324663
-45.778944,50,40.37442
-43.76054,50,40.432737
-51.80829,50,40.495453
-49.693946,50,40.54563
-52.06694,50,40.594759
-51.676445,50,40.646612
-48.5793,50,40.693105
-49.350695,50,40.739117
-58.748445,50,40.788172
-46.498772,50,40.834269
-54.493753,50,40.878617
-52.645474,50,40.922761
-50.999712,50,40.965739
-45.177068,50,41.008055
-42.231798,50,41.050272
-46.680401,50,41.092957
-56.134707,50,41.135086
-50.72116,50,41.177669
-55.438376,50,41.22116
-50.357721,50,41.263419
-48.128111,50,50.397089
-57.067559,50,50.503636
-57.33567,50,50.594136
-53.218758,50,50.659399
-51.460226,50,50.732152
-55.741116,50,50.783732
-55.310026,50,50.865947
-52.443628,50,50.958895
-49.263339,50,51.047767
-45.58944,50,51.137956
-51.742377,50,51.232809
-59.127316,50,51.32223
-48.15982,50,51.416253
-51.892453,50,51.511951
-57.978157,50,51.608531
-48.458416,50,51.702691
-53.826569,50,51.79634
-49.980231,50,51.886626
-49.242434,50,51.979489
-50.463422,50,52.07057
-46.458765,50,52.165116
-50.56937,50,52.260059
-53.07862,50,52.347661
-52.150059,50,52.443014
-53.368075,50,52.539653
-45.023543,50,52.632399
-49.0889,50,52.721872
-50.415032,50,52.813606
-48.017216,50,52.909353
-42.25878,50,53.002472
-48.180676,50,53.093509
-37.881017,50,53.185807
-41.894961,50,53.278419
-53.852039,50,53.376179
-54.765163,50,53.469657
-51.893164,50,53.563593
-48.509769,50,53.659527
-43.348906,50,53.755197
-50.395262,50,53.850118
-46.940648,50,53.947603
-40.821152,50,54.043654
-45.6218,50,62.081023
-45.087274,50,62.157109
-41.798445,50,62.222574
-48.162644,50,62.267483
-44.955598,50,62.312568
-48.596541,50,62.357109
-41.237232,50,62.400828
-43.168216,50,62.444983
-44.633635,50,62.490045
-38.796642,50,62.534537
-36.308421,50,62.578789
-47.771044,50,62.624874
-47.743899,50,62.67049
-46.881892,50,62.71447
-40.838798,50,62.758979
-45.479894,50,62.803707
-42.791466,50,62.847408
-43.017399,50,62.891272
-38.313248,50,62.936071
-52.523459,50,62.980421
-46.547382,50,63.024883
-45.697896,50,63.069777
-51.344193,50,63.13943
-47.528188,50,63.2019
-51.653455,50,63.251323
-49.678195,50,63.296588
-46.579012,50,63.342156
-44.616729,50,63.391406
-47.258442,50,63.450431
-39.855655,50,63.504007
-53.880972,50,63.569362
-41.204158,50,63.622233
-39.757244,50,63.699483
-44.469676,50,63.77073
-46.064048,50,63.833017
-47.110151,50,63.903574
-41.490639,50,63.94961
-51.12147,50,64.021527
-50.732974,50,64.093173
-42.445199,50,64.155542
-44.113084,50,64.232835
-41.894263,50,71.44326
-36.782431,50,71.5293
-38.916611,50,71.614639
-45.673129,50,71.701979
-46.292503,50,71.78848
-40.96159,50,71.879171
-47.431098,50,71.967975
-51.855155,50,72.057554
-36.443177,50,72.145
-45.363644,50,72.211322
-44.607781,50,72.290324
-47.943507,50,72.370361
-37.116274,50,72.442367
-43.082889,50,72.52562
-43.646648,50,72.610715
-42.777921,50,72.692604
-40.239648,50,72.754136
-41.066557,50,72.831711
-48.241939,50,72.910544
-40.729989,50,72.97942
-42.708748,50,73.055515
-44.913002,50,73.129237
-47.128367,50,73.211684
-43.557281,50,73.277826
-49.520809,50,73.346958
-38.896891,50,73.407449
-44.165158,50,73.473376
-38.773817,50,73.547916
-44.644091,50,73.62726
-37.628767,50,73.693003
-37.767984,50,73.760278
-43.942705,50,73.8288
-43.421197,50,73.900677
-41.61428,50,73.970699
-41.547798,50,74.037173
-46.570416,50,74.106453
-44.110875,50,74.183156
-38.39437,50,74.249742
-44.666778,50,74.304293
-40.133284,50,74.382302
-38.803564,50,74.462446
-37.638088,50,81.743001
-45.166962,50,81.825047
-38.993397,50,81.904549
-43.560606,50,81.994324
-35.934909,50,82.080152
-41.836165,50,82.150131
-39.505073,50,82.232008
-44.960687,50,82.310918
-36.940562,50,82.389157
-50.604635,50,82.46647
-41.505331,50,82.532327
-37.579742,50,82.610814
-37.563185,50,82.682065
-34.960835,50,82.752228
-41.798898,50,82.83394
-40.155168,50,82.909207
-34.330636,50,82.991511
-36.865779,50,83.077481
-41.02729,50,83.160227
-45.905553,50,83.248798
-42.842023,50,83.320241
-39.7332,50,83.397114
-43.051045,50,83.476273
-42.192382,50,83.53071
-42.687903,50,83.593596
-37.15308,50,83.649115
-40.933386,50,83.699199
-37.131423,50,83.77158
-37.637636,50,83.84075
-44.339161,50,83.916219
-41.68897,50,83.989589
-28.531148,50,84.071938
-41.583111,50,84.136953
-33.612274,50,84.21972
-37.388348,50,84.302137
-39.620939,50,84.376125
-41.586845,50,84.444057
-42.129816,50,84.520258
-36.339091,50,84.595434
-39.094917,50,84.667358
-37.503195,50,84.732525
-35.621674,50,91.866991
-39.818451,50,91.952234
-30.841087,50,92.034876
