#{"t_start": 1765899236.6123135, "env_id": "Reacher-v4"}
r,l,t
-56.011847,50,1.010757
-51.78558,50,1.047014
-60.568411,50,1.082758
-61.778776,50,1.117399
-69.383668,50,1.150977
-67.302729,50,1.182971
-62.676102,50,1.215483
-66.644798,50,1.247461
-59.71149,50,1.281736
-64.700608,50,1.329185
-56.652342,50,1.372558
-53.925346,50,1.422355
-59.294808,50,1.46131
-56.112734,50,1.498971
-60.637622,50,1.531969
-61.691905,50,1.563617
-58.336116,50,1.595138
-64.771832,50,1.627357
-58.035266,50,1.662834
-56.414877,50,1.71668
-61.589588,50,1.758459
-56.941493,50,1.791659
-61.413118,50,1.828968
-61.869642,50,1.865717
-65.821268,50,1.911686
-57.710101,50,1.966428
-71.285834,50,2.017928
-56.396916,50,2.058171
-60.221193,50,2.100573
-46.698599,50,2.144226
-66.31081,50,2.187704
-62.474907,50,2.241451
-52.078375,50,2.29786
-53.050565,50,2.339665
-66.464875,50,2.386026
-70.844614,50,2.42979
-53.714733,50,2.476406
-64.884474,50,2.52079
-70.091116,50,2.569698
-67.070763,50,2.612551
-64.017047,50,3.222151
-57.138215,50,3.284467
-62.487186,50,3.339898
-65.210143,50,3.395964
-60.278734,50,3.459384
-62.978139,50,3.513685
-62.286133,50,3.564258
-71.702923,50,3.625838
-59.314487,50,3.677936
-60.098551,50,3.728549
-63.353582,50,3.77934
-60.958094,50,3.839508
-60.371482,50,3.888185
-65.866367,50,3.94555
-67.297059,50,4.005589
-58.912915,50,4.038749
-60.87691,50,4.068999
-64.91011,50,4.099221
-66.241755,50,4.154602
-56.883028,50,4.205783
-62.385649,50,4.274394
-61.183701,50,4.328497
-63.53425,50,4.383837
-63.910059,50,4.436069
-63.346302,50,4.489517
-53.143158,50,4.544128
-54.136651,50,4.603137
-65.191689,50,4.650539
-67.423515,50,4.705295
-59.613742,50,4.766713
-57.405749,50,4.822693
-61.81705,50,4.872331
-62.123684,50,4.929057
-63.248328,50,4.980677
-60.45135,50,5.033055
-66.922587,50,5.085271
-55.501988,50,5.143205
-65.912985,50,5.196734
-61.338638,50,5.254253
-62.082791,50,5.311548
-68.678038,50,5.36913
-62.790521,50,5.824521
-57.900295,50,5.883789
-59.610809,50,5.945702
-54.723364,50,6.000446
-65.459055,50,6.058192
-53.82969,50,6.117956
-64.041432,50,6.174692
-62.839972,50,6.231671
-60.726196,50,6.286594
-57.755989,50,6.336401
-53.343496,50,6.39087
-58.985853,50,6.449838
-56.991782,50,6.506836
-57.566152,50,6.545707
-51.43791,50,6.600795
-56.820915,50,6.659612
-57.716475,50,6.711846
-57.555637,50,6.771722
-56.773128,50,6.830107
-53.941624,50,6.88549
-61.406817,50,6.95027
-48.360177,50,7.01491
-52.891725,50,7.073206
-61.478475,50,7.131022
-61.718903,50,7.186782
-55.136932,50,7.246556
-56.185666,50,7.30609
-57.312015,50,7.362336
-53.18838,50,7.421103
-58.106598,50,7.463441
-65.719008,50,7.524179
-60.701166,50,7.581473
-61.823321,50,7.638152
-57.644846,50,7.701787
-58.921456,50,7.760839
-64.342681,50,7.82208
-56.924912,50,7.884721
-52.851493,50,7.950494
-57.880515,50,8.00469
-57.863998,50,8.067159
-62.782999,50,8.128209
-58.516733,50,8.630488
-53.850211,50,8.692427
-54.189829,50,8.751418
-58.093431,50,8.806555
-60.044633,50,8.865108
-59.463565,50,8.919032
-56.189185,50,8.976477
-59.418353,50,9.044573
-51.697878,50,9.102608
-54.133232,50,9.158215
-51.970702,50,9.219423
-67.242375,50,9.272632
-60.147151,50,9.332979
-47.485306,50,9.383542
-48.663059,50,9.441363
-56.467731,50,9.49858
-54.208587,50,9.550031
-58.479705,50,9.592801
-61.594224,50,9.644595
-54.33161,50,9.698438
-49.74745,50,9.753118
-53.327961,50,9.805656
-52.933061,50,9.859447
-51.374886,50,9.918907
-54.456519,50,9.978348
-55.00168,50,10.033342
-57.656984,50,10.095023
-53.593935,50,10.151684
-60.371854,50,10.207477
-53.045594,50,10.263481
-59.95653,50,10.327601
-56.087632,50,10.380985
-53.512588,50,10.438915
-50.698215,50,10.493461
-66.999099,50,10.544638
-53.350212,50,10.60543
-61.339366,50,10.6604
-52.792019,50,10.716706
-58.333023,50,10.771264
-62.884335,50,10.821453
-69.856247,50,10.876162
-56.251747,50,11.335158
-59.766257,50,11.392951
-55.667088,50,11.452349
-59.285666,50,11.505974
-52.353331,50,11.560888
-60.058151,50,11.623696
-60.188565,50,11.684469
-51.946369,50,11.741014
-55.071826,50,11.800813
-62.461462,50,11.858208
-57.825927,50,11.916072
-45.709939,50,11.975103
-55.299041,50,12.033658
-59.199841,50,12.088473
-59.633479,50,12.153957
-54.781526,50,12.21002
-57.313921,50,12.262823
-58.962292,50,12.319815
-57.842959,50,12.375351
-59.662402,50,12.430703
-51.903332,50,12.489896
-51.493393,50,12.54348
-63.330179,50,12.592614
-51.534159,50,12.646859
-58.297839,50,12.701559
-69.243202,50,12.758616
-57.897701,50,12.817527
-52.12331,50,12.868906
-58.210657,50,12.926408
-55.955346,50,12.984575
-57.764066,50,13.039147
-55.584016,50,13.091701
-52.233815,50,13.149336
-50.294343,50,13.203873
-54.43096,50,13.261715
-60.713743,50,13.318075
-52.070687,50,13.375946
-52.103202,50,13.43716
-49.113007,50,13.492169
-51.329166,50,13.549349
-50.61789,50,13.606926
-55.361701,50,14.101587
-45.699076,50,14.159608
-47.77525,50,14.218231
-50.826014,50,14.282728
-47.557721,50,14.335229
-54.677077,50,14.394416
-52.954704,50,14.445522
-57.256302,50,14.507756
-50.726572,50,14.559017
-54.741922,50,14.625368
-53.534528,50,14.685011
-49.964589,50,14.748088
-56.124493,50,14.810497
-48.693334,50,14.870354
-54.522913,50,14.931301
-51.759013,50,14.990116
-54.462071,50,15.055992
-51.704993,50,15.110662
-55.800371,50,15.168455
-52.789702,50,15.224607
-54.55608,50,15.272163
-54.805239,50,15.330856
-55.05127,50,15.394512
-49.42952,50,15.455924
-56.385305,50,15.520255
-53.668106,50,15.581597
-52.828584,50,15.63907
-48.626304,50,15.696826
-53.318327,50,15.758646
-59.283985,50,15.808389
-58.738939,50,15.864034
-48.448567,50,15.920702
-44.820721,50,15.980538
-50.913176,50,16.034845
-53.752244,50,16.090234
-51.697882,50,16.14411
-42.303842,50,16.203518
-45.701727,50,16.259736
-50.147384,50,16.312576
-57.115735,50,16.37573
-49.216199,50,16.437783
-56.882304,50,16.94365
-44.705778,50,17.003876
-56.662797,50,17.070195
-55.644418,50,17.138173
-48.236762,50,17.204439
-52.601231,50,17.27038
-49.432082,50,17.338612
-50.011919,50,17.409128
-57.229493,50,17.476222
-54.575385,50,17.542803
-51.087777,50,17.613678
-53.113212,50,17.682537
-47.649823,50,17.748963
-45.046383,50,17.817059
-46.387172,50,17.880828
-52.722228,50,17.946132
-47.531697,50,18.012567
-41.677859,50,18.076726
-48.829139,50,18.137571
-44.333046,50,18.20334
-50.432293,50,18.269881
-49.36237,50,18.335803
-48.068758,50,18.400874
-53.64632,50,18.465947
-48.02862,50,18.520181
-47.761183,50,18.583689
-57.498552,50,18.641311
-51.192804,50,18.699833
-53.743704,50,18.76401
-44.564331,50,18.828167
-50.763493,50,18.887691
-46.604986,50,18.947752
-51.592413,50,19.015375
-52.540619,50,19.079725
-46.345174,50,19.145292
-57.023203,50,19.208975
-44.716915,50,19.275469
-45.483015,50,19.340811
-53.89918,50,19.408721
-48.173927,50,19.471131
-44.653017,50,19.528918
-47.466383,50,20.032406
-48.634621,50,20.091127
-47.346201,50,20.156314
-44.825365,50,20.211619
-50.129885,50,20.268769
-47.461386,50,20.32384
-41.68558,50,20.37608
-44.180521,50,20.440643
-48.708633,50,20.505785
-50.155091,50,20.565811
-43.871492,50,20.630634
-45.622626,50,20.697228
-50.861368,50,20.753356
-53.395505,50,20.81294
-51.427781,50,20.856887
-54.903346,50,20.920193
-50.149767,50,20.974299
-45.93918,50,21.030464
-55.077972,50,21.085302
-52.032143,50,21.142932
-42.689616,50,21.197431
-48.495781,50,21.256161
-50.569854,50,21.312889
-46.215387,50,21.366712
-54.033629,50,21.427097
-50.148264,50,21.482916
-51.544278,50,21.533905
-43.903243,50,21.592765
-41.274824,50,21.645815
-42.976598,50,21.69499
-51.19179,50,21.750593
-50.800873,50,21.803223
-43.641827,50,21.857235
-43.979087,50,21.915068
-44.11459,50,21.972467
-41.54875,50,22.025486
-53.364487,50,22.077514
-47.288758,50,22.13686
-47.706477,50,22.192799
-56.606813,50,22.252962
-58.119762,50,22.310171
-48.206218,50,22.784859
-46.150492,50,22.844089
-46.956412,50,22.90762
-50.448265,50,22.966994
-52.008689,50,23.029896
-49.706425,50,23.086914
-40.396749,50,23.146677
-45.146455,50,23.203121
-38.648558,50,23.264657
-43.765717,50,23.329333
-45.284814,50,23.394962
-53.838302,50,23.455107
-50.461228,50,23.510823
-53.891548,50,23.56656
-57.929309,50,23.619911
-53.399969,50,23.680164
-43.383486,50,23.734003
-38.571948,50,23.785934
-45.623975,50,23.839367
-39.074056,50,23.892902
-50.375859,50,23.959277
-51.041896,50,24.024662
-53.497687,50,24.087205
-50.374159,50,24.140623
-48.047589,50,24.201687
-44.117224,50,24.25793
-48.789468,50,24.314753
-42.486129,50,24.365402
-48.317972,50,24.425246
-53.8246,50,24.480439
-42.382802,50,24.534781
-44.435487,50,24.597438
-42.521505,50,24.654583
-51.92897,50,24.71812
-46.678497,50,24.772509
-52.228188,50,24.836245
-44.840269,50,24.898063
-39.223556,50,24.963446
-43.966874,50,25.020603
-47.447594,50,25.074869
-42.917739,50,25.135123
-34.747376,50,25.613223
-44.156255,50,25.668797
-36.266424,50,25.731673
-48.967781,50,25.787549
-43.237227,50,25.853153
-40.6821,50,25.913651
-49.448015,50,25.968631
-49.953736,50,26.023547
-44.538655,50,26.086546
-45.762898,50,26.142607
-40.916048,50,26.207766
-40.947603,50,26.270515
-43.206325,50,26.322826
-40.287106,50,26.38119
-47.838904,50,26.440415
-43.463386,50,26.502734
