#{"t_start": 1765911605.7323225, "env_id": "Reacher-v4"}
r,l,t
-67.049557,50,0.051944
-61.539151,50,0.075349
-71.023205,50,0.098281
-55.636622,50,0.120768
-58.024235,50,0.142449
-57.565058,50,0.164927
-61.593679,50,0.186485
-58.552793,50,0.207907
-63.826688,50,0.228311
-61.177816,50,0.24818
-58.693794,50,0.272861
-60.286992,50,0.297567
-61.227971,50,0.322247
-57.240243,50,0.357041
-66.767001,50,0.389763
-54.974923,50,0.419823
-63.40913,50,0.448707
-62.236209,50,0.481749
-62.93851,50,0.519015
-54.625892,50,0.547076
-67.93269,50,0.576543
-70.577075,50,0.613104
-57.965187,50,0.635294
-59.622374,50,0.663272
-65.300891,50,0.695992
-58.165712,50,0.726372
-56.088908,50,0.761133
-68.57797,50,0.798927
-66.960104,50,0.831154
-59.232846,50,0.855478
-57.405919,50,0.892883
-61.764018,50,0.92847
-57.694707,50,0.950413
-63.723739,50,0.972674
-63.049702,50,0.995126
-64.111781,50,1.017492
-67.407131,50,1.039969
-59.888183,50,1.069722
-59.492358,50,1.111356
-63.681367,50,1.146225
-63.430841,50,1.937101
-62.869336,50,1.973736
-72.743286,50,2.011367
-61.790361,50,2.05032
-60.471687,50,2.091541
-65.594617,50,2.130394
-66.214588,50,2.168665
-64.585269,50,2.197944
-62.286553,50,2.228612
-68.244394,50,2.263513
-59.034584,50,2.288867
-54.312701,50,2.324975
-61.027341,50,2.361907
-64.770502,50,2.39749
-61.06371,50,2.427771
-63.204631,50,2.463296
-57.344377,50,2.499681
-64.584364,50,2.537412
-65.88166,50,2.56504
-70.499321,50,2.592454
-60.394353,50,2.618746
-57.973804,50,2.639908
-59.574631,50,2.680992
-64.841215,50,2.720567
-61.487285,50,2.76416
-53.091372,50,2.804322
-60.541227,50,2.836518
-66.372229,50,2.86517
-58.160874,50,2.905304
-58.551695,50,2.932203
-63.221006,50,2.973833
-61.514558,50,3.015543
-65.108276,50,3.052941
-61.223999,50,3.092197
-54.425294,50,3.132174
-64.831336,50,3.170391
-58.765617,50,3.208664
-62.757277,50,3.24659
-54.5056,50,3.28355
-61.394505,50,3.320177
-52.622766,50,3.354867
-54.522129,50,4.105247
-52.436344,50,4.142936
-59.851752,50,4.184901
-55.223874,50,4.223846
-53.980289,50,4.262169
-58.454222,50,4.302283
-50.543436,50,4.341172
-59.390745,50,4.378143
-64.609353,50,4.416683
-58.030069,50,4.457847
-59.480683,50,4.493538
-55.910336,50,4.532093
-64.85704,50,4.573802
-54.355808,50,4.604094
-56.296487,50,4.646716
-60.81916,50,4.685412
-51.157102,50,4.716404
-68.223749,50,4.749941
-55.37796,50,4.77526
-56.399687,50,4.805501
-58.989893,50,4.848812
-60.384305,50,4.88527
-50.032898,50,4.923301
-60.385907,50,4.962879
-58.486451,50,5.000354
-61.617174,50,5.026413
-55.390872,50,5.055966
-49.695795,50,5.089471
-45.711376,50,5.132445
-64.274788,50,5.169564
-56.445732,50,5.207694
-53.535043,50,5.241083
-58.903388,50,5.279504
-61.650901,50,5.305732
-58.752732,50,5.345098
-53.946731,50,5.377537
-62.329325,50,5.409477
-57.564445,50,5.444829
-54.371751,50,5.470533
-53.421259,50,5.492839
-51.382284,50,5.517766
-67.269139,50,6.357399
-58.204243,50,6.398762
-61.670528,50,6.438617
-49.196478,50,6.476441
-53.822877,50,6.514439
-65.369252,50,6.5552
-55.954583,50,6.591408
-48.985611,50,6.628697
-54.395378,50,6.666261
-49.879882,50,6.705589
-53.498382,50,6.741282
-61.478345,50,6.7772
-58.017401,50,6.804489
-49.753383,50,6.842868
-63.900278,50,6.871166
-57.35232,50,6.91228
-58.901414,50,6.950988
-57.582744,50,6.99261
-49.475299,50,7.018828
-63.62918,50,7.044321
-56.530979,50,7.082578
-63.867538,50,7.127472
-53.235441,50,7.163926
-54.840949,50,7.191556
-60.243341,50,7.221566
-61.705662,50,7.245153
-62.322003,50,7.277286
-51.531929,50,7.299309
-57.59748,50,7.328756
-50.083382,50,7.360629
-54.457975,50,7.398362
-50.66312,50,7.436826
-53.554466,50,7.479111
-58.732964,50,7.507046
-49.413514,50,7.532139
-53.849213,50,7.555779
-50.728229,50,7.591523
-51.02814,50,7.622736
-55.734378,50,7.650133
-51.333176,50,7.679722
-55.329295,50,7.70628
-49.615807,50,8.549041
-57.169976,50,8.576564
-45.865828,50,8.616407
-48.072369,50,8.649352
-51.669847,50,8.691838
-52.710839,50,8.731826
-50.923097,50,8.770384
-63.427592,50,8.810013
-47.299363,50,8.849604
-50.539861,50,8.885262
-60.52929,50,8.924217
-61.739175,50,8.964503
-59.099882,50,9.003627
-53.294512,50,9.035923
-49.105767,50,9.060245
-49.046947,50,9.083692
-43.145153,50,9.126379
-52.858536,50,9.162521
-48.724728,50,9.197005
-58.534165,50,9.230355
-46.069569,50,9.265088
-58.187874,50,9.300855
-54.488247,50,9.332801
-53.27109,50,9.36382
-59.098385,50,9.404272
-43.41892,50,9.440618
-58.975379,50,9.473478
-55.541468,50,9.497604
-57.89253,50,9.535057
-46.849753,50,9.577782
-56.528959,50,9.618839
-48.722641,50,9.653776
-48.989082,50,9.696131
-59.692791,50,9.73258
-50.515163,50,9.773333
-51.880233,50,9.81142
-53.984274,50,9.851968
-44.396059,50,9.886149
-48.62095,50,9.920437
-49.326649,50,9.951414
-58.121881,50,9.98292
-51.834137,50,10.94057
-54.308193,50,10.976865
-49.069922,50,11.017289
-53.422184,50,11.057539
-50.84529,50,11.098768
-51.420217,50,11.134995
-49.315831,50,11.173557
-62.371112,50,11.211271
-51.723368,50,11.253466
-55.437017,50,11.28959
-57.879783,50,11.321317
-55.417655,50,11.352572
-48.142438,50,11.388027
-51.099296,50,11.41609
-46.443083,50,11.444338
