#{"t_start": 1765911998.228124, "env_id": "Reacher-v4"}
r,l,t
-62.937794,50,0.073384
-65.135353,50,0.129597
-61.702734,50,0.961812
-61.387555,50,1.00154
-63.528438,50,1.043316
-61.957441,50,1.934752
-60.514737,50,1.973258
-65.064625,50,2.754552
-52.377701,50,2.809099
-61.979497,50,2.863926
-58.307786,50,3.75437
-68.624238,50,3.789675
-70.295615,50,4.611913
-56.474945,50,4.650235
-64.091092,50,4.685543
-56.109551,50,5.524211
-58.690342,50,5.559783
-62.140879,50,6.368228
-50.893764,50,6.403008
-62.937882,50,6.438473
-53.687479,50,7.196921
-52.871979,50,7.236907
-59.208915,50,7.288549
-59.174561,50,8.17672
-66.058706,50,8.215387
-55.535649,50,9.062093
-61.454157,50,9.124904
-66.920212,50,9.187945
-69.517588,50,9.95808
-62.244316,50,9.995599
-67.160795,50,10.622691
-53.681254,50,10.687018
-62.079719,50,10.758632
-73.863212,50,11.638039
-65.141281,50,11.681838
-69.596191,50,12.52445
-70.622139,50,12.559459
-63.569694,50,12.595179
-66.981385,50,13.472137
-63.570342,50,13.507336
-60.526724,50,14.280904
-63.225175,50,14.322394
-66.008117,50,14.361781
-62.81601,50,15.252747
-66.161436,50,15.294271
-64.752193,50,15.329498
-67.03739,50,16.209801
-69.005047,50,16.245217
-72.853265,50,17.071641
-73.485884,50,17.117779
-65.903658,50,17.177621
-69.268355,50,18.055156
-72.457258,50,18.091715
-66.635072,50,18.617652
-67.554409,50,18.659322
-64.764623,50,18.697653
-67.897128,50,19.579129
-64.55595,50,19.624161
-71.972286,50,20.370239
-72.294367,50,20.438884
-73.95364,50,20.489186
-77.401981,50,21.208037
-69.289714,50,21.246746
-71.512796,50,21.289482
-74.964688,50,22.028404
-74.144789,50,22.080266
-72.197441,50,22.938465
-70.267538,50,23.000864
-73.680869,50,23.060359
-76.684711,50,23.931035
-69.715753,50,23.970148
-75.388457,50,24.800455
-78.600768,50,24.838641
-74.705273,50,24.887789
-72.900343,50,25.796014
-71.267346,50,25.855707
-70.762998,50,26.701402
-74.87531,50,26.744214
-71.682557,50,26.782814
-76.963165,50,27.507485
-76.523609,50,27.552205
-75.860234,50,28.371381
-76.430797,50,28.415247
-75.065043,50,28.454987
-71.651726,50,29.344763
-84.61262,50,29.388629
-72.457015,50,29.426309
-73.506473,50,30.30674
-75.006526,50,30.343294
-75.188689,50,31.169289
-73.923878,50,31.209456
-78.647045,50,31.250686
-73.138225,50,32.125911
-80.591763,50,32.166284
-73.759405,50,33.001624
-77.699106,50,33.045197
-70.867743,50,33.093905
-77.20565,50,33.979839
-75.059523,50,34.04378
-77.648386,50,34.909091
-78.545408,50,34.97355
-70.582068,50,35.044289
-72.329174,50,35.904689
-77.976976,50,35.944808
-74.152985,50,36.80639
-74.941807,50,36.874403
-78.31831,50,36.938456
-78.452527,50,37.838462
-77.695507,50,37.875587
-78.522173,50,37.912492
-73.658557,50,38.446015
-72.543819,50,38.48399
-81.6245,50,39.304586
-72.39528,50,39.341912
-77.062326,50,39.378443
-78.321036,50,40.242192
-77.145663,50,40.286908
-80.864091,50,40.968334
-76.303473,50,41.004485
-79.886318,50,41.045458
-79.596846,50,41.597204
-79.864132,50,41.640877
-80.111121,50,42.467761
-79.708671,50,42.506708
-81.910513,50,42.54195
-74.643447,50,43.418212
-75.057532,50,43.45797
-78.082561,50,43.494112
-84.024064,50,44.00184
-78.898084,50,44.040503
-80.251142,50,44.842639
-82.956728,50,44.886552
-79.094194,50,44.935199
-82.302667,50,45.813019
-79.030524,50,45.851702
-77.994775,50,46.627332
-75.375198,50,46.666024
-82.152915,50,46.705782
-76.474513,50,47.518863
-76.564104,50,47.564608
-78.576814,50,48.392128
-76.475409,50,48.431307
-76.936184,50,48.476842
-84.080155,50,49.057558
-77.405919,50,49.099443
-70.888443,50,49.920002
-74.132528,50,49.960983
-76.852068,50,50.000249
-73.223073,50,50.889109
-80.876495,50,50.930226
-84.070658,50,50.969306
-74.430949,50,51.843113
-78.495675,50,51.881721
-72.172131,50,52.711914
-76.483671,50,52.750276
-78.111577,50,52.789987
-76.418199,50,53.623642
-75.660822,50,53.664044
-76.769166,50,54.173426
-69.823096,50,54.212562
-78.205682,50,54.254539
-74.670755,50,55.001266
-80.392453,50,55.043675
-72.780378,50,55.885769
-78.163365,50,55.92718
-69.537171,50,55.967552
-69.818509,50,56.864251
-79.775121,50,56.9032
-70.872431,50,57.724975
-78.565551,50,57.767272
-73.565854,50,57.807657
-70.644846,50,58.72
-76.922666,50,58.763057
-70.07293,50,58.80513
-79.346001,50,59.703505
-84.33066,50,59.742287
-72.204968,50,60.467219
-79.59589,50,60.507959
-72.098531,50,60.546724
-81.824526,50,61.439983
-71.50845,50,61.481709
-73.193113,50,62.085969
-82.238473,50,62.12162
-80.251834,50,62.158694
-83.495687,50,62.864215
-75.793165,50,62.905607
-72.891095,50,63.742631
-78.043559,50,63.781522
-79.47046,50,63.823258
-76.217264,50,64.65512
-77.71715,50,64.692524
-77.884792,50,64.728916
-76.846667,50,65.564448
-73.141402,50,65.601445
-81.08784,50,66.230117
-79.889681,50,66.27122
-75.10385,50,66.311771
-74.189952,50,67.16705
-67.741003,50,67.213282
-74.58875,50,68.043561
-71.904611,50,68.08088
-80.334033,50,68.119759
-67.182999,50,68.989777
-74.514577,50,69.031531
-77.702767,50,69.866486
-72.838746,50,69.934984
-71.060258,50,69.976222
-72.0165,50,70.638066
-73.592555,50,70.672907
-79.620238,50,71.463411
-72.471274,50,71.500524
-73.074827,50,71.536861
-68.981185,50,72.30811
-72.713759,50,72.344591
-71.149992,50,72.381364
-69.021872,50,73.256946
-68.649495,50,73.298204
-73.116006,50,74.129341
-72.866838,50,74.165965
-72.675187,50,74.202452
-73.491312,50,75.069007
-73.052939,50,75.106167
-72.0406,50,75.873662
-69.760951,50,75.938835
-76.038474,50,76.005747
-76.219872,50,76.899604
-77.292381,50,76.942448
-75.527908,50,77.800836
-69.897177,50,77.846372
-72.747181,50,77.902401
-70.206559,50,78.648
-72.292814,50,78.687038
-68.577707,50,79.518118
-69.900255,50,79.559373
-71.282336,50,79.599446
-80.661775,50,80.45792
-71.35924,50,80.505176
-71.243837,50,80.54898
-73.353662,50,81.410022
-68.984062,50,81.446496
-75.182694,50,81.960519
-77.747759,50,82.001122
-67.805716,50,82.038361
-71.801224,50,82.921482
-73.566286,50,82.96054
-67.522458,50,83.763381
-71.365348,50,83.83613
-65.980351,50,83.908021
-69.792356,50,84.801536
-71.407695,50,84.837625
-68.946959,50,85.650459
-73.643293,50,85.697823
-67.629558,50,85.744285
-79.532152,50,86.47979
-76.433051,50,86.522117
-67.928891,50,86.559732
-71.946497,50,87.383935
-67.556031,50,87.420581
-75.256549,50,88.242502
-74.251404,50,88.290067
-67.804035,50,88.3554
-69.384803,50,89.237074
-70.750858,50,89.27596
-75.334981,50,90.069112
-72.000121,50,90.105368
-70.270804,50,90.145339
-65.411199,50,90.840572
-77.837359,50,90.876316
-77.222218,50,91.687145
-74.510614,50,91.750973
-68.414111,50,91.814806
-69.891234,50,92.697167
-75.925812,50,92.735316
-73.00124,50,93.545298
-68.94019,50,93.583142
-71.595763,50,93.619686
-69.651765,50,94.38385
-70.396166,50,94.426539
-69.405706,50,94.465933
-73.592654,50,95.339381
-72.629258,50,95.377325
-68.035157,50,96.209183
-78.262434,50,96.27615
-71.151338,50,96.325638
-73.24034,50,97.221999
-74.345787,50,97.2842
-73.155454,50,98.114256
-70.250965,50,98.15688
-71.332717,50,98.199257
-76.386955,50,99.093982
-74.444067,50,99.129266
-73.270808,50,99.751131
-69.309691,50,99.79005
-77.84451,50,99.82957
-69.978249,50,100.73433
-72.211315,50,100.770839
-72.287309,50,101.599528
-76.252163,50,101.664853
-72.631834,50,101.731601
-75.951668,50,102.609703
-69.057617,50,102.651272
-76.799123,50,102.692803
