#{"t_start": 1765911173.967536, "env_id": "Reacher-v4"}
r,l,t
-54.445595,50,0.663178
-62.169369,50,0.700433
-59.948527,50,0.737087
-59.405845,50,0.763176
-63.608244,50,0.807628
-67.012787,50,0.851745
-63.292376,50,0.894274
-61.600137,50,0.934906
-64.055696,50,0.977601
-59.932354,50,1.014241
-57.211952,50,1.056164
-64.609281,50,1.095879
-64.396288,50,1.132991
-60.765496,50,1.174439
-62.971203,50,1.215256
-59.618879,50,1.259014
-67.311228,50,1.295873
-52.599224,50,1.339803
-62.689519,50,1.384005
-51.206005,50,1.423103
-60.621826,50,1.464426
-60.973507,50,1.503241
-65.037338,50,1.540988
-73.228737,50,1.583058
-65.261742,50,1.618971
-65.516972,50,1.661135
-49.643418,50,1.70283
-69.678733,50,1.74516
-56.778399,50,1.781706
-55.504215,50,1.821375
-69.258702,50,1.862981
-67.980456,50,1.903701
-56.471179,50,1.944369
-58.364015,50,1.984358
-63.936911,50,2.023473
-52.458477,50,2.063139
-71.367675,50,2.105711
-52.29603,50,2.145133
-60.838821,50,2.179421
-73.207689,50,2.218302
-57.536882,50,2.975149
-54.370531,50,3.015922
-66.09293,50,3.057872
-58.98926,50,3.092163
-58.443721,50,3.12966
-57.354396,50,3.170411
-60.906266,50,3.206832
-63.965065,50,3.251224
-50.024984,50,3.290662
-62.828156,50,3.332443
-56.364786,50,3.371269
-60.482819,50,3.414856
-55.65398,50,3.45426
-62.837029,50,3.497208
-59.45244,50,3.534363
-61.062579,50,3.575125
-64.904715,50,3.614923
-54.242691,50,3.65419
-61.326897,50,3.693854
-68.292219,50,3.736274
-56.861149,50,3.774714
-61.097973,50,3.813456
-65.412821,50,3.851802
-54.864589,50,3.894183
-64.649738,50,3.933924
-61.818512,50,3.972851
-67.790263,50,4.013092
-63.114921,50,4.051789
-56.535955,50,4.094013
-60.227804,50,4.13427
-61.572659,50,4.171899
-60.404416,50,4.214138
-61.237245,50,4.252122
-60.672107,50,4.29202
-67.299771,50,4.332312
-59.200596,50,4.371808
-72.350373,50,4.413504
-64.512082,50,4.454322
-51.828125,50,4.493294
-56.247162,50,4.534077
-62.199498,50,4.571539
-55.637504,50,5.194994
-50.29033,50,5.235963
