#{"t_start": 1765918772.609674, "env_id": "Reacher-v4"}
r,l,t
-58.266869,50,0.513073
-55.353711,50,0.583333
-55.351596,50,0.651913
-61.219865,50,0.724065
-61.019855,50,0.791986
-64.775758,50,0.867746
-72.478996,50,0.938677
-61.879113,50,1.009548
-60.940427,50,1.075237
-68.040252,50,1.141504
-61.952516,50,1.212527
-63.317557,50,1.281602
-65.659453,50,1.35211
-55.211138,50,1.422976
-62.135292,50,1.483125
-55.751363,50,1.547289
-66.196096,50,1.6182
-58.874377,50,1.684163
-62.566551,50,1.750203
-66.167112,50,1.8226
-57.311101,50,1.887535
-52.676612,50,1.960106
-65.80925,50,2.02337
-67.349224,50,2.092524
-61.18084,50,2.160599
-64.340756,50,2.223424
-69.960555,50,2.291064
-57.801547,50,2.363204
-59.363321,50,2.428662
-58.228383,50,2.497324
-55.829178,50,2.555771
-57.907708,50,2.627295
-56.860257,50,2.700404
-58.645806,50,2.771712
-60.373426,50,2.834118
-67.457368,50,2.904391
-60.223797,50,2.965389
-59.686814,50,3.029632
-58.654579,50,3.094843
-59.587791,50,3.162202
-55.634538,50,4.063658
-59.976224,50,4.137758
-62.777096,50,4.211095
-64.914035,50,4.277473
-60.024533,50,4.348466
-56.788045,50,4.423584
-65.342347,50,4.486976
-59.14406,50,4.551768
-52.520591,50,4.620873
-56.910957,50,4.68455
-62.144377,50,4.752839
-60.41668,50,4.826455
-56.333952,50,4.898453
-62.948425,50,4.963008
-72.094036,50,5.036483
-61.847444,50,5.105149
-62.000669,50,5.175466
-53.273861,50,5.245084
-61.40602,50,5.311978
-62.689443,50,5.379762
-62.592579,50,5.440248
-65.620574,50,5.509304
-48.384319,50,5.579346
-62.634813,50,5.653925
-55.745805,50,5.719185
-63.37963,50,5.782387
-51.857167,50,5.851372
-57.969851,50,5.914554
-58.834533,50,5.985322
-60.062158,50,6.053609
-51.878082,50,6.12381
-52.729771,50,6.192315
-58.389373,50,6.257079
-59.877447,50,6.328918
-62.616836,50,6.400956
-56.424999,50,6.473465
-54.232756,50,6.537949
-57.325341,50,6.59564
-66.144928,50,6.664626
-64.473095,50,6.730562
-59.611642,50,6.799012
-51.245157,50,7.667825
-53.277138,50,7.744308
-57.843055,50,7.818443
-59.18349,50,7.885333
-58.521392,50,7.953747
-45.693333,50,8.020148
-57.608461,50,8.086428
