#{"t_start": 1765919000.400559, "env_id": "Reacher-v4"}
r,l,t
-71.100239,50,0.308501
-59.519265,50,0.401474
-63.602302,50,0.479815
-60.097939,50,0.576641
-62.555484,50,0.66351
-73.763918,50,0.754699
-64.749658,50,0.844501
-65.499252,50,0.932375
-65.381276,50,1.024559
-57.167418,50,1.11663
-60.948547,50,1.203906
-67.534616,50,1.294884
-55.040303,50,1.389643
-66.000109,50,1.477621
-57.147655,50,1.566283
-68.189057,50,1.6444
-62.599894,50,1.735612
-65.032649,50,1.832912
-66.539825,50,1.923772
-72.312696,50,2.016138
-64.892386,50,2.10454
-62.363785,50,2.185264
-66.680666,50,2.283329
-59.236221,50,2.377938
-72.157816,50,2.469313
-57.738231,50,2.568758
-54.262607,50,2.656463
-59.13595,50,2.745937
-58.12543,50,2.84353
-61.973881,50,2.918236
-59.740973,50,3.016814
-64.61974,50,3.095462
-60.677088,50,3.195942
-54.737935,50,3.286735
-66.679201,50,3.373606
-64.723518,50,3.476248
-53.672809,50,3.573685
-65.479706,50,3.676053
-56.941529,50,3.772745
-58.727498,50,3.872882
-65.601261,50,18.102129
-60.412187,50,18.205438
-60.346725,50,18.291755
-54.771554,50,18.388825
-65.17583,50,18.478492
-61.906837,50,18.57481
-56.027155,50,18.662474
-60.768562,50,18.739428
-57.233889,50,18.828718
-67.131889,50,18.923445
-54.656111,50,19.003421
-62.950572,50,19.079803
-63.628808,50,19.168137
-52.881604,50,19.259787
-64.830539,50,19.353614
-53.571629,50,19.443964
-58.903147,50,19.542299
-62.412275,50,19.631481
-62.907651,50,19.708084
-59.174736,50,19.803341
-62.374791,50,19.904323
-64.073728,50,20.001044
-66.440686,50,20.094177
-58.117011,50,20.186945
-68.382631,50,20.270793
-50.183206,50,20.364888
-56.363217,50,20.45882
-66.101657,50,20.557517
-58.006452,50,20.649929
-62.082275,50,20.742389
-57.123806,50,20.838467
-48.111399,50,20.928388
-55.218743,50,21.017307
-60.407146,50,21.087751
-60.94918,50,21.1829
-52.120971,50,21.276623
-59.344881,50,21.3663
-56.996423,50,21.461768
-65.782887,50,21.558811
-59.469875,50,21.652967
-54.516052,50,21.745804
-56.771873,50,35.944052
-59.724791,50,36.042114
-56.943904,50,36.14243
-53.072991,50,36.242509
-58.068027,50,36.340917
-58.244213,50,36.443553
-56.642067,50,36.53964
-56.518915,50,36.64064
-48.9408,50,36.735929
-58.691647,50,36.833507
-63.732614,50,36.929038
-59.174034,50,37.025649
-65.082239,50,37.116832
-47.417096,50,37.214748
-60.606356,50,37.317302
-64.703324,50,37.416826
-61.002085,50,37.517371
-58.153738,50,37.609829
-56.039915,50,37.694743
-54.548646,50,37.783194
-48.95937,50,37.881809
-49.385328,50,37.972698
-58.194085,50,38.06265
-51.962164,50,38.155663
-53.84281,50,38.249378
-53.674402,50,38.345535
-64.18943,50,38.436288
-63.40794,50,38.527656
-51.513236,50,38.620826
-57.283528,50,38.708957
-55.630395,50,38.803368
-58.996269,50,38.89907
-52.184803,50,38.989556
-57.066377,50,39.082976
-56.742247,50,39.17539
-58.175975,50,39.270473
-56.130579,50,39.367579
-48.842065,50,39.464339
-58.302525,50,39.565511
-48.829713,50,39.653845
-46.412799,50,39.730735
-59.891711,50,53.848072
-51.390263,50,53.943272
-53.452921,50,54.026733
-52.847917,50,54.112447
-51.789458,50,54.212864
-55.118124,50,54.306711
-62.174328,50,54.398105
-57.698595,50,54.48069
-54.078734,50,54.57385
-48.055473,50,54.670968
-58.87459,50,54.762879
-48.701052,50,54.858983
-53.568028,50,54.952903
-57.341634,50,55.048647
-50.361461,50,55.13803
-49.41112,50,55.227502
-58.287932,50,55.331515
-45.404487,50,55.428182
-52.704148,50,55.521813
-48.98946,50,55.615459
-49.395425,50,55.706632
-53.780315,50,55.803579
-63.199906,50,55.900893
-42.789586,50,55.998846
-52.959337,50,56.089987
-58.343503,50,56.184391
-53.206648,50,56.280308
-51.264292,50,56.368372
-59.159049,50,56.466584
-59.402056,50,56.564421
-58.236423,50,56.648821
-42.531851,50,56.736585
-52.067649,50,56.833784
-49.285249,50,56.933413
-52.716063,50,57.027541
-56.214985,50,57.125216
-48.015042,50,57.222244
-53.207787,50,57.320905
-58.654846,50,57.417876
-55.637734,50,57.512803
-45.696257,50,57.611355
-48.574302,50,71.75867
-42.230487,50,71.859355
-46.269279,50,71.951495
-53.254479,50,72.054538
-53.583799,50,72.150605
-42.697433,50,72.250091
-54.940936,50,72.348144
-50.85868,50,72.445827
-55.557348,50,72.534419
-52.112021,50,72.624298
-46.631127,50,72.718272
-49.895136,50,72.814341
-47.932941,50,72.91141
-52.378258,50,73.012622
-47.165534,50,73.104108
-49.815762,50,73.201162
-46.15327,50,73.299382
-50.988581,50,73.393291
-47.832505,50,73.488518
-44.518797,50,73.573664
-48.101686,50,73.670731
-47.773299,50,73.754654
-52.20161,50,73.852016
-45.871608,50,73.941422
-50.576409,50,74.029297
-54.133426,50,74.115115
-51.071524,50,74.21328
-55.335019,50,74.301575
-45.589853,50,74.391693
-49.478644,50,74.487133
-50.864084,50,74.584152
-57.746072,50,74.676898
-61.390736,50,74.770941
-47.346186,50,74.867643
-52.723688,50,74.966546
-53.463859,50,75.064816
-49.229025,50,75.143724
-50.740914,50,75.233887
-45.178083,50,75.331867
-49.270295,50,75.425864
-54.337807,50,75.522893
-49.300952,50,89.715172
-46.323607,50,89.820846
-45.694473,50,89.926821
-41.367731,50,90.027914
-43.074675,50,90.128446
-52.850681,50,90.221517
-51.663375,50,90.322414
-46.614857,50,90.415947
-54.192713,50,90.501538
-45.09848,50,90.588829
-46.369511,50,90.67553
-47.807688,50,90.76471
-47.510329,50,90.861486
-45.079546,50,90.959881
-49.824716,50,91.057365
-53.084154,50,91.155493
-48.001134,50,91.245538
-52.031073,50,91.339278
-46.59837,50,91.426516
-44.675596,50,91.50876
-44.842032,50,91.605632
-43.7372,50,91.699295
-50.015235,50,91.795682
-50.765487,50,91.888885
-46.31364,50,91.972404
-51.744067,50,92.063006
-47.69262,50,92.153534
-42.216177,50,92.235724
-50.250316,50,92.335749
-40.014464,50,92.432667
-47.264729,50,92.528528
-48.535663,50,92.630304
-49.008436,50,92.726326
-48.348455,50,92.827783
-33.289786,50,92.92389
-49.942141,50,93.015653
-51.37408,50,93.103814
-44.432868,50,93.196919
-49.155878,50,93.277966
-49.872386,50,93.363464
-46.929099,50,93.457685
-49.316059,50,107.682048
-40.230486,50,107.785444
-46.550299,50,107.89209
-43.93461,50,107.997489
-43.44766,50,108.093511
-40.346409,50,108.192432
-35.428566,50,108.282722
-44.431919,50,108.383261
-47.468684,50,108.481646
-40.493662,50,108.571936
-41.596926,50,108.666269
-37.019773,50,108.753737
-47.629626,50,108.836017
-48.140037,50,108.935554
-45.989836,50,109.036758
-43.762767,50,109.133181
-43.375779,50,109.232579
-44.252566,50,109.309507
-50.468422,50,109.406551
-47.024151,50,109.494904
-39.22471,50,109.597673
-42.706347,50,109.684572
-48.363688,50,109.775807
-44.68363,50,109.877126
-41.149266,50,109.973377
-47.477404,50,110.067771
-45.80965,50,110.162774
-41.724093,50,110.258287
-50.13456,50,110.351855
-34.546756,50,110.444917
-44.160568,50,110.537875
-37.734546,50,110.632563
-41.46885,50,110.724217
-42.99792,50,110.821931
-40.181728,50,110.916715
-47.987361,50,111.009906
-47.121281,50,111.101496
-37.311402,50,111.193138
-45.803796,50,111.286084
-43.547155,50,111.382353
-36.875393,50,111.47551
-41.104408,50,125.682294
-35.563485,50,125.779487
-43.213987,50,125.885689
-43.687416,50,125.982862
-38.923801,50,126.078265
-48.884154,50,126.169429
-34.77138,50,126.264295
-43.34453,50,126.357589
-40.100947,50,126.435721
-40.809899,50,126.528393
-46.799837,50,126.618875
-37.31607,50,126.71418
-43.721793,50,126.811507
-48.770777,50,126.906319
-44.281243,50,126.999874
-40.216855,50,127.092792
-41.32542,50,127.188299
-34.691288,50,127.286971
-42.219733,50,127.386255
-42.538432,50,127.475665
-39.056874,50,127.568506
-45.079165,50,127.663555
-45.308288,50,127.753819
-33.419657,50,127.842957
-33.956855,50,127.934263
-41.245865,50,128.016301
-37.788398,50,128.103814
-41.042302,50,128.200642
-45.816231,50,128.285626
-37.470156,50,128.382188
-37.175248,50,128.475015
-38.834774,50,128.552683
-41.935106,50,128.64671
-41.058973,50,128.743723
-44.781268,50,128.837595
-43.758163,50,128.930202
-39.430466,50,129.026334
-36.719747,50,129.114217
-48.291719,50,129.208909
-44.718772,50,129.292579
-36.579808,50,129.385992
-36.636943,50,143.577878
-38.258986,50,143.681828
-33.368202,50,143.771909
-33.695032,50,143.869457
-36.974748,50,143.962816
-36.677836,50,144.061119
-34.671402,50,144.154906
-53.40685,50,144.246944
-34.707168,50,144.344809
-39.47287,50,144.440267
-40.387617,50,144.532378
-37.36479,50,144.623769
-34.47929,50,144.709293
-44.643215,50,144.78564
-38.247083,50,144.866472
-35.560061,50,144.955812
-33.769037,50,145.043612
-36.735584,50,145.139517
-39.748049,50,145.218409
-33.495947,50,145.306077
-42.08775,50,145.400967
-36.932886,50,145.485401
