#{"t_start": 1765918545.919108, "env_id": "Reacher-v4"}
r,l,t
-59.395628,50,1.314277
-65.719723,50,1.382976
-62.910453,50,1.444219
-64.048895,50,1.509899
-59.575768,50,1.570499
-56.461786,50,1.636949
-55.737741,50,1.70019
-61.789577,50,1.768038
-67.672476,50,1.838255
-65.975455,50,1.896526
-61.116296,50,1.966281
-55.142988,50,2.040712
-60.053641,50,2.104385
-56.115153,50,2.169106
-58.332933,50,2.238763
-64.84264,50,2.311499
-62.466595,50,2.377956
-59.716636,50,2.444448
-60.08188,50,2.514353
-68.865798,50,2.581544
-54.538367,50,2.648304
-58.174767,50,2.711836
-59.589792,50,2.781319
-54.907179,50,2.838191
-57.764267,50,2.906826
-60.968141,50,2.973001
-72.084841,50,3.045914
-59.881599,50,3.107834
-61.040878,50,3.180104
-63.451167,50,3.251232
-62.312813,50,3.320861
-57.672245,50,3.394141
-67.252104,50,3.465477
-61.548969,50,3.536936
-62.809761,50,3.60099
-55.414689,50,3.670225
-53.824997,50,3.731527
-72.988858,50,3.80091
-68.442894,50,3.86623
-51.236307,50,3.930384
-60.495322,50,4.951657
-68.844348,50,5.023608
-59.778307,50,5.092021
-68.572541,50,5.157377
-60.877559,50,5.225261
-60.797978,50,5.300568
-65.899778,50,5.36912
-61.899138,50,5.431564
-56.78202,50,5.495533
-62.599461,50,5.554226
-52.217041,50,5.618271
-65.407115,50,5.686028
-56.231932,50,5.750925
-71.155296,50,5.815355
-67.11789,50,5.881041
-57.832594,50,5.940066
-66.198475,50,6.011968
-62.850476,50,6.077446
-62.572736,50,6.150947
-72.905888,50,6.210944
-57.560311,50,6.274345
-60.025615,50,6.346216
-58.104299,50,6.408408
-56.551485,50,6.474696
-64.003257,50,6.544861
-57.782097,50,6.604678
-63.871035,50,6.67499
-64.241246,50,6.745035
-66.970828,50,6.814819
-56.494269,50,6.886356
-71.026616,50,6.958391
-63.990782,50,7.010106
-64.289329,50,7.067579
-67.15928,50,7.132244
-60.971711,50,7.193058
-61.082362,50,7.264552
-57.464798,50,7.332549
-49.858348,50,7.397963
-56.991842,50,7.45996
-66.032929,50,7.526405
-58.691388,50,7.595081
-57.94884,50,8.501749
-57.686963,50,8.578202
-53.412107,50,8.649045
-57.368724,50,8.717106
-58.904995,50,8.790089
-51.945954,50,8.85781
-64.753598,50,8.93362
-58.257987,50,9.007943
-58.295038,50,9.077859
-62.714996,50,9.152539
-49.288316,50,9.225526
-57.405306,50,9.301741
-63.416208,50,9.375858
-56.85151,50,9.440778
-59.483118,50,9.513276
-57.706203,50,9.583339
-61.808573,50,9.650146
-52.797147,50,9.711265
-57.886053,50,9.772868
-55.292101,50,9.846762
-56.824263,50,9.913741
-50.606798,50,9.9735
-61.006356,50,10.038995
-63.321706,50,10.11066
-52.293678,50,10.170283
-54.940311,50,10.243536
-59.686184,50,10.310307
-63.849031,50,10.379306
-60.92389,50,10.446577
-52.388899,50,10.510543
-60.812356,50,10.577256
-54.988908,50,10.645609
-60.039995,50,10.714684
-49.324603,50,10.779015
-62.108662,50,10.845908
-56.985397,50,10.912038
-56.554998,50,10.970214
-54.799374,50,11.041369
-61.601547,50,11.10381
-53.01988,50,11.167047
-48.882803,50,11.232694
-54.513813,50,12.145812
-57.490034,50,12.221696
-52.09787,50,12.298158
-54.442096,50,12.366746
-53.312308,50,12.441395
-47.950808,50,12.516161
-52.689092,50,12.586985
-55.366297,50,12.657093
-57.55893,50,12.723219
-59.091236,50,12.792773
-59.286219,50,12.861969
-52.600927,50,12.925955
-69.29575,50,12.990782
-51.800591,50,13.054672
-51.342329,50,13.117602
-65.008518,50,13.182079
-52.082216,50,13.247729
-63.324443,50,13.308582
-51.310719,50,13.374505
-55.956079,50,13.445768
-58.639472,50,13.508186
-52.033201,50,13.571055
-60.815357,50,13.644357
-50.2125,50,13.706949
-54.169296,50,13.784811
-57.506654,50,13.855763
-52.290574,50,13.921699
-61.958139,50,13.991048
-58.060755,50,14.055369
-62.281837,50,14.1308
-49.762399,50,14.20185
-59.221406,50,14.26184
-48.134823,50,14.330795
-58.25624,50,14.396098
-56.604804,50,14.460814
-55.664442,50,14.525584
-58.69739,50,14.593633
-52.490733,50,14.665352
-60.065548,50,14.737782
-49.145681,50,14.807965
-56.532318,50,14.876415
-51.388723,50,15.774369
-54.671594,50,15.849776
-53.843066,50,15.919844
-45.297644,50,15.995584
-49.159202,50,16.070039
-46.482653,50,16.141333
-56.416865,50,16.210908
-47.232038,50,16.28051
-45.841452,50,16.337706
-49.948381,50,16.409669
-50.974759,50,16.476008
-59.232636,50,16.53865
-52.216675,50,16.608224
-59.190801,50,16.675943
-54.498084,50,16.741106
-48.751122,50,16.816153
-53.165347,50,16.886119
-47.885629,50,16.954663
-36.415565,50,17.024127
-40.742773,50,17.091457
-56.592649,50,17.157925
-46.796654,50,17.221523
-56.639903,50,17.292999
-56.410443,50,17.352234
-46.694249,50,17.415535
-57.884154,50,17.484489
-47.441787,50,17.546795
-52.21489,50,17.614222
-48.030778,50,17.686038
-51.600437,50,17.74589
-54.092967,50,17.819641
-53.031317,50,17.887198
-53.304303,50,17.957905
