#{"t_start": 1765841941.0777276, "env_id": "Reacher-v5"}
r,l,t
-62.84368,50,0.054332
-57.652597,50,0.078278
-57.862928,50,0.110635
-61.532692,50,0.135337
-65.01554,50,0.158869
-56.802367,50,0.19292
-62.886134,50,0.216425
-62.363745,50,0.250287
-57.185902,50,0.276062
-57.390501,50,0.309562
-66.991671,50,0.345037
-57.037687,50,0.372558
-55.94893,50,0.405725
-57.828392,50,0.435735
-67.083768,50,0.469226
-57.542246,50,0.501964
-56.081204,50,0.525241
-60.06016,50,0.562332
-60.405617,50,0.592937
-58.817494,50,0.63401
-61.738958,50,0.672247
-63.782475,50,0.70393
-61.763644,50,0.72952
-63.866321,50,0.754647
-60.18916,50,0.791081
-67.314311,50,0.814962
-64.680638,50,0.839543
-52.489188,50,0.864645
-55.929941,50,0.901172
-62.884359,50,0.935097
-56.186576,50,0.964036
-59.727186,50,0.986852
-68.327273,50,1.02945
-60.431649,50,1.059138
-66.303337,50,1.09645
-62.618146,50,1.123751
-60.129799,50,1.146154
-60.552909,50,1.175988
-67.912365,50,1.205365
-54.793011,50,1.23392
-61.985065,50,1.972446
-55.646355,50,2.002917
-62.397583,50,2.035901
-62.438031,50,2.072193
-65.413727,50,2.099218
-64.662645,50,2.1249
-48.613936,50,2.156363
-65.814709,50,2.195036
-61.632184,50,2.238329
-67.572191,50,2.268124
-58.025679,50,2.300009
-66.874551,50,2.32495
-54.100087,50,2.349299
-58.12082,50,2.375278
-56.215773,50,2.400556
-66.018422,50,2.435297
-60.467198,50,2.46507
-63.138205,50,2.507619
-55.361252,50,2.532363
-57.940971,50,2.571939
-71.385066,50,2.603224
-64.353903,50,2.63434
-63.464955,50,2.663856
-66.690614,50,2.69872
-73.485355,50,2.740292
-60.490401,50,2.767559
-61.743277,50,2.793729
-61.71606,50,2.820223
-63.715381,50,2.849722
-64.226113,50,2.879531
-58.980349,50,2.922768
-60.331365,50,2.953923
-53.898876,50,2.98435
-53.935251,50,3.016683
-65.081573,50,3.050092
-57.392505,50,3.082784
-61.939178,50,3.121062
-66.485192,50,3.150071
-58.925399,50,3.187245
-58.17475,50,3.221963
-63.661048,50,3.253383
-61.984555,50,3.999861
-67.30545,50,4.038479
-62.630361,50,4.077788
-66.164631,50,4.115114
-64.999417,50,4.154094
-53.070047,50,4.195749
-58.371537,50,4.238103
-55.044104,50,4.275877
-61.955289,50,4.314773
-51.107948,50,4.352667
-53.548592,50,4.383021
-63.041927,50,4.413139
-55.507123,50,4.452963
-58.389983,50,4.484622
