#{"t_start": 1765841793.0438852, "env_id": "Reacher-v5"}
r,l,t
-63.395502,50,0.567501
-65.630636,50,0.605499
-59.864211,50,0.639304
-58.804264,50,0.674609
-59.460077,50,0.700375
-58.647662,50,0.727156
-58.162454,50,0.754103
-61.547233,50,0.778105
-58.710642,50,0.800137
-56.890606,50,0.84117
-48.879451,50,0.874016
-61.23572,50,0.904872
-58.711501,50,0.931293
-60.839461,50,0.963491
-59.620805,50,0.994351
-60.707322,50,1.020892
-64.819238,50,1.052912
-67.051956,50,1.076857
-56.540921,50,1.103142
-59.411386,50,1.132449
-62.848772,50,1.155783
-59.554958,50,1.178006
-63.418279,50,1.199517
-66.683282,50,1.221422
-67.077787,50,1.243503
-72.295404,50,1.268337
-63.030021,50,1.299301
-67.546487,50,1.32302
-62.685309,50,1.358675
-60.927461,50,1.386861
-56.030277,50,1.408834
-55.386925,50,1.431141
-61.76139,50,1.45306
-52.837387,50,1.474743
-58.20251,50,1.497171
-75.220122,50,1.51874
-63.423537,50,1.555585
-56.625933,50,1.595335
-55.776507,50,1.63455
-60.843189,50,1.672859
-61.020626,50,2.566382
-66.316672,50,2.604863
-53.148891,50,2.643154
-67.053703,50,2.684705
-57.923173,50,2.721877
-57.578423,50,2.759008
-58.853481,50,2.800135
-61.287878,50,2.840299
-59.674251,50,2.87764
-63.279872,50,2.916566
-51.018888,50,2.957202
-58.366119,50,2.995926
-71.709004,50,3.034605
-64.63471,50,3.07201
-57.774593,50,3.1098
-53.686384,50,3.135271
-61.780078,50,3.162009
-56.162988,50,3.188747
-48.006367,50,3.224248
-63.478772,50,3.254186
-62.291313,50,3.279841
-66.534467,50,3.306087
-70.979809,50,3.332026
-58.0684,50,3.361855
-53.271886,50,3.387434
-52.012172,50,3.411236
-65.959969,50,3.441233
-62.364816,50,3.472162
-63.152616,50,3.498001
-59.104288,50,3.533421
-64.922665,50,3.55927
-52.243578,50,3.594063
-58.131624,50,3.633981
-59.100707,50,3.678084
-61.715626,50,3.717212
-60.890738,50,3.755756
-53.070012,50,3.794985
-64.641434,50,3.835023
-52.423175,50,3.87342
-62.371283,50,3.914623
-57.880826,50,3.954126
-64.809291,50,5.213338
-56.186917,50,5.254151
-51.620238,50,5.292727
-48.084661,50,5.3312
-61.829035,50,5.368006
-58.914712,50,5.405115
-58.460959,50,5.443976
-57.245702,50,5.483104
-64.826579,50,5.522578
-61.290037,50,5.562888
-63.088652,50,5.603083
-54.905449,50,5.643572
-54.812749,50,5.683696
-62.038493,50,5.721968
-49.964708,50,5.763922
-59.302963,50,5.804362
-48.00717,50,5.843964
-54.352899,50,5.883595
-57.063881,50,5.926375
-58.010915,50,5.965696
-56.582971,50,6.005859
-62.533211,50,6.045724
-61.99678,50,6.083134
-58.532521,50,6.12275
-57.963034,50,6.159518
-56.86291,50,6.198366
-69.06457,50,6.233317
-55.455188,50,6.275102
-56.034093,50,6.313915
-55.839047,50,6.354417
-59.972539,50,6.393801
-65.134817,50,6.431419
-52.582603,50,6.470427
-56.378453,50,6.508103
-56.386423,50,6.547176
-49.507607,50,6.585054
-58.767011,50,6.625462
-58.522225,50,6.661661
-50.284912,50,6.70151
-59.313561,50,6.741782
-51.196449,50,6.780439
-61.711621,50,7.68562
-52.473818,50,7.723881
-52.831129,50,7.767083
-54.888367,50,7.80648
-60.568441,50,7.844522
-52.390501,50,7.874858
-48.368934,50,7.911953
-54.25174,50,7.949867
-53.287577,50,7.989589
-53.655722,50,8.027385
-54.982124,50,8.067965
-51.918879,50,8.107808
-55.146401,50,8.137989
-51.589264,50,8.179786
-61.125586,50,8.219483
-60.336453,50,8.25893
-52.879508,50,8.297951
-51.292692,50,8.338827
-56.749514,50,8.377945
-61.481044,50,8.415762
-62.981992,50,8.453562
-61.370848,50,8.490987
-47.122655,50,8.532752
-52.873337,50,8.571036
-65.558377,50,8.612488
-53.119392,50,8.650378
-52.089864,50,8.687429
-56.90185,50,8.726591
-54.663364,50,8.765278
-51.270132,50,8.805862
-57.217531,50,8.846419
-59.609103,50,8.884544
-56.195033,50,8.925788
-58.601073,50,8.963911
-59.473508,50,9.001828
-53.045137,50,9.038788
-57.43529,50,9.079626
-60.283199,50,9.11889
-52.343687,50,9.158388
-52.878064,50,9.200386
-58.412772,50,9.239862
-59.782525,50,10.258936
-54.435836,50,10.297534
-55.090123,50,10.336717
-50.507692,50,10.375464
-52.613777,50,10.41535
-46.38553,50,10.454265
-58.486476,50,10.493854
-55.116903,50,10.532786
-53.070127,50,10.570332
-54.085596,50,10.60854
-50.644492,50,10.650082
-53.045435,50,10.689422
-59.78094,50,10.731312
-54.983248,50,10.769784
-57.226045,50,10.810527
-54.910871,50,10.849412
-52.201285,50,10.886815
-57.143244,50,10.92574
-47.430309,50,10.963173
-55.417208,50,11.003105
-53.73562,50,11.043222
-54.898213,50,11.082555
-53.598244,50,11.120628
-53.945407,50,11.16138
-56.630111,50,11.194634
-59.094831,50,11.234306
-55.4559,50,11.272413
-50.302398,50,11.312877
-50.48829,50,11.352378
-57.351046,50,11.388842
-57.058072,50,11.428716
