Algorithm,Episode,Step,DistanceError
Vanilla PPO,0,1,0.33109087650652963
Vanilla PPO,0,2,0.49492852271011795
Vanilla PPO,0,3,0.6223696204116864
Vanilla PPO,0,4,0.7191817045531652
Vanilla PPO,0,5,0.791223302424207
Vanilla PPO,0,6,0.8441718862165803
Vanilla PPO,0,7,0.8833175219503748
Vanilla PPO,0,8,0.9133770037941871
Vanilla PPO,0,9,0.9383349505041443
Vanilla PPO,0,10,0.961327458415801
Vanilla PPO,0,11,0.9845978184989644
Vanilla PPO,0,12,1.0095356396052793
Vanilla PPO,0,13,1.036798920057814
Vanilla PPO,0,14,1.066492983074755
Vanilla PPO,0,15,1.0983700321738576
Vanilla PPO,0,16,1.1320128870662625
Vanilla PPO,0,17,1.1669809821589836
Vanilla PPO,0,18,1.202910248963389
Vanilla PPO,0,19,1.2395679546652911
Vanilla PPO,0,20,1.2768734562303536
Vanilla PPO,0,21,1.3148912394916128
Vanilla PPO,0,22,1.3538126713340224
Vanilla PPO,0,23,1.3939263449647377
Vanilla PPO,0,24,1.4355909180393878
Vanilla PPO,0,25,1.479209626910789
Vanilla PPO,0,26,1.5252066344032602
Vanilla PPO,0,27,1.5740269639859723
Vanilla PPO,0,28,1.6261200078432936
Vanilla PPO,0,29,1.6819454683741415
Vanilla PPO,0,30,1.741980444185742
Vanilla PPO,0,31,1.8067228983644426
Vanilla PPO,0,32,1.8766965211789464
Vanilla PPO,0,33,1.9524487049755548
Vanilla PPO,0,34,2.03453932996929
Vanilla PPO,0,35,2.1235211221193206
Vanilla PPO,0,36,2.2199098931735195
Vanilla PPO,0,37,2.3241468084029067
Vanilla PPO,0,38,2.4365578958525376
Vanilla PPO,0,39,2.5573156124539933
Vanilla PPO,0,40,2.6864132577609254
Vanilla PPO,0,41,2.8236550629771777
Vanilla PPO,0,42,2.9686764804347128
Vanilla PPO,0,43,3.1209899384784245
Vanilla PPO,0,44,3.280061842939792
Vanilla PPO,0,45,3.4454127807967647
Vanilla PPO,0,46,3.6167383721897557
Vanilla PPO,0,47,3.7940385825460203
Vanilla PPO,0,48,3.9777441009246948
Vanilla PPO,0,49,4.168815906192318
Vanilla PPO,0,50,0.3643853230280763
Vanilla PPO,1,1,0.633907105228174
Vanilla PPO,1,2,1.3029747503837628
Vanilla PPO,1,3,1.916137492047788
Vanilla PPO,1,4,2.4682933635374438
Vanilla PPO,1,5,2.9650057739089437
Vanilla PPO,1,6,3.4196745022121813
Vanilla PPO,1,7,3.8459623862039183
Vanilla PPO,1,8,4.252832935384994
Vanilla PPO,1,9,4.643370041898497
Vanilla PPO,1,10,5.015566672626136
Vanilla PPO,1,11,5.363718130861247
Vanilla PPO,1,12,5.679875145587546
Vanilla PPO,1,13,5.955213109353687
Vanilla PPO,1,14,6.1813182398133035
Vanilla PPO,1,15,6.351349155334147
Vanilla PPO,1,16,6.460915244834678
Vanilla PPO,1,17,6.508500181713114
Vanilla PPO,1,18,6.4954171047288805
Vanilla PPO,1,19,6.425474480465666
Vanilla PPO,1,20,6.304533398326548
Vanilla PPO,1,21,6.140040461191203
Vanilla PPO,1,22,5.940466012592735
Vanilla PPO,1,23,5.714627800158425
Vanilla PPO,1,24,5.470984314894472
Vanilla PPO,1,25,5.217103056525901
Vanilla PPO,1,26,4.959411022188487
Vanilla PPO,1,27,4.703181749626266
Vanilla PPO,1,28,4.452557435456175
Vanilla PPO,1,29,4.210428959711883
Vanilla PPO,1,30,3.978150047118818
Vanilla PPO,1,31,3.7551940814980718
Vanilla PPO,1,32,3.5389020253375496
Vanilla PPO,1,33,0.7502963123811937
Vanilla PPO,1,34,0.5367467144686208
Vanilla PPO,1,35,0.8812493993083
Vanilla PPO,1,36,1.2058084136891216
Vanilla PPO,1,37,1.4923153665477413
Vanilla PPO,1,38,1.732561148472771
Vanilla PPO,1,39,1.9250506727594132
Vanilla PPO,1,40,2.0725898137695697
Vanilla PPO,1,41,2.18015268782852
Vanilla PPO,1,42,2.2533928361714994
Vanilla PPO,1,43,2.2977696849038978
Vanilla PPO,1,44,2.318108123496376
Vanilla PPO,1,45,2.3184235202533428
Vanilla PPO,1,46,2.3019108612780745
Vanilla PPO,1,47,2.27103057780732
Vanilla PPO,1,48,2.22764692243399
Vanilla PPO,1,49,2.1731847233284
Vanilla PPO,1,50,0.19545350063190317
Vanilla PPO,2,1,1.644115067276152
Vanilla PPO,2,2,3.060515150703795
Vanilla PPO,2,3,4.191596495138976
Vanilla PPO,2,4,5.037897809373492
Vanilla PPO,2,5,5.604518976519367
Vanilla PPO,2,6,5.908464206554124
Vanilla PPO,2,7,5.981084904440043
Vanilla PPO,2,8,5.863341352223134
Vanilla PPO,2,9,5.597668510286126
Vanilla PPO,2,10,5.222253841457839
Vanilla PPO,2,11,4.770319620173344
Vanilla PPO,2,12,4.272389093155699
Vanilla PPO,2,13,3.757926202547563
Vanilla PPO,2,14,3.2544653618128483
Vanilla PPO,2,15,2.785131019260102
Vanilla PPO,2,16,2.366573915716993
Vanilla PPO,2,17,2.0084371061729076
Vanilla PPO,2,18,1.713987424260827
Vanilla PPO,2,19,1.4810100257763323
Vanilla PPO,2,20,1.302591042958744
Vanilla PPO,2,21,1.1681604747926777
Vanilla PPO,2,22,1.0652775633583451
Vanilla PPO,2,23,0.9818943779163151
Vanilla PPO,2,24,0.9082118836324157
Vanilla PPO,2,25,0.8375060633356066
Vanilla PPO,2,26,0.7660090701243154
Vanilla PPO,2,27,0.692282431766738
Vanilla PPO,2,28,0.616473112430279
Vanilla PPO,2,29,0.5396609918607774
Vanilla PPO,2,30,0.46336067273491477
Vanilla PPO,2,31,0.3891771405173296
Vanilla PPO,2,32,0.3185938521582251
Vanilla PPO,2,33,0.25285326026518384
Vanilla PPO,2,34,0.19291561867966017
Vanilla PPO,2,35,0.13947693218997817
Vanilla PPO,2,36,0.0930784296435397
Vanilla PPO,2,37,0.05451260455084701
Vanilla PPO,2,38,0.027272500262361898
Vanilla PPO,2,39,0.02551862053811366
Vanilla PPO,2,40,0.041036792338158865
Vanilla PPO,2,41,0.05594279110724937
Vanilla PPO,2,42,0.06729986819026686
Vanilla PPO,2,43,0.07500669342786663
Vanilla PPO,2,44,0.07944229168210112
Vanilla PPO,2,45,0.08109481119311308
Vanilla PPO,2,46,0.08046437507158462
Vanilla PPO,2,47,0.07802602744292547
Vanilla PPO,2,48,0.07421524717399212
Vanilla PPO,2,49,0.06941846275741843
Vanilla PPO,2,50,0.11839770234839167
Vanilla PPO,3,1,1.7389857768815822
Vanilla PPO,3,2,3.275145137846165
Vanilla PPO,3,3,4.502446449413491
Vanilla PPO,3,4,5.441841374459001
Vanilla PPO,3,5,6.13135171356939
Vanilla PPO,3,6,6.617565148698537
Vanilla PPO,3,7,6.947169037816088
Vanilla PPO,3,8,7.158589828663347
Vanilla PPO,3,9,7.278634121728849
Vanilla PPO,3,10,7.323455252271233
Vanilla PPO,3,11,7.300927458926332
Vanilla PPO,3,12,7.213656416074264
Vanilla PPO,3,13,7.0627577000999295
Vanilla PPO,3,14,6.850627728468771
Vanilla PPO,3,15,6.581033071313519
Vanilla PPO,3,16,6.257505852027676
Vanilla PPO,3,17,5.882631298339428
Vanilla PPO,3,18,5.459770326028721
Vanilla PPO,3,19,4.996109394754681
Vanilla PPO,3,20,4.503996435759282
Vanilla PPO,3,21,3.9990275355327634
Vanilla PPO,3,22,3.4966692487916453
Vanilla PPO,3,23,3.00992557228706
Vanilla PPO,3,24,2.5486796415352724
Vanilla PPO,3,25,2.1200262866554658
Vanilla PPO,3,26,1.7288450831415323
Vanilla PPO,3,27,1.3782530621292723
Vanilla PPO,3,28,1.0698209128280676
Vanilla PPO,3,29,0.8036111360919328
Vanilla PPO,3,30,0.578201108817586
Vanilla PPO,3,31,0.39087769679993595
Vanilla PPO,3,32,0.23817470436919352
Vanilla PPO,3,33,0.11748811622794836
Vanilla PPO,3,34,0.04347336392557895
Vanilla PPO,3,35,0.08173559831392961
Vanilla PPO,3,36,0.13930433293841626
Vanilla PPO,3,37,0.18700997113562717
Vanilla PPO,3,38,0.22496071111297009
Vanilla PPO,3,39,0.25481289258914186
Vanilla PPO,3,40,0.2781397229004309
Vanilla PPO,3,41,0.29625040275362013
Vanilla PPO,3,42,0.31019529451113514
Vanilla PPO,3,43,0.32080697783456325
Vanilla PPO,3,44,0.32874007537750155
Vanilla PPO,3,45,0.3345092167826752
Vanilla PPO,3,46,0.338519082876277
Vanilla PPO,3,47,0.34108704725190475
Vanilla PPO,3,48,0.3424635198543442
Vanilla PPO,3,49,0.342845846214548
Vanilla PPO,3,50,0.32995926253198526
Vanilla PPO,4,1,0.4289953775895487
Vanilla PPO,4,2,0.7421999495824256
Vanilla PPO,4,3,0.9915166845153369
Vanilla PPO,4,4,1.1840516839211717
Vanilla PPO,4,5,1.3273347276085121
Vanilla PPO,4,6,1.428736973111464
Vanilla PPO,4,7,1.495296115600895
Vanilla PPO,4,8,1.5336094711974222
Vanilla PPO,4,9,1.5497361336311213
Vanilla PPO,4,10,1.5491121787237307
Vanilla PPO,4,11,1.5364826462389227
Vanilla PPO,4,12,1.5158510223673396
Vanilla PPO,4,13,1.490456614872302
Vanilla PPO,4,14,1.4627828861731673
Vanilla PPO,4,15,1.4345979006220468
Vanilla PPO,4,16,1.4070245456796446
Vanilla PPO,4,17,1.380636795560674
Vanilla PPO,4,18,1.3555735600533076
Vanilla PPO,4,19,1.3316585186348422
Vanilla PPO,4,20,1.3085175722999827
Vanilla PPO,4,21,1.285677634230515
Vanilla PPO,4,22,1.2626498324966147
Vanilla PPO,4,23,1.2389850094406527
Vanilla PPO,4,24,1.214310461634051
Vanilla PPO,4,25,1.1883439887053713
Vanilla PPO,4,26,1.1608966961579523
Vanilla PPO,4,27,1.131863010262407
Vanilla PPO,4,28,1.1012070915191954
Vanilla PPO,4,29,1.0689459788437157
Vanilla PPO,4,30,1.03513478123789
Vanilla PPO,4,31,0.9998523520111132
Vanilla PPO,4,32,0.9631908527817395
Vanilla PPO,4,33,0.925248764937537
Vanilla PPO,4,34,0.8861255139453854
Vanilla PPO,4,35,0.8459210345186284
Vanilla PPO,4,36,0.8047343265999495
Vanilla PPO,4,37,0.7626655580221874
Vanilla PPO,4,38,0.7198166315907057
Vanilla PPO,4,39,0.6762949141930127
Vanilla PPO,4,40,0.6322141065649298
Vanilla PPO,4,41,0.587695895692332
Vanilla PPO,4,42,0.5428728712142277
Vanilla PPO,4,43,0.49788860560330905
Vanilla PPO,4,44,0.45290057499768877
Vanilla PPO,4,45,0.40808175799595264
Vanilla PPO,4,46,0.36362680525484636
Vanilla PPO,4,47,0.3197591768233812
Vanilla PPO,4,48,0.2767487866300071
Vanilla PPO,4,49,0.23494362945658176
Vanilla PPO,4,50,0.08268685254638117
Vanilla PPO,5,1,1.9122466976906984
Vanilla PPO,5,2,3.38245229374851
Vanilla PPO,5,3,4.663805628982245
Vanilla PPO,5,4,5.714266562403173
Vanilla PPO,5,5,6.51309454023215
Vanilla PPO,5,6,7.055405852154818
Vanilla PPO,5,7,7.353345740311396
Vanilla PPO,5,8,7.438604816217957
Vanilla PPO,5,9,7.353638766662358
Vanilla PPO,5,10,7.135807809964531
Vanilla PPO,5,11,6.8088317559578835
Vanilla PPO,5,12,6.385884077502566
Vanilla PPO,5,13,5.878441551035078
Vanilla PPO,5,14,5.303883888142949
Vanilla PPO,5,15,4.688034392888632
Vanilla PPO,5,16,4.062392096688569
Vanilla PPO,5,17,3.4583400408064704
Vanilla PPO,5,18,2.9014894959680317
Vanilla PPO,5,19,2.4085510134908636
Vanilla PPO,5,20,1.9873248071634668
Vanilla PPO,5,21,1.6387142333457911
Vanilla PPO,5,22,1.3591175102021142
Vanilla PPO,5,23,1.142105101567541
Vanilla PPO,5,24,0.9791993136027781
Vanilla PPO,5,25,0.8602580740762025
Vanilla PPO,5,26,0.7741769959975108
Vanilla PPO,5,27,0.7101439210549435
Vanilla PPO,5,28,0.6589612402862066
Vanilla PPO,5,29,0.6137962113475501
Vanilla PPO,5,30,0.57021156776401
Vanilla PPO,5,31,0.5257508588246056
Vanilla PPO,5,32,0.47940291228763104
Vanilla PPO,5,33,0.43112811277072816
Vanilla PPO,5,34,0.38150734905717604
Vanilla PPO,5,35,0.33150747377006284
