#{"t_start": 1765842978.2926474, "env_id": "Reacher-v5"}
r,l,t
-64.003834,50,0.208659
-62.756845,50,0.240639
-70.311208,50,0.2799
-61.345088,50,0.313316
-64.402598,50,0.338349
-64.266889,50,0.379045
-61.744429,50,0.400642
-59.382456,50,0.432845
-69.096686,50,0.459439
-59.413988,50,0.487911
-57.818284,50,0.524682
-62.702135,50,0.549746
-54.852955,50,0.575158
-59.465095,50,0.60292
-67.166399,50,0.626762
-63.304865,50,0.650841
-60.15748,50,0.683507
-53.915778,50,0.70692
-56.327581,50,0.741282
-67.931555,50,0.77419
-53.065386,50,0.803457
-63.38506,50,0.831791
-56.79766,50,0.854381
-59.982731,50,0.878729
-59.534079,50,0.899316
-58.142069,50,0.935949
-70.907163,50,0.95901
-63.69101,50,0.991077
-60.072701,50,1.031159
-61.392755,50,1.066257
-61.529643,50,1.096783
-66.713395,50,1.134427
-62.67082,50,1.167681
-61.886321,50,1.199744
-60.418139,50,1.229216
-62.583149,50,1.256462
-59.221976,50,1.282089
-64.64415,50,1.315235
-59.226813,50,1.352198
-51.504327,50,1.391717
-64.950169,50,2.066132
-49.294062,50,2.10229
-57.001218,50,2.13266
-56.562692,50,2.165973
-65.041597,50,2.199053
-62.999283,50,2.233657
-60.229922,50,2.266434
-55.538657,50,2.298628
-61.222223,50,2.336147
-63.762229,50,2.375539
-49.476531,50,2.415063
-64.753685,50,2.451969
-57.558263,50,2.491558
-64.713763,50,2.520539
-65.529852,50,2.556083
-60.696784,50,2.592372
-63.604226,50,2.62677
-54.309556,50,2.665741
-62.214925,50,2.699012
-59.44261,50,2.731204
-62.627455,50,2.754113
-72.437405,50,2.792527
-60.726381,50,2.826244
-59.091642,50,2.856699
-53.924581,50,2.89363
-48.677423,50,2.930498
-65.681675,50,2.973321
-63.774281,50,3.015169
-66.465651,50,3.036971
-54.160906,50,3.065743
-57.075277,50,3.090519
-50.5024,50,3.12861
-57.088575,50,3.162586
-67.761169,50,3.202485
-58.910899,50,3.227305
-54.983305,50,3.269857
-49.86532,50,3.306259
-69.232604,50,3.333097
-70.248974,50,3.370744
-63.158337,50,3.408961
-65.097229,50,3.447264
-67.860388,50,4.04113
-49.814069,50,4.076953
-47.62963,50,4.110073
-65.051209,50,4.151168
-64.263943,50,4.183426
-54.768469,50,4.210428
-48.9081,50,4.249969
-50.621,50,4.282377
-55.326441,50,4.315588
-55.383732,50,4.352618
-56.391753,50,4.391058
-60.295721,50,4.429537
-58.881976,50,4.468884
-65.308622,50,4.507195
-56.281521,50,4.547102
-57.878531,50,4.585857
-55.286853,50,4.623954
-55.28587,50,4.662433
-58.464468,50,4.702173
-52.684067,50,4.742257
-53.837801,50,4.786557
-48.076336,50,4.816901
-56.453976,50,4.851192
-56.402136,50,4.88187
-63.024701,50,4.906773
-62.607825,50,4.946215
-58.705109,50,4.977432
-52.726048,50,5.004019
-63.244924,50,5.041223
-64.97796,50,5.068362
-62.496486,50,5.098055
-56.650016,50,5.129519
-58.476492,50,5.156778
-63.037446,50,5.190725
-52.237162,50,5.225481
-61.475977,50,5.253896
