#{"t_start": 1765843115.0687966, "env_id": "Reacher-v5"}
r,l,t
-54.051787,50,0.104448
-60.444914,50,0.158363
-65.915895,50,0.201213
-55.023365,50,0.246994
-65.333019,50,0.293977
-59.815273,50,0.341338
-59.361476,50,0.384875
-55.284648,50,0.444287
-58.552524,50,0.490144
-57.589498,50,0.533462
-65.86511,50,0.582004
-68.05643,50,0.628403
-60.961409,50,0.671609
-63.388454,50,0.715957
-58.654977,50,0.760428
-61.326849,50,0.817852
-73.267541,50,0.861148
-58.896781,50,0.905671
-66.854842,50,0.953276
-64.068259,50,1.002205
-67.024771,50,1.056082
-62.987942,50,1.106784
-60.370159,50,1.159936
-57.81662,50,1.212741
-70.786254,50,1.255075
-64.597911,50,1.297422
-64.954416,50,1.338959
-64.677179,50,1.38081
-54.870949,50,1.432137
-60.519111,50,1.474198
-63.482186,50,1.533814
-60.135975,50,1.583997
-56.526916,50,1.627119
-57.5306,50,1.669389
-61.951743,50,1.710956
-66.773846,50,1.752279
-56.701397,50,1.799403
-62.340267,50,1.846491
-55.44985,50,1.89393
-65.712539,50,1.938957
-60.124383,50,22.649954
-56.737436,50,22.700157
-59.995271,50,22.747192
-61.428308,50,22.789343
-55.156376,50,22.838759
-60.594303,50,22.886927
-63.1265,50,22.930006
-57.376169,50,22.971933
-52.934742,50,23.029407
-54.740822,50,23.082082
-63.371467,50,23.131526
-67.154514,50,23.174697
-54.061239,50,23.21767
-62.253638,50,23.259171
-54.418341,50,23.305041
-65.713026,50,23.346739
-54.503394,50,23.389901
-54.205224,50,23.430882
-59.023745,50,23.476413
-52.287028,50,23.517853
-53.160702,50,23.565243
-67.931506,50,23.607395
-61.766521,50,23.649603
-62.603938,50,23.696413
-63.360036,50,23.738715
-62.967569,50,23.781461
-65.080013,50,23.823318
-57.660001,50,23.865398
-47.271068,50,23.907408
-54.273918,50,23.955048
-60.488989,50,24.002127
-60.172141,50,24.059663
-61.27996,50,24.104095
-60.286497,50,24.155857
-72.014476,50,24.201062
-57.989715,50,24.243346
-57.781193,50,24.285939
-62.078448,50,24.330501
-65.755531,50,24.37545
-68.148647,50,24.418412
-55.674371,50,24.461176
-54.062811,50,44.92031
-62.240122,50,44.991461
-61.5358,50,45.06983
-61.919111,50,45.136539
-60.441194,50,45.203645
-50.213449,50,45.278165
-56.424533,50,45.354793
-63.336985,50,45.430739
-52.600976,50,45.497717
-55.493854,50,45.571845
-55.122857,50,45.616744
-57.299476,50,45.65915
-57.952005,50,45.708308
-56.437918,50,45.750818
-60.383094,50,45.794952
-63.993692,50,45.838304
-62.600742,50,45.885206
-60.512156,50,45.930124
-59.90987,50,45.976998
-55.086805,50,46.024028
-53.85808,50,46.066236
-57.348641,50,46.107888
-49.585576,50,46.157976
-55.945214,50,46.209581
-60.782862,50,46.251692
-58.501385,50,46.294014
-48.694375,50,46.33598
-54.521951,50,46.380762
-63.571914,50,46.422856
-53.828942,50,46.464847
-56.580168,50,46.516334
-62.690107,50,46.568668
-57.538395,50,46.615477
-52.110341,50,46.66143
-57.441966,50,46.707461
-48.276815,50,46.748922
-61.676033,50,46.795173
-51.25949,50,46.847878
-62.652462,50,46.897729
-61.533733,50,46.940561
-54.439609,50,46.987871
-57.329184,50,70.19018
-53.791598,50,70.239931
-56.736488,50,70.296715
-56.272841,50,70.342592
-53.465168,50,70.384975
-56.470098,50,70.428987
-55.544037,50,70.474126
-58.912072,50,70.517266
-61.062008,50,70.559916
-57.742149,50,70.602312
-58.173218,50,70.64432
-50.618766,50,70.686744
-57.324271,50,70.735412
-57.056106,50,70.777967
-55.124347,50,70.820045
