#{"t_start": 1765842830.6764934, "env_id": "Reacher-v5"}
r,l,t
-62.383144,50,0.558161
-64.053617,50,0.59735
-67.406213,50,0.637376
-65.368468,50,0.676459
-58.332778,50,0.713935
-55.959035,50,0.748773
-61.525033,50,0.786396
-54.433825,50,0.825842
-59.731026,50,0.864644
-61.945789,50,0.903944
-65.186265,50,0.943319
-60.594067,50,0.9836
-65.285662,50,1.023683
-58.390208,50,1.061876
-58.833147,50,1.101959
-63.974199,50,1.142364
-64.706357,50,1.181107
-65.883711,50,1.220142
-63.584723,50,1.259413
-63.422575,50,1.296683
-54.043686,50,1.333828
-63.260399,50,1.372612
-59.633669,50,1.413868
-49.907865,50,1.454093
-72.614764,50,1.494176
-60.442355,50,1.535029
-59.537224,50,1.576263
-51.081385,50,1.617032
-61.303594,50,1.658187
-54.520624,50,1.698109
-62.265419,50,1.738409
-64.820127,50,1.776365
-61.261758,50,1.816353
-68.569367,50,1.854146
-58.202597,50,1.893243
-61.561934,50,1.932235
-64.099975,50,1.974477
-64.289278,50,2.014286
-60.875342,50,2.054196
-63.218378,50,2.094685
-62.740167,50,2.997302
-65.217374,50,3.038169
-54.099097,50,3.078195
-64.135404,50,3.116649
-61.475108,50,3.15487
-56.990567,50,3.194419
-52.876398,50,3.234593
-60.623373,50,3.27214
-54.417948,50,3.313182
-62.301276,50,3.350173
-56.06957,50,3.391272
-54.262753,50,3.428886
-58.485279,50,3.471333
-50.791274,50,3.509886
-58.592296,50,3.551277
-61.393335,50,3.589833
-67.95467,50,3.630127
-69.446337,50,3.665468
-62.163682,50,3.701942
-52.836023,50,3.739697
-66.837218,50,3.779281
-63.097486,50,3.817368
-61.941073,50,3.856059
-56.254536,50,3.894503
-61.712374,50,3.930681
-62.706083,50,3.9697
-57.43024,50,4.006458
-64.265536,50,4.048617
-57.308077,50,4.086269
-63.653398,50,4.123755
-61.70707,50,4.162331
-58.089473,50,4.199931
-56.935059,50,4.239059
-61.140862,50,4.276652
-61.006591,50,4.318122
-64.210135,50,4.358858
-53.997513,50,4.402635
-60.485599,50,4.439517
-67.044466,50,4.47836
-69.385842,50,4.516864
-50.197101,50,4.552234
-57.986171,50,5.258601
-58.076319,50,5.299347
-53.192114,50,5.337763
-60.367507,50,5.372383
-51.006574,50,5.412847
-58.007873,50,5.44897
-52.356293,50,5.489503
-56.723272,50,5.528247
-50.165542,50,5.56563
-58.04543,50,5.604766
-57.496445,50,5.645946
-47.468489,50,5.683169
-57.748633,50,5.722696
-54.867608,50,5.759354
-55.834925,50,5.798032
-56.20254,50,5.838232
-55.713949,50,5.875926
-57.709515,50,5.915281
-67.992445,50,5.956031
-53.669691,50,5.995606
-55.46307,50,6.03392
-63.504985,50,6.071923
-56.087943,50,6.110311
-55.357801,50,6.150209
-62.248324,50,6.189305
-56.981981,50,6.22244
-57.463391,50,6.263499
-57.821956,50,6.303222
-60.455701,50,6.343416
-59.253381,50,6.382101
-63.901518,50,6.420074
-52.332538,50,6.458262
-54.005358,50,6.499216
-55.553035,50,6.539073
-60.814291,50,6.578347
-61.575763,50,6.617026
-63.255275,50,6.65962
-67.128908,50,6.69736
-65.124635,50,6.735272
-51.075461,50,6.777913
-54.960192,50,6.816336
-57.375929,50,7.508674
-50.485083,50,7.547221
-59.574068,50,7.585999
-55.389385,50,7.626333
-61.475622,50,7.663392
-58.83755,50,7.703387
-60.741395,50,7.742943
-54.479406,50,7.78101
-53.739011,50,7.82233
-51.340981,50,7.859463
-57.199298,50,7.900994
-47.767935,50,7.933647
-61.244345,50,7.968305
-64.081121,50,8.007944
-50.699383,50,8.042997
-51.174828,50,8.085219
-46.922137,50,8.124095
-54.84463,50,8.163132
-54.684538,50,8.200396
-58.040661,50,8.242792
-48.179823,50,8.276903
-56.273597,50,8.31471
-46.676347,50,8.354097
-51.746518,50,8.391882
-61.131936,50,8.431185
-59.54024,50,8.471792
-55.532605,50,8.510074
-51.158648,50,8.551201
-56.047445,50,8.590419
-59.325842,50,8.629055
-58.188556,50,8.669014
-59.929167,50,8.709714
-66.320599,50,8.75011
-55.365593,50,8.789943
-56.153372,50,8.831435
-60.497357,50,8.868291
-46.370966,50,8.905975
-57.002551,50,8.944723
-54.118051,50,8.980991
-58.26107,50,9.021684
-52.344701,50,9.061473
-63.351402,50,9.822899
-62.090687,50,9.865054
-53.416774,50,9.903651
-56.241466,50,9.942853
-60.040173,50,9.981113
-55.365469,50,10.021347
-53.459234,50,10.061412
-58.692772,50,10.099637
-57.425676,50,10.136296
-50.912523,50,10.178531
-51.994499,50,10.218971
-60.836369,50,10.256937
-56.336817,50,10.293875
-59.794611,50,10.334706
-47.719486,50,10.372491
-58.200022,50,10.411629
-53.553249,50,10.452806
-51.456412,50,10.491053
-49.759236,50,10.530796
-56.9519,50,10.572296
-54.039581,50,10.611437
-59.736534,50,10.651896
