#{"t_start": 1765845581.09782, "env_id": "Reacher-v5"}
r,l,t
-55.025601,50,0.220697
-57.685937,50,0.259937
-64.463694,50,0.29876
-54.223854,50,0.338968
-56.834843,50,0.378842
-63.677108,50,0.416811
-54.85825,50,0.46131
-54.483447,50,0.500787
-68.356882,50,0.539084
-58.004346,50,0.57708
-52.201187,50,0.616776
-63.283474,50,0.656725
-57.89175,50,0.693607
-55.476665,50,0.732525
-52.786196,50,0.771262
-64.806516,50,0.807177
-53.806349,50,0.827293
-65.187489,50,0.864418
-67.159802,50,0.901362
-66.628995,50,0.939072
-71.003826,50,0.980565
-57.359552,50,1.019327
-58.014475,50,1.044836
-67.675981,50,1.085114
-67.423237,50,1.118584
-69.968539,50,1.14838
-62.070467,50,1.178128
-59.505947,50,1.211948
-62.032382,50,1.243153
-61.02515,50,1.273636
-64.560729,50,1.31213
-64.133083,50,1.343565
-59.134327,50,1.375473
-60.209978,50,1.409138
-53.551279,50,1.44916
-61.018183,50,1.486924
-60.599735,50,1.515982
-56.404117,50,1.548413
-62.552254,50,1.579943
-67.55732,50,1.623653
-62.062425,50,2.266378
-62.711009,50,2.305131
-58.391765,50,2.340942
-68.533329,50,2.379441
-66.391898,50,2.408216
-67.92703,50,2.44633
-53.956803,50,2.478101
-63.37741,50,2.509502
-56.223817,50,2.535808
-59.54512,50,2.574956
-61.1171,50,2.614098
-49.51103,50,2.650866
-63.122866,50,2.6875
-63.846525,50,2.726577
-57.609944,50,2.764005
-55.674749,50,2.804223
-54.384828,50,2.843244
-66.329622,50,2.881518
-55.283572,50,2.914885
-70.461454,50,2.954005
-57.576047,50,2.982184
-63.92724,50,3.010532
-54.132509,50,3.034659
-57.922107,50,3.073756
-69.342769,50,3.11229
-59.401888,50,3.15198
-54.445665,50,3.191306
-69.16685,50,3.221623
-58.036855,50,3.258603
-70.669322,50,3.290208
-66.475299,50,3.32212
-72.346184,50,3.355136
-60.907268,50,3.393863
-59.514779,50,3.424778
-49.813739,50,3.456949
-52.670579,50,3.488421
-68.09244,50,3.520873
-61.119223,50,3.556466
-58.982866,50,3.596912
-69.244472,50,3.635015
-59.077773,50,3.665104
-60.690264,50,4.320336
-62.024091,50,4.354517
-65.713588,50,4.386614
-53.300859,50,4.424568
-53.526346,50,4.456753
-53.678391,50,4.492967
-54.478915,50,4.522227
-52.941569,50,4.555879
-57.436099,50,4.594904
-63.211533,50,4.633961
-58.262207,50,4.674862
-59.085913,50,4.713318
-60.047405,50,4.751559
-55.1922,50,4.789544
-57.761061,50,4.829051
-57.12288,50,4.85709
-50.811755,50,4.889114
-64.414102,50,4.92377
-55.666521,50,4.954389
-60.643027,50,4.985344
-53.975078,50,5.026896
-59.766772,50,5.066361
-54.530985,50,5.099883
-55.36726,50,5.139313
-64.38484,50,5.165762
-58.96947,50,5.195915
-63.562684,50,5.230574
-57.891024,50,5.269497
-56.542547,50,5.306449
-52.435896,50,5.344492
-54.121197,50,5.382042
-58.676271,50,5.413431
-55.677135,50,5.454257
-64.957484,50,5.493506
-59.883488,50,5.535474
-60.579655,50,5.575883
-56.004468,50,5.613412
-59.773733,50,5.648342
-58.405095,50,5.680516
-58.885872,50,5.709773
-55.966156,50,5.737637
-55.17597,50,6.435298
-64.08551,50,6.469368
-55.973876,50,6.501456
-61.693916,50,6.539444
-54.852117,50,6.582811
-56.713896,50,6.619602
-54.464613,50,6.658612
-52.14044,50,6.697059
-46.541199,50,6.724665
-52.056346,50,6.763535
-57.76956,50,6.803063
-51.688313,50,6.838867
