#{"t_start": 1765845716.8764696, "env_id": "Reacher-v5"}
r,l,t
-48.827508,50,0.100315
-61.52711,50,0.153597
-63.068276,50,0.20447
-68.236994,50,0.272178
-55.38745,50,0.334411
-58.486257,50,0.406438
-62.184973,50,0.479522
-63.053298,50,0.548368
-54.036893,50,0.622387
-60.272236,50,0.693297
-57.483311,50,0.766497
-61.839807,50,0.830769
-63.547958,50,0.901053
-63.404586,50,0.947703
-62.068335,50,0.992311
-62.958188,50,1.049549
-56.175994,50,1.094208
-64.820862,50,1.138624
-62.489839,50,1.187604
-66.080939,50,1.230314
-53.850187,50,1.273409
-64.434443,50,1.315531
-55.512214,50,1.363032
-60.356235,50,1.409411
-62.668664,50,1.451711
-58.40712,50,1.49726
-63.713018,50,1.540927
-60.871425,50,1.585595
-61.726979,50,1.628667
-66.823181,50,1.671651
-63.772293,50,1.715036
-68.521982,50,1.758439
-57.539543,50,1.801727
-51.765055,50,1.844878
-66.929235,50,1.88818
-55.40641,50,1.932035
-60.073739,50,1.973766
-60.337153,50,2.017216
-54.021178,50,2.060749
-58.924944,50,2.104013
-51.326289,50,21.237642
-56.749246,50,21.282794
-62.295728,50,21.326755
-58.817165,50,21.372277
-60.311795,50,21.417897
-61.348672,50,21.473881
-63.637599,50,21.519541
-59.53688,50,21.564472
-62.673625,50,21.606653
-59.101068,50,21.648693
-53.098323,50,21.694129
-62.077321,50,21.745205
-68.8211,50,21.800507
-53.482018,50,21.849622
-63.104369,50,21.893892
-68.152538,50,21.940565
-59.926117,50,21.987011
-63.841997,50,22.029712
-54.0316,50,22.072362
-57.319119,50,22.115195
-58.693771,50,22.158031
-61.721937,50,22.205953
-64.204842,50,22.252105
-55.456018,50,22.296825
-67.658468,50,22.339673
-57.615197,50,22.383702
-58.311359,50,22.428604
-61.716033,50,22.476389
-55.641706,50,22.518421
-57.101983,50,22.56087
-54.367396,50,22.60323
-59.974691,50,22.645711
-60.025066,50,22.690961
-61.519834,50,22.737363
-57.540669,50,22.780434
-52.210966,50,22.825298
-53.195235,50,22.867988
-60.376325,50,22.914034
-56.313237,50,22.95672
-56.586475,50,22.999267
-60.661247,50,23.042216
-59.107339,50,43.45221
-58.539748,50,43.497087
-54.71168,50,43.541279
-50.993257,50,43.583816
-60.565906,50,43.626516
-58.940294,50,43.675522
-54.862341,50,43.718238
-53.355596,50,43.760598
-60.868258,50,43.811895
-58.463493,50,43.859042
-54.74612,50,43.908459
-52.771173,50,43.955667
-61.794031,50,43.998239
-50.239242,50,44.052979
-56.446034,50,44.100408
-63.759466,50,44.146464
-59.950973,50,44.189552
-65.01538,50,44.234669
-58.519178,50,44.277917
-50.515526,50,44.323179
-57.177702,50,44.364692
-60.371372,50,44.412627
-63.675023,50,44.459655
-57.279931,50,44.504176
-56.424483,50,44.548485
-58.326904,50,44.594958
-60.366701,50,44.639229
-51.169871,50,44.684383
-59.969312,50,44.734292
-58.422348,50,44.78546
-47.655716,50,44.831508
-53.351915,50,44.873788
-49.062031,50,44.923654
-60.279008,50,44.968925
-59.764338,50,45.016557
-64.204474,50,45.066696
-61.587862,50,45.117034
-61.681703,50,45.163888
-56.383293,50,45.213255
-59.144424,50,45.259345
-56.673607,50,45.302986
-57.499192,50,67.414948
-56.453318,50,67.475815
-47.75032,50,67.557556
-55.777477,50,67.629225
-61.7063,50,67.695387
-52.26324,50,67.761205
-55.894625,50,67.806636
-55.808401,50,67.849297
-55.970085,50,67.891957
-56.667837,50,67.936187
-66.480344,50,67.982967
-50.01964,50,68.026487
-57.780424,50,68.069485
-54.085359,50,68.111858
-57.589319,50,68.154829
-57.092474,50,68.197579
-59.432602,50,68.250243
-57.725772,50,68.296028
-51.718161,50,68.34275
-59.691912,50,68.390179
-57.169482,50,68.438413
-56.092745,50,68.491817
-54.846137,50,68.540064
-61.551476,50,68.586463
-52.234439,50,68.633538
-61.225572,50,68.681181
-52.455049,50,68.728523
-53.328436,50,68.777208
-51.98738,50,68.820885
-54.587216,50,68.864002
-55.18624,50,68.90841
-59.501886,50,68.95106
-58.323287,50,69.005123
-53.15777,50,69.056263
-59.85651,50,69.103679
-65.228559,50,69.150882
-55.381796,50,69.193461
-56.750204,50,69.241536
-54.785851,50,69.284968
-57.22669,50,69.327815
-53.252835,50,69.381798
-56.954019,50,92.11453
-54.122629,50,92.15828
-61.657422,50,92.2061
-50.83119,50,92.251014
-61.11026,50,92.297329
-51.559914,50,92.342351
-52.088236,50,92.391795
-52.501706,50,92.43412
-47.492122,50,92.476536
-55.947682,50,92.518959
-57.645942,50,92.561418
-48.864502,50,92.604383
-41.937265,50,92.647065
-45.744931,50,92.689461
-54.361481,50,92.731812
-57.1418,50,92.773962
-49.525433,50,92.816495
-63.323991,50,92.858792
-51.075143,50,92.90208
-56.164037,50,92.946279
-58.240108,50,92.988617
-56.06384,50,93.030865
-51.400197,50,93.073394
-56.239619,50,93.11555
-50.880692,50,93.159042
-46.736092,50,93.203731
-61.217785,50,93.246341
-55.031625,50,93.288892
-52.048112,50,93.331022
-52.603461,50,93.373455
-60.110186,50,93.415724
-56.558474,50,93.458078
-50.85237,50,93.500254
-57.659816,50,93.543095
-54.352767,50,93.585245
-48.965103,50,93.627474
-49.764281,50,93.66962
-47.495599,50,93.711512
-44.696107,50,93.76705
-51.986242,50,93.813308
-51.977923,50,93.855613
-50.251483,50,114.586919
-52.655296,50,114.630183
-45.74184,50,114.673025
-43.984029,50,114.723948
-48.766889,50,114.774181
-45.101809,50,114.817594
-55.038732,50,114.859591
-50.811564,50,114.910356
-57.949981,50,114.956822
-53.916013,50,115.002136
-54.292518,50,115.044165
-52.663646,50,115.089277
-45.839874,50,115.138842
-47.17142,50,115.181226
-49.60959,50,115.230132
-50.60442,50,115.277766
-52.053784,50,115.320196
-51.460167,50,115.367831
-48.027179,50,115.415768
-42.915909,50,115.45871
-49.720603,50,115.501758
-47.658078,50,115.546705
-48.286956,50,115.591762
-48.399511,50,115.636771
-55.986326,50,115.681223
-46.606646,50,115.725065
-53.684974,50,115.774765
-47.275661,50,115.827779
-54.848496,50,115.875161
-49.309273,50,115.924258
-47.747854,50,115.977597
-47.748755,50,116.02103
-59.053699,50,116.062884
-44.691021,50,116.106587
-50.183687,50,116.14842
-55.874706,50,116.189895
-53.011266,50,116.232193
-55.33796,50,116.275575
-51.953134,50,116.328357
-57.027186,50,116.374941
-55.617811,50,116.417119
-46.001827,50,139.045954
-48.152249,50,139.117018
-50.630034,50,139.191939
-49.979917,50,139.266855
-49.830943,50,139.315513
-43.612118,50,139.358482
-52.145404,50,139.402513
-45.853057,50,139.446472
-52.994294,50,139.487811
-53.775678,50,139.532532
-54.073901,50,139.575371
-51.7429,50,139.616623
-51.312539,50,139.657955
-43.79199,50,139.701411
-46.908816,50,139.745356
-44.394941,50,139.789531
-51.914965,50,139.833699
-47.272576,50,139.877007
-39.363281,50,139.930909
-44.306004,50,139.980813
-42.516354,50,140.028008
-45.604307,50,140.073234
-44.531631,50,140.116116
-43.983535,50,140.16399
-51.09198,50,140.216621
-52.877852,50,140.260384
-44.952957,50,140.305211
-46.402887,50,140.348716
-45.400093,50,140.390784
-40.391371,50,140.436018
