#{"t_start": 1765845432.7402687, "env_id": "Reacher-v5"}
r,l,t
-62.842798,50,0.555885
-52.285077,50,0.59941
-56.104019,50,0.637257
-66.262995,50,0.675729
-64.400394,50,0.715452
-52.703386,50,0.754773
-70.554308,50,0.795154
-69.400524,50,0.83411
-64.061979,50,0.873942
-62.483739,50,0.912205
-61.426476,50,0.953225
-61.834123,50,0.992129
-61.447682,50,1.032129
-65.267249,50,1.068642
-68.560755,50,1.105515
-65.02174,50,1.148082
-57.256245,50,1.187436
-73.026973,50,1.227535
-59.571352,50,1.268507
-55.854227,50,1.306659
-64.829314,50,1.345973
-54.985739,50,1.382485
-61.886405,50,1.423068
-57.98141,50,1.460261
-61.275136,50,1.501989
-60.943012,50,1.541838
-56.271532,50,1.582707
-60.732591,50,1.62283
-58.383341,50,1.663687
-60.790389,50,1.701399
-53.788531,50,1.740662
-63.006287,50,1.780243
-64.123587,50,1.820671
-66.211627,50,1.85605
-60.791331,50,1.896354
-56.415361,50,1.934226
-64.620263,50,1.973515
-60.860634,50,2.011924
-57.092881,50,2.049643
-55.988426,50,2.091074
-64.426001,50,2.917258
-66.530211,50,2.959145
-54.834374,50,2.9946
-62.83556,50,3.030597
-61.370727,50,3.071977
-56.390846,50,3.110282
-60.707299,50,3.149585
-64.621097,50,3.188646
-61.369935,50,3.227641
-51.899256,50,3.267414
-56.504013,50,3.307149
-63.732593,50,3.345711
-58.503215,50,3.384514
-56.765664,50,3.424142
-57.347654,50,3.466292
-60.543544,50,3.502256
-59.161494,50,3.540089
-61.007603,50,3.582057
-60.031543,50,3.620636
-63.267502,50,3.659606
-63.159453,50,3.698947
-62.597537,50,3.736481
-56.858202,50,3.773239
-58.974821,50,3.814749
-65.486601,50,3.853454
-53.735154,50,3.89335
-64.229171,50,3.932259
-58.918831,50,3.972307
-58.941226,50,4.013034
-67.591588,50,4.053521
-54.993314,50,4.092112
-65.839231,50,4.131376
-58.652639,50,4.169912
-63.305196,50,4.211059
-61.334294,50,4.251268
-66.696879,50,4.290298
-66.57742,50,4.332522
-69.146098,50,4.37383
-63.70867,50,4.412272
-58.810889,50,4.453369
-53.33787,50,4.493808
-54.028569,50,5.1908
-53.48224,50,5.232011
-62.273746,50,5.273728
-56.103884,50,5.313895
-53.569621,50,5.353255
-55.612909,50,5.391316
-62.550813,50,5.432
-53.094439,50,5.472255
-70.139656,50,5.508455
-59.37995,50,5.54857
-55.635879,50,5.591088
-61.674112,50,5.630603
-64.982502,50,5.670948
-59.060879,50,5.707143
-57.426567,50,5.745775
-58.762396,50,5.782473
-57.572158,50,5.82338
-53.59639,50,5.862927
-55.351787,50,5.899213
-60.046557,50,5.93622
-61.322508,50,5.972917
-58.761543,50,6.013499
-62.565027,50,6.046291
-57.857403,50,6.083291
-59.554012,50,6.127033
-53.288968,50,6.163237
-59.759972,50,6.204274
-49.812626,50,6.244379
-62.478984,50,6.284815
-52.859162,50,6.320555
-54.322417,50,6.361208
-63.366519,50,6.401579
-57.228057,50,6.441635
-59.498568,50,6.482653
-56.006856,50,6.523333
-60.189064,50,6.564272
-60.165281,50,6.602664
-58.733385,50,6.638889
-57.088434,50,6.681364
-56.954961,50,6.718546
-58.751625,50,6.758357
-55.934209,50,7.638801
-50.075864,50,7.676065
-46.936013,50,7.715948
-56.861866,50,7.756328
-57.74368,50,7.798723
-56.567129,50,7.837713
-53.491203,50,7.876522
-60.616697,50,7.918674
-48.505877,50,7.95744
-59.521463,50,7.994231
-58.445472,50,8.033006
-53.044136,50,8.072485
-50.252357,50,8.113047
-61.865589,50,8.154177
-61.775369,50,8.191095
-46.419567,50,8.232071
-58.920269,50,8.270185
-63.859545,50,8.313351
-54.071574,50,8.355141
-51.496788,50,8.393004
-55.827831,50,8.428091
-59.911938,50,8.46467
-55.911563,50,8.504838
-64.799194,50,8.54523
-63.079798,50,8.584374
-58.867748,50,8.623907
-55.899081,50,8.662725
-54.777918,50,8.701947
-57.198129,50,8.740725
-56.986742,50,8.780619
-59.359,50,8.817387
-48.678227,50,8.857374
-56.788838,50,8.89519
-54.802786,50,8.934489
-57.347587,50,8.973676
-61.39891,50,9.011723
-52.071094,50,9.052073
-58.92816,50,9.09301
-67.682397,50,9.133353
-65.214642,50,9.174465
-56.561693,50,9.213374
-57.07348,50,10.015805
-59.976818,50,10.054379
-62.39402,50,10.093428
-57.643897,50,10.13343
-52.597619,50,10.174116
-52.979611,50,10.215822
-53.006236,50,10.254166
-54.441176,50,10.290685
-60.334355,50,10.332127
-55.055917,50,10.369096
-60.64273,50,10.408417
-57.054046,50,10.45074
-50.244967,50,10.489465
-52.823986,50,10.52621
-60.42666,50,10.563697
-52.828044,50,10.605677
-61.285477,50,10.643459
-51.066614,50,10.683978
-48.718626,50,10.724434
-63.623582,50,10.763342
-57.94579,50,10.805399
-60.562425,50,10.843464
-56.772715,50,10.883146
-61.925334,50,10.923098
-54.519898,50,10.961559
-56.781007,50,11.001567
-49.342883,50,11.043512
-53.858117,50,11.083102
-63.419202,50,11.121962
-56.70101,50,11.160594
-47.864008,50,11.200684
-58.910049,50,11.240399
-56.911656,50,11.28082
-46.725418,50,11.319072
-54.386463,50,11.357589
-54.317739,50,11.39743
-55.03265,50,11.439277
-58.743079,50,11.478757
-59.691725,50,11.520473
-57.794699,50,11.561677
-51.467751,50,11.599422
-60.780988,50,12.241346
-50.838478,50,12.276995
-51.558849,50,12.316309
-46.613924,50,12.354991
-54.342664,50,12.395945
-56.298235,50,12.432186
-47.301272,50,12.473398
-52.331532,50,12.513141
-54.846132,50,12.555076
-55.545436,50,12.593627
-57.865235,50,12.629115
-52.653412,50,12.667327
-52.785905,50,12.709475
-55.458178,50,12.748945
-50.749169,50,12.787411
-47.559263,50,12.82999
