Algorithm,Step,TrackingError
DR-PPO,1,1.4391449541848291
DR-PPO,2,2.734283774359655
DR-PPO,3,3.904934150073742
DR-PPO,4,4.88990128871802
DR-PPO,5,5.67346432783357
DR-PPO,6,6.256878384380082
DR-PPO,7,6.648708783683022
DR-PPO,8,6.865565943947184
DR-PPO,9,6.929487179520247
DR-PPO,10,6.863215502025229
DR-PPO,11,6.686990246529781
DR-PPO,12,6.4176717665650616
DR-PPO,13,6.069950933133724
DR-PPO,14,5.65862037059139
DR-PPO,15,5.199960543735412
DR-PPO,16,4.7111913873477205
DR-PPO,17,4.208764808478774
DR-PPO,18,3.706845933691915
DR-PPO,19,3.2175383134882596
DR-PPO,20,2.7521955825713977
DR-PPO,21,2.321207735559476
DR-PPO,22,1.9325828116618227
DR-PPO,23,1.5912495032942262
DR-PPO,24,1.059110703897785
DR-PPO,25,0.7872211628197676
DR-PPO,26,0.6580592454133513
DR-PPO,27,0.6004351430611077
DR-PPO,28,0.6186443778683629
DR-PPO,29,0.6588532400818703
DR-PPO,30,0.6915954989905699
DR-PPO,31,0.7131902923660383
DR-PPO,32,0.723737397418797
DR-PPO,33,0.7246347854817273
DR-PPO,34,0.7179025487252794
DR-PPO,35,0.7058538586151178
DR-PPO,36,0.6908351489246861
DR-PPO,37,0.6749164722678774
DR-PPO,38,0.6595252819852686
DR-PPO,39,0.6451636205710306
DR-PPO,40,0.6314536125593495
DR-PPO,41,0.617581855033235
DR-PPO,42,0.6027839147461516
DR-PPO,43,0.5864674031169428
DR-PPO,44,0.5681345682173686
DR-PPO,45,0.5474455325307228
DR-PPO,46,0.5243337180376695
DR-PPO,47,0.4990579837601805
DR-PPO,48,0.4723223024460118
DR-PPO,49,0.44493908371113156
DR-PPO,50,0.206306442060514
Meta-LSTM PPO,1,1.1910224907765925
Meta-LSTM PPO,2,1.9706810970602233
Meta-LSTM PPO,3,2.598118035425306
Meta-LSTM PPO,4,3.3138039934831687
Meta-LSTM PPO,5,4.002430506432019
Meta-LSTM PPO,6,4.566967051449714
Meta-LSTM PPO,7,5.042529466607485
Meta-LSTM PPO,8,5.38612440240525
Meta-LSTM PPO,9,5.528297858170668
Meta-LSTM PPO,10,5.606061678161411
Meta-LSTM PPO,11,5.640821357668576
Meta-LSTM PPO,12,5.596283982682214
Meta-LSTM PPO,13,5.508481581917122
Meta-LSTM PPO,14,5.323855901059007
Meta-LSTM PPO,15,5.067685498903586
Meta-LSTM PPO,16,4.758122022409581
Meta-LSTM PPO,17,4.438301482096468
Meta-LSTM PPO,18,4.095232709584378
Meta-LSTM PPO,19,3.721535791112899
Meta-LSTM PPO,20,3.3956754325356675
Meta-LSTM PPO,21,3.166303294489808
Meta-LSTM PPO,22,2.9136301307690924
Meta-LSTM PPO,23,2.6819809273073862
Meta-LSTM PPO,24,2.4735484109105506
Meta-LSTM PPO,25,2.2941484548370954
Meta-LSTM PPO,26,2.0520388204184115
Meta-LSTM PPO,27,1.7934569471211348
Meta-LSTM PPO,28,1.6481781799036672
Meta-LSTM PPO,29,1.6746987543372007
Meta-LSTM PPO,30,1.6793985269746639
Meta-LSTM PPO,31,1.7228833246544155
Meta-LSTM PPO,32,1.8082724550308011
Meta-LSTM PPO,33,1.8094400201182683
Meta-LSTM PPO,34,1.7176449849557833
Meta-LSTM PPO,35,1.552333385409845
Meta-LSTM PPO,36,1.239623136167134
