#{"t_start": 1765840680.7876515, "env_id": "Reacher-v5"}
r,l,t
-66.447661,50,0.151697
-55.834078,50,0.176004
-59.071395,50,0.208168
-59.634066,50,0.246642
-57.002472,50,0.278949
-58.589074,50,0.315785
-64.934391,50,0.355481
-55.220293,50,0.391537
-59.42151,50,0.420905
-58.834817,50,0.461035
-56.898465,50,0.501144
-64.487468,50,0.540045
-55.449654,50,0.581026
-56.923323,50,0.613184
-60.737608,50,0.650608
-56.967868,50,0.688997
-57.872023,50,0.712428
-53.08857,50,0.748239
-56.071015,50,0.776151
-57.937428,50,0.819698
-62.737075,50,0.847554
-61.780449,50,0.873434
-59.044507,50,0.897094
-59.311719,50,0.923985
-61.984354,50,0.953452
-59.171691,50,0.989087
-67.530605,50,1.022911
-51.103436,50,1.048471
-64.654718,50,1.070508
-51.052185,50,1.095548
-55.712385,50,1.118681
-57.08245,50,1.146612
-63.344321,50,1.178129
-47.380845,50,1.20518
-62.637605,50,1.236438
-63.682949,50,1.265043
-65.837684,50,1.287855
-59.242967,50,1.322787
-57.005888,50,1.361084
-55.78203,50,1.396839
-65.681724,50,2.075594
-56.64358,50,2.10532
-59.343901,50,2.132782
-67.459819,50,2.166098
-61.925093,50,2.199931
-66.549354,50,2.238627
-57.757986,50,2.27415
-56.012985,50,2.31491
-62.861531,50,2.351749
-62.257587,50,2.390838
-56.561552,50,2.428213
-54.208532,50,2.470995
-62.110435,50,2.509536
-61.160344,50,2.547539
-54.730147,50,2.588781
-57.306031,50,2.6261
-59.064616,50,2.669562
-59.648531,50,2.710037
-54.053526,50,2.748932
-59.76968,50,2.788035
-60.744085,50,2.828717
-55.403355,50,2.869685
-60.689721,50,2.907897
-52.33498,50,2.948139
-58.803354,50,2.975324
-58.407269,50,3.012883
-63.422916,50,3.039242
-64.198956,50,3.073267
-54.806213,50,3.110246
-66.82382,50,3.152663
-56.44533,50,3.186663
-67.089929,50,3.2186
-58.708218,50,3.252543
-60.275223,50,3.291771
-55.003955,50,3.32863
-56.906152,50,3.369545
-51.341895,50,3.407999
-60.544506,50,3.449294
-56.784943,50,3.486099
-60.124952,50,3.523657
-59.122799,50,3.546971
-55.595993,50,4.289111
-55.863779,50,4.324986
-48.010327,50,4.364923
-60.090858,50,4.40368
-54.383385,50,4.441648
-65.573513,50,4.480355
-54.450761,50,4.514474
-58.555717,50,4.553853
-56.820791,50,4.589226
-57.851441,50,4.627225
-49.046897,50,4.66755
-52.745835,50,4.705669
-61.282106,50,4.746534
-58.042233,50,4.784881
-55.248432,50,4.815709
-63.492089,50,4.850528
-67.740825,50,4.880745
-48.428982,50,4.911195
-58.750101,50,4.94379
-53.675801,50,4.975917
-54.019363,50,5.010257
-55.272515,50,5.041672
-58.501804,50,5.070395
-53.261474,50,5.099413
-53.514566,50,5.12628
-65.738216,50,5.155718
-61.870492,50,5.194308
-51.111178,50,5.229921
-58.793116,50,5.25525
-56.573912,50,5.290622
-58.38571,50,5.328569
-54.506882,50,5.368764
-55.709978,50,5.40658
-57.209338,50,5.440476
-58.008645,50,5.475025
-47.213315,50,5.51121
-58.311866,50,5.544959
-52.447908,50,5.581194
-48.17521,50,5.61588
-57.015437,50,5.647466
-56.139776,50,5.68605
-66.117631,50,6.413433
-51.381614,50,6.45166
-55.554391,50,6.489795
-63.363724,50,6.52873
-51.223912,50,6.563725
-62.445458,50,6.601779
-45.875699,50,6.640832
-58.928189,50,6.682939
-49.712053,50,6.724499
-60.482291,50,6.759196
-56.076598,50,6.787779
-53.550115,50,6.823249
-59.978921,50,6.864552
-52.342735,50,6.899185
-56.628518,50,6.941942
-63.417225,50,6.973966
-47.267824,50,6.999013
-50.832995,50,7.036625
-54.232201,50,7.07444
-46.0703,50,7.09958
-56.126846,50,7.13609
-54.462383,50,7.170175
-47.062448,50,7.201291
-60.828871,50,7.232831
-57.370503,50,7.269114
-52.525125,50,7.297187
-54.048132,50,7.334498
-50.293361,50,7.369081
-54.085103,50,7.403132
-52.498215,50,7.442821
-57.495882,50,7.481662
-53.923013,50,7.518419
-53.725976,50,7.54998
-52.763702,50,7.588248
-46.961587,50,7.626278
-52.891892,50,7.657761
-49.930701,50,7.685889
-53.614474,50,7.719962
-57.742129,50,7.764505
-51.219647,50,7.798084
-49.688524,50,7.834221
-55.180046,50,8.532595
-54.293126,50,8.571663
-51.404526,50,8.611145
-56.663027,50,8.650254
-53.998732,50,8.688213
-48.885646,50,8.728692
-41.190431,50,8.766071
-51.257267,50,8.806333
-47.25459,50,8.830242
-53.080929,50,8.871868
-52.005682,50,8.897238
-51.563996,50,8.930125
-51.734096,50,8.955074
-55.903576,50,8.980469
-59.651194,50,9.001449
-50.877779,50,9.028147
-55.94004,50,9.064775
-58.209733,50,9.09421
-36.311441,50,9.126336
-55.758818,50,9.165078
-48.637783,50,9.200741
-45.805848,50,9.234112
-57.480446,50,9.267391
-53.927677,50,9.30195
-62.037213,50,9.339158
-53.22807,50,9.371703
-57.959356,50,9.400847
-51.863777,50,9.435083
-55.996576,50,9.468187
-46.893608,50,9.495314
-54.463029,50,9.525224
-50.308067,50,9.556041
-62.633727,50,9.595601
-44.680268,50,9.63442
-56.270557,50,9.659232
-58.442249,50,9.692076
-50.193065,50,9.717159
-51.313019,50,9.743187
-43.643665,50,9.767582
-53.821637,50,9.795363
-50.109028,50,9.83308
-53.123594,50,10.564264
-49.496117,50,10.598006
-57.627083,50,10.635691
-47.102195,50,10.675243
-52.645623,50,10.712875
-42.226315,50,10.748692
