#{"t_start": 1765840817.0352783, "env_id": "Reacher-v5"}
r,l,t
-59.047995,50,0.136653
-66.459702,50,0.186092
-59.562358,50,0.232098
-62.055556,50,0.2788
-67.037896,50,0.324824
-52.488541,50,0.371214
-69.854325,50,0.417946
-58.231811,50,0.463096
-63.891993,50,0.516576
-60.837882,50,0.569044
-66.241066,50,0.627575
-61.896624,50,0.690226
-62.927,50,0.732534
-70.900146,50,0.774215
-63.962402,50,0.816468
-51.742903,50,0.861117
-55.724902,50,0.903964
-57.240464,50,0.947167
-68.023048,50,1.0121
-61.088848,50,1.06151
-65.359089,50,1.114527
-62.357728,50,1.180711
-57.942543,50,1.226749
-59.850702,50,1.280513
-57.630033,50,1.322274
-56.995762,50,1.36867
-63.68265,50,1.415274
-53.070095,50,1.45679
-63.72203,50,1.498164
-61.538688,50,1.541635
-59.734727,50,1.588533
-63.640252,50,1.638189
-55.252705,50,1.680118
-65.200754,50,1.722066
-61.135539,50,1.763957
-55.925397,50,1.806065
-62.230609,50,1.84772
-58.885227,50,1.889724
-59.370597,50,1.931723
-67.581096,50,1.973597
-52.620673,50,21.160406
-60.97832,50,21.20526
-58.479922,50,21.247588
-58.70184,50,21.2892
-53.462503,50,21.336783
-61.712668,50,21.377809
-60.854147,50,21.419193
-62.862274,50,21.4612
-61.473075,50,21.502811
-52.150835,50,21.544411
-50.30546,50,21.585885
-60.422439,50,21.627396
-63.079532,50,21.669145
-56.523937,50,21.711723
-64.257707,50,21.754133
-62.162776,50,21.796967
-64.741816,50,21.838029
-56.736085,50,21.88003
-62.333848,50,21.924153
-63.132556,50,21.968027
-59.460682,50,22.011856
-62.512507,50,22.052927
-58.191323,50,22.095402
-55.770649,50,22.139117
-57.193276,50,22.18286
-56.335405,50,22.226633
-55.852332,50,22.270168
-64.15627,50,22.31366
-59.708475,50,22.357185
-66.69937,50,22.40071
-63.798117,50,22.446007
-62.515904,50,22.487684
-68.136213,50,22.529522
-60.497585,50,22.571591
-64.83448,50,22.615051
-64.306503,50,22.657021
-68.248207,50,22.698975
-61.293248,50,22.741182
-55.155386,50,22.783715
-60.203954,50,22.824389
-52.6697,50,22.865108
-58.856825,50,44.739488
-61.139584,50,44.782571
-46.999361,50,44.848094
-51.699372,50,44.89916
-52.32127,50,44.944883
-50.186701,50,44.987753
-53.350092,50,45.032979
-61.149843,50,45.076437
-59.027668,50,45.118172
-63.831301,50,45.159657
-57.496188,50,45.202028
-54.163242,50,45.245114
-52.786987,50,45.286797
-61.411376,50,45.340158
-60.035305,50,45.386195
-61.440617,50,45.431356
