#{"t_start": 1765840535.0711818, "env_id": "Reacher-v5"}
r,l,t
-56.043423,50,0.64395
-56.414601,50,0.675269
-59.540347,50,0.700395
-69.862001,50,0.721918
-62.888165,50,0.743252
-61.928131,50,0.765977
-65.617988,50,0.791477
-56.405634,50,0.814778
-64.908951,50,0.842276
-58.278109,50,0.870597
-58.883698,50,0.90259
-52.992922,50,0.926837
-63.96007,50,0.958022
-60.619711,50,0.991766
-68.363804,50,1.024544
-55.085644,50,1.054748
-51.227566,50,1.07931
-58.54842,50,1.107632
-53.058794,50,1.140494
-55.881606,50,1.170569
-63.630645,50,1.195926
-60.642154,50,1.23214
-63.442678,50,1.257737
-61.866125,50,1.292819
-60.94887,50,1.323075
-63.585948,50,1.357048
-63.692719,50,1.386079
-62.410222,50,1.411325
-56.172866,50,1.43412
-60.636969,50,1.465429
-61.94157,50,1.496143
-55.983144,50,1.517883
-64.021305,50,1.540111
-53.158975,50,1.562313
-57.559869,50,1.597782
-60.714618,50,1.619314
-58.646698,50,1.663965
-64.463181,50,1.703194
-60.547359,50,1.742228
-66.126025,50,1.785545
-64.56582,50,2.795506
-54.77093,50,2.835761
-68.963262,50,2.87396
-64.666974,50,2.91392
-70.887984,50,2.953189
-62.89014,50,2.99352
-55.132472,50,3.03547
-50.295573,50,3.072847
-55.371948,50,3.115217
-52.107988,50,3.155529
-60.763623,50,3.196111
-66.87182,50,3.232618
-62.90323,50,3.273168
-56.194599,50,3.313588
-64.740432,50,3.352535
-62.813077,50,3.396741
-60.223543,50,3.43444
-56.046048,50,3.473933
-67.796615,50,3.510434
-56.726549,50,3.551111
-45.19881,50,3.591634
-60.382503,50,3.628658
-65.447933,50,3.670498
-58.536503,50,3.707193
-60.181281,50,3.745724
-59.794357,50,3.785251
-57.098984,50,3.825304
-61.59838,50,3.863637
-64.365712,50,3.901547
-65.505213,50,3.93944
-59.311222,50,3.976983
-55.214282,50,4.016549
-50.973392,50,4.05465
-69.495708,50,4.094581
-59.773738,50,4.133166
-50.68881,50,4.173271
